adjacency_matrix_expressed	d10	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_expressed	d10	old Airway	0	37	2	4	0	49	4	0	0	39	11	0
adjacency_matrix_expressed	d10	old Alveolum	0	42	2	8	0	54	5	0	0	42	10	0
adjacency_matrix_expressed	d10	old MNP	0	42	3	12	0	51	8	1	1	44	17	1
adjacency_matrix_expressed	d10	old Lymphocytes	0	20	0	3	0	17	5	0	0	15	6	1
adjacency_matrix_expressed	d10	old Granulocytes	0	18	1	2	0	20	4	0	1	18	8	1
adjacency_matrix_expressed	d10	old Fibroblasts	0	61	3	16	0	78	10	0	0	69	20	0
adjacency_matrix_expressed	d10	old Pericytes	0	42	2	12	0	50	7	0	0	41	10	0
adjacency_matrix_expressed	d10	old SMC	0	46	4	10	0	55	8	0	0	42	8	0
adjacency_matrix_expressed	d10	old Mesothelium	0	39	3	7	0	51	9	0	0	42	10	0
adjacency_matrix_expressed	d10	old Capillary_ECs	1	44	3	6	0	52	7	1	0	49	10	0
adjacency_matrix_expressed	d10	old Vascular_ECs	1	51	2	10	0	62	7	1	0	54	11	0
adjacency_matrix_expressed	d10	old Lymphatic_ECs	0	56	3	11	0	65	10	1	1	59	11	0
adjacency_matrix_expressed	d21	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_expressed	d21	old Airway	0	20	0	0	0	39	1	0	3	30	6	0
adjacency_matrix_expressed	d21	old Alveolum	0	29	1	0	0	49	0	0	4	33	7	0
adjacency_matrix_expressed	d21	old MNP	0	29	2	0	0	38	2	1	2	31	8	0
adjacency_matrix_expressed	d21	old Lymphocytes	0	9	0	0	0	15	0	0	1	12	4	0
adjacency_matrix_expressed	d21	old Granulocytes	0	12	1	0	0	19	1	0	3	17	4	0
adjacency_matrix_expressed	d21	old Fibroblasts	0	39	2	1	0	74	8	1	3	54	10	0
adjacency_matrix_expressed	d21	old Pericytes	0	26	0	0	0	47	3	1	2	35	6	0
adjacency_matrix_expressed	d21	old SMC	0	28	1	0	0	52	2	0	3	36	5	0
adjacency_matrix_expressed	d21	old Mesothelium	0	24	1	0	0	48	2	0	3	34	6	0
adjacency_matrix_expressed	d21	old Capillary_ECs	0	26	0	0	0	47	2	1	0	37	6	0
adjacency_matrix_expressed	d21	old Vascular_ECs	0	30	0	0	0	54	2	1	1	42	7	0
adjacency_matrix_expressed	d21	old Lymphatic_ECs	0	33	0	0	0	59	1	0	4	43	7	0
adjacency_matrix_expressed	d28	old Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
adjacency_matrix_expressed	d28	old Airway	2	37	0	10	1	30	1	0	0	6	0	0
adjacency_matrix_expressed	d28	old Alveolum	1	37	0	10	1	33	4	0	0	5	0	0
adjacency_matrix_expressed	d28	old MNP	7	42	1	4	2	35	2	0	0	7	0	0
adjacency_matrix_expressed	d28	old Lymphocytes	1	17	0	2	0	11	1	0	0	1	0	0
adjacency_matrix_expressed	d28	old Granulocytes	2	17	1	3	1	16	0	0	0	2	0	0
adjacency_matrix_expressed	d28	old Fibroblasts	3	62	3	14	1	59	2	0	0	9	1	0
adjacency_matrix_expressed	d28	old Pericytes	2	47	1	10	1	40	1	0	0	5	0	0
adjacency_matrix_expressed	d28	old SMC	2	42	1	10	1	38	1	0	0	3	0	0
adjacency_matrix_expressed	d28	old Mesothelium	1	42	1	13	1	40	2	0	0	6	1	0
adjacency_matrix_expressed	d28	old Capillary_ECs	2	48	0	9	1	36	3	0	0	5	0	0
adjacency_matrix_expressed	d28	old Vascular_ECs	3	51	1	10	1	41	3	0	0	4	0	0
