Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
Airway	2	37	0	10	1	30	1	0	0	6	0	0
Alveolum	1	37	0	10	1	33	4	0	0	5	0	0
MNP	7	42	1	4	2	35	2	0	0	7	0	0
Lymphocytes	1	17	0	2	0	11	1	0	0	1	0	0
Granulocytes	2	17	1	3	1	16	0	0	0	2	0	0
Fibroblasts	3	62	3	14	1	59	2	0	0	9	1	0
Pericytes	2	47	1	10	1	40	1	0	0	5	0	0
SMC	2	42	1	10	1	38	1	0	0	3	0	0
Mesothelium	1	42	1	13	1	40	2	0	0	6	1	0
Capillary_ECs	2	48	0	9	1	36	3	0	0	5	0	0
Vascular_ECs	3	51	1	10	1	41	3	0	0	4	0	0
Lymphatic_ECs	3	51	0	15	1	42	1	0	0	4	0	0
