Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
Airway	0	2	0	0	0	6	0	0	1	5	3	0
Alveolum	0	15	1	0	0	22	0	0	1	18	3	0
MNP	0	10	2	0	0	12	2	1	1	8	2	0
Lymphocytes	0	0	0	0	0	0	0	0	0	0	0	0
Granulocytes	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblasts	0	13	0	0	0	23	3	1	0	16	0	0
Pericytes	0	6	0	0	0	8	0	0	0	6	0	0
SMC	0	3	0	0	0	6	0	0	1	3	0	0
Mesothelium	0	3	0	0	0	8	0	0	2	4	0	0
Capillary_ECs	0	11	0	0	0	16	1	0	0	11	1	0
Vascular_ECs	0	6	0	0	0	13	0	0	0	8	1	0
Lymphatic_ECs	0	14	0	0	0	20	0	0	1	15	3	0
