test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Igf1	0.556838790516701	0.115884426043225	0.0488793499010926	0.0800511400517041	1	Fibroblasts, MNP	Fibroblasts, MNP
Npnt	0.551173459293697	0.119670477620664	0.0526654014785321	0.0776743882750842	2	Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Tgfb3	0.570914531605498	0.104271313969053	0.0372662378269208	0.0752450534472577	3	Fibroblasts, Lymphatic_ECs, Mesothelium	
Lamb2	0.56633115705477	0.0975691434717162	0.0305640673295842	0.0595732145814245	4	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Spp1	0.530160830283244	0.0920224441238621	0.0250173679817301	0.0592718243027084	5	Fibroblasts, MNP	Fibroblasts, MNP
Vegfc	0.531815708774359	0.105077960171785	0.0380728840296529	0.059223427459112	6	Vascular_ECs	
Tnc	0.561440712896098	0.0947127254719391	0.0277076493298072	0.0580585056711659	7	Fibroblasts, Lymphatic_ECs	Fibroblasts
Bmp4	0.553473390048474	0.0875783862568042	0.0205733101146723	0.0551400028613004	8	Alveolum, Pericytes, Vascular_ECs	
Sfrp2	0.561282025917494	0.08927596232517	0.022270886183038	0.0538925878356759	9	Mesothelium	
Hgf	0.528031951726184	0.087282098423763	0.0202770222816311	0.0516524772350923	10	Fibroblasts, Pericytes	
Mmp9	0.533023378507599	0.0913710934054131	0.0243660172632811	0.0514691170475971	11	Granulocytes	
Itgam	0.554256520592213	0.0947082383178668	0.0277031621757349	0.0513324733255012	12	Granulocytes, MNP	
Pkd1	0.538938074982686	0.0850093310787159	0.0180042549365839	0.049811365757111	13	Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs	
Itgb1	0.540463118673128	0.0906671616665827	0.0236620855244507	0.0493415242250697	14	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Fibroblasts, Lymphatic_ECs, Pericytes
Ncam1	0.54959689385696	0.0931983287090905	0.0261932525669585	0.0491884315270118	15	Fibroblasts, Mesothelium	Fibroblasts
Sema5a	0.548228476275266	0.0877108491954051	0.0207057730532731	0.0480569823337349	16	Fibroblasts, Mesothelium, Pericytes	
Sema3b	0.56013206054011	0.0865478633984967	0.0195427872563647	0.0479900725335227	17	Alveolum	
Itgb7	0.547156823952253	0.091850934556223	0.024845858414091	0.0457768054462667	18	Lymphocytes, MNP	
Pros1	0.541019553533153	0.0900645960553616	0.0230595199132297	0.0453967442907837	19	Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs	
Calm1	0.551237346259107	0.0913186560088666	0.0243135798667346	0.0443350674045604	20	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Fibroblasts
Vegfa	0.540652718699508	0.08341727329531	0.016412197153178	0.0441257303329299	21	Alveolum, Capillary_ECs, Vascular_ECs	
Pecam1	0.541295710093316	0.090951314724867	0.023946238582735	0.0429608906453444	22	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Calm2	0.544634319253471	0.0899230586396871	0.0229179824975551	0.0412178741815371	23	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Psap	0.552459442081317	0.0834253623359521	0.0164202861938201	0.0409391617200728	24	MNP	
Pik3cb	0.54605219771161	0.0877426705896981	0.0207375944475661	0.0409348743143814	25	MNP	MNP
Mapt	0.52938388234906	0.0820784995777574	0.0150734234356254	0.038948618155402	26	Capillary_ECs, Pericytes	
Itgb2	0.540376562139346	0.0895996587984466	0.0225945826563147	0.0388461729566187	27	Granulocytes, MNP	
Col1a1	0.53604049197085	0.0814466729843802	0.0144415968422482	0.0378782671283823	28	Fibroblasts, Pericytes	Fibroblasts
Hmgb1	0.541670788406371	0.0812828445056624	0.0142777683635304	0.0369232143578173	29	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	SMC
Dsg2	0.535302700563853	0.0906744883375841	0.0236694121954522	0.036796625328378	30	Airway	
Bdnf	0.530476143370592	0.0825934063321814	0.0155883301900494	0.0365624477929871	31	Mesothelium, Pericytes	
Itga4	0.533810630791045	0.0906876624936557	0.0236825863515237	0.0364887602661705	32	Granulocytes, Lymphocytes, MNP	
Efnb1	0.538365153163844	0.0887857695789075	0.0217806934367755	0.0363298188675901	33	Capillary_ECs, Vascular_ECs	
Efnb2	0.53475038744353	0.089448216650531	0.022443140508399	0.0362181211163584	34	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	Lymphatic_ECs
Il18	0.556607973093284	0.0838240946517338	0.0168190185096018	0.036034313003565	35	MNP	
Copa	0.537957100933162	0.0894057894376167	0.0224007132954847	0.035813643261155	36	Fibroblasts, Lymphatic_ECs	
Fgf1	0.548199624097338	0.0820579389363186	0.0150528627941866	0.0354695911030421	37	Airway, Alveolum, Capillary_ECs	
Lrpap1	0.528365812642196	0.0898808536951866	0.0228757775530546	0.0353303021534455	38	Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes	MNP
Anxa1	0.530805882546906	0.0896304719471093	0.0226253958049774	0.0348282071386736	39	Airway, Alveolum, Fibroblasts, Granulocytes, MNP, Mesothelium, Pericytes	Alveolum
Plxnb2	0.538220892274211	0.0883476544152525	0.0213425782731205	0.0347688731403779	40	Airway, Alveolum, Fibroblasts, Mesothelium	
Jam2	0.541790318857783	0.0861466001727167	0.0191415240305847	0.0345331940878929	41	Capillary_ECs, Vascular_ECs	Capillary_ECs
Lamc2	0.544931084512148	0.0838359044786113	0.0168308283364794	0.0345099949023527	42	Alveolum	Alveolum
Ptprc	0.542637336366931	0.087724673028688	0.020719596886556	0.0343924073767221	43	Granulocytes, Lymphocytes, MNP	
Pgf	0.542831058133017	0.0812185157459132	0.0142134396037812	0.0333499535815321	44	Lymphatic_ECs, Pericytes, SMC	
Angpt2	0.512076697332409	0.0820772254128959	0.0150721492707639	0.0332604805003057	45	Lymphatic_ECs, Pericytes, SMC	
Dkk2	0.543978962640549	0.0774021565444861	0.0103970804023541	0.0331563508756429	46	Fibroblasts	Fibroblasts
Cdh1	0.532081560985259	0.0828840585896487	0.0158789824475167	0.0330285594222122	47	Airway, Alveolum	
H2-T23	0.539090579351731	0.0861510860969452	0.0191460099548132	0.0325410920431029	48	Capillary_ECs, Lymphatic_ECs, Lymphocytes, MNP, Vascular_ECs	
Col4a1	0.52944570844462	0.0881968981885813	0.0211918220464493	0.0325263695019793	49	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Vascular_ECs
Osm	0.550219276552245	0.0814129699128422	0.0144078937707102	0.0318291422696456	50	Granulocytes	
Hsp90b1	0.527867082138027	0.0883215051858454	0.0213164290437134	0.0313471125316792	51	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Lymphatic_ECs, Lymphocytes, MNP, Pericytes
Serpine1	0.514263280245326	0.0845438550545048	0.0175387789123728	0.0309058976479188	52	Fibroblasts	
Pcdh7	0.531481847858339	0.0874773383930627	0.0204722622509307	0.0307160670569418	53	Fibroblasts, Lymphatic_ECs, Mesothelium, SMC, Vascular_ECs	Fibroblasts
Gpi1	0.512253932139675	0.085845536427835	0.018840460285703	0.0304752293419617	54	Granulocytes, MNP, Mesothelium, SMC	
Sema3c	0.523452698915157	0.0880979310508828	0.0210928549087508	0.0296962150415738	55	Capillary_ECs, Mesothelium, Vascular_ECs	
Hspg2	0.525581577472216	0.0884607745637678	0.0214556984216358	0.0294838815105441	56	Fibroblasts, Pericytes	
Sema3a	0.522935420582318	0.0827145243059194	0.0157094481637874	0.0292054337404834	57	Fibroblasts, Lymphatic_ECs	Fibroblasts, Lymphatic_ECs
Nts	0.525699047053778	0.0812661006211946	0.0142610244790626	0.0291075543881329	58	Lymphatic_ECs	
Sema7a	0.519401028786227	0.090352560604604	0.023347484462472	0.0291072684423821	59	Capillary_ECs	
Fn1	0.530179378111914	0.0829804356036988	0.0159753594615668	0.0287883194878887	60	Fibroblasts, MNP	Fibroblasts
Lama2	0.535422231015265	0.0795542334366467	0.0125491572945147	0.0286531068042388	61	Fibroblasts, SMC	
Vcam1	0.520950802914893	0.0886466922905854	0.0216416161484534	0.0285215800688461	62	Fibroblasts, Vascular_ECs	
Arf1	0.525027203482046	0.0880668986869943	0.0210618225448623	0.0281797718479051	63	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs	
Pdgfb	0.53211453490289	0.0774581058567351	0.0104530297146031	0.0280312541564709	64	Capillary_ECs	
F11r	0.525804151416227	0.0805695002757124	0.0135644241335804	0.0269076702733391	65	Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Vascular_ECs	
Col18a1	0.526609951528338	0.0803204225395169	0.0133153463973849	0.0268324861873325	66	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	Lymphatic_ECs
Nectin1	0.522098707422428	0.0814885251730583	0.0144834490309263	0.0264558708186531	67	Alveolum	
Ptn	0.526383255844624	0.0824719363811244	0.0154668602389925	0.0263657921099834	68	Fibroblasts, Mesothelium	Fibroblasts
Mif	0.524419246875723	0.0779054083819347	0.0109003322398027	0.0258877145723179	69	Fibroblasts	
Fgf7	0.546134632505686	0.0794422238597524	0.0124371477176204	0.0246020156590353	70	Fibroblasts	
Rps19	0.521754542157154	0.086921782092133	0.019916705950001	0.024065139334704	71	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs	
Apoe	0.515876941339398	0.0841937886260784	0.0171887124839464	0.0234797508372529	72	MNP	
Adam17	0.530360734658882	0.0772177981392681	0.0102127219971361	0.0232540267139043	73	MNP	
Ptprm	0.515435915191083	0.079947935361534	0.0129428592194021	0.0231093594142503	74	Capillary_ECs, Vascular_ECs	
Tnfsf14	0.507839548916807	0.0938339939641446	0.0268289178220126	0.0228281735828333	75	Granulocytes	
Rspo1	0.524652125168991	0.0805446859942765	0.0135396098521446	0.0228225918486505	76	Mesothelium	
Tnfsf13b	0.524093629439112	0.0787213299411798	0.0117162537990478	0.0227273319951648	77	Fibroblasts, Mesothelium	
Areg	0.525641342697922	0.0776233290033122	0.0106182528611802	0.0224947878821038	78	Airway, Alveolum	Airway, Alveolum
Nectin3	0.517323671975466	0.0863194169587455	0.0193143408166135	0.0222808460430514	79	Airway, Alveolum, Lymphatic_ECs	
