test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Nts	0.593917157734837	0.141592519335346	0.0559744337172606	0.124170283231442	1	Lymphatic_ECs	
Adam17	0.613841620909161	0.143200689393273	0.0575826037751878	0.120396732285931	2	Fibroblasts, Lymphatic_ECs, MNP	
Col4a1	0.615811311610095	0.136447599346321	0.0508295137282353	0.120016101204335	3	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs
Itgam	0.608587142190095	0.138376683175429	0.0527585975573434	0.118861522234408	4	Granulocytes, MNP	
Inhba	0.584393784465893	0.136418272610023	0.0508001869919378	0.118189070714699	5	Fibroblasts, SMC	Fibroblasts
Lgals3	0.597995437055603	0.146583025355799	0.0609649397377138	0.117786329802547	6	Airway, MNP	Airway
Dll4	0.611965021366636	0.135459748816139	0.0498416631980538	0.115453583082023	7	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Icam1	0.603784820526154	0.137863153994001	0.052245068375915	0.114212194177063	8	Airway, Alveolum, Capillary_ECs, Fibroblasts, MNP, Mesothelium, Vascular_ECs	Airway, Alveolum
Vcam1	0.604609342214917	0.138235739049525	0.052617653431439	0.113880742154702	9	Fibroblasts, Vascular_ECs	
Col1a1	0.589685204120835	0.137030232222797	0.0514121466047114	0.112628849197446	10	Fibroblasts, Pericytes, SMC	Fibroblasts, Pericytes
Arf1	0.600615288227957	0.137248157492148	0.0516300718740621	0.112269224387605	11	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	SMC
Rps19	0.603641489694956	0.138236726151301	0.052618640533215	0.112235687194091	12	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Granulocytes
Clec11a	0.605838736560886	0.137658709152033	0.0520406235339475	0.11145598910695	13	Fibroblasts	
Fat1	0.602669204262689	0.138494386093966	0.0528763004758804	0.111443932313457	14	Airway, Alveolum, Fibroblasts, Pericytes, SMC	Alveolum
Fgf1	0.597264006525246	0.135957594064317	0.050339508446231	0.11111860721345	15	Airway, Alveolum, Capillary_ECs	
Bdnf	0.598917482815075	0.142671220959641	0.057053135341555	0.109584371440882	16	Mesothelium	
Hspg2	0.599108098044197	0.137059083707045	0.0514409980889595	0.109412512108631	17	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	
Efnb1	0.605435341541115	0.135740593537521	0.050122507919435	0.109267986739793	18	Capillary_ECs, Fibroblasts, Vascular_ECs	
Efnb2	0.601965848843603	0.133707261165255	0.0480891755471693	0.109205584327107	19	Capillary_ECs, Vascular_ECs	
Plxnb2	0.603873478772261	0.135627938843003	0.0500098532249169	0.109112374526269	20	Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes	
Yars	0.594051622741431	0.135976985364645	0.0503588997465596	0.108882505481687	21	Fibroblasts, Lymphatic_ECs	
C3	0.603088853294244	0.133411782344756	0.0477936967266706	0.108818301362031	22	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium	Mesothelium
Copa	0.598691404287512	0.135441428189032	0.0498233425709462	0.108481706153971	23	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, Vascular_ECs	
Wnt4	0.586551135121077	0.138817000899594	0.0531989152815084	0.10842009197526	24	Airway, Pericytes	
Anxa1	0.606227355206306	0.132624394761636	0.0470063091435503	0.108249245401481	25	Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC	Alveolum, Lymphatic_ECs
Pros1	0.605720525566085	0.134888592055523	0.0492705064374375	0.108195181109763	26	Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs	
Itga4	0.596108494051031	0.13866751815127	0.0530494325331848	0.108115647719444	27	Granulocytes, Lymphocytes, MNP	
Vegfd	0.592949305214877	0.134889905361236	0.0492718197431507	0.107722106662981	28	Fibroblasts	
Calm1	0.598264367068781	0.133508214333739	0.0478901287156532	0.107709434781807	29	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Fibroblasts, Pericytes
Nid1	0.601130983692792	0.135125251659909	0.0495071660418235	0.107175828898126	30	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs	Capillary_ECs, Pericytes
Tnfsf13b	0.606649959512734	0.135077023844821	0.0494589382267357	0.107006348429879	31	Fibroblasts	
Vegfa	0.596978822500281	0.143519194278614	0.0579011086605289	0.106928120101131	32	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum
Osm	0.600155742985657	0.136210170097354	0.050592084479268	0.106585355010158	33	Granulocytes	
Ptprf	0.605037857071088	0.132323568618544	0.0467054830004588	0.106191602985384	34	Airway, Alveolum, Mesothelium	
Gpi1	0.61133259254443	0.137455034954574	0.0518369493364882	0.105301005940359	35	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs	Alveolum
Efna1	0.599600151310072	0.132541418844965	0.0469233332268796	0.105271957610585	36	Alveolum, Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Manf	0.597326067297518	0.131813569522033	0.0461954839039478	0.105012727268962	37	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Airway, Lymphatic_ECs
Ccl2	0.594644155352888	0.131120903466552	0.0455028178484666	0.104693703985921	38	MNP	MNP
Tgfb3	0.588829652045934	0.129194706171762	0.043576620553676	0.104483561855438	39	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Sema7a	0.597924510458719	0.132461633232419	0.0468435476143332	0.104281335559271	40	Capillary_ECs, Vascular_ECs	Capillary_ECs, Vascular_ECs
Npw	0.593699945031886	0.131837841628441	0.0462197560103558	0.103551188266937	41	Alveolum	
Hebp1	0.597018718711025	0.131506547427008	0.0458884618089219	0.103456539793622	42	MNP	
Robo2	0.594986967237822	0.132290301115106	0.0466722154970206	0.103422438805433	43	Fibroblasts	
Dsg2	0.592528178545883	0.134504970375016	0.0488868847569304	0.103044310166165	44	Airway	
Celsr1	0.587897262824417	0.134763673399852	0.0491455877817666	0.1028841601145	45	Airway, Lymphatic_ECs	Lymphatic_ECs
Col18a1	0.600361134589128	0.136676229920371	0.0510581443022856	0.102726852916447	46	Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs	Lymphatic_ECs, Pericytes, SMC, Vascular_ECs
Pcdh7	0.59467666337646	0.132677566734557	0.0470594811164709	0.102400683701617	47	Fibroblasts, Lymphatic_ECs, Mesothelium, SMC	
Gdf2	0.589108925521164	0.125255437138616	0.0396373515205299	0.102119016520602	48	Mesothelium	
Itgb1	0.598450549385597	0.132880570145414	0.0472624845273283	0.10202982341497	49	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Fgf2	0.591916436647772	0.137840288979546	0.0522222033614605	0.102018288894039	50	Fibroblasts, Mesothelium, SMC	
Fbn1	0.591168752105631	0.133755764605376	0.0481376789872904	0.101320498114445	51	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Fibroblasts, Pericytes
Itgb2	0.593717676681108	0.131449447047233	0.045831361429147	0.101237418506885	52	Granulocytes, Lymphocytes, MNP	
Nucb2	0.581116384634934	0.136639681478139	0.0510215958600537	0.101197821360026	53	Airway, Alveolum, Fibroblasts, MNP, Mesothelium	
Ceacam1	0.596622711878431	0.129728277039011	0.0441101914209251	0.101004875148334	54	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum
Adam9	0.592841437682119	0.131856728433821	0.0462386428157358	0.100879432830043	55	Alveolum, Fibroblasts, Lymphatic_ECs, MNP, SMC	Alveolum, MNP
Calm2	0.593163562642964	0.131490061167247	0.0458719755491611	0.10079996162475	56	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Selplg	0.592096708414849	0.131053679762311	0.0454355941442258	0.100130468844619	57	Granulocytes, Lymphocytes, MNP	
F11r	0.595586888036454	0.130982805583927	0.0453647199658412	0.100128215683695	58	Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs	
Penk	0.592943394665139	0.131917423686092	0.0462993380680068	0.0991473528250632	59	Fibroblasts	
Sell	0.594211207584416	0.13024107441526	0.0446229887971739	0.0989744476560275	60	Granulocytes, Lymphocytes	
Cxcl16	0.594358971327921	0.130729428069806	0.0451113424517204	0.0989078102340618	61	Alveolum, MNP	Alveolum, MNP
Jam2	0.600752708509417	0.126760017148966	0.0411419315308809	0.0988359519669657	62	Capillary_ECs, Vascular_ECs	Capillary_ECs, Vascular_ECs
Ptprc	0.5918839286242	0.127788709419212	0.0421706238011262	0.0987038499890712	63	Granulocytes, Lymphocytes, MNP	
Lamb2	0.596061209653107	0.130487149490497	0.0448690638724112	0.0986966015168666	64	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	SMC
Pgf	0.589485723067102	0.133634942252804	0.0480168566347181	0.0985211560445503	65	Lymphatic_ECs, Pericytes, SMC	Pericytes
Aimp1	0.590747625436642	0.134623077783131	0.0490049921650453	0.0980010002041684	66	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Mmp9	0.606422403347736	0.136172663726531	0.0505545781084455	0.0977073755771535	67	Granulocytes	
Bmp5	0.591236723427649	0.124162106653405	0.0385440210353195	0.0976310254216137	68	Airway, Fibroblasts, Pericytes	
Cdh1	0.5903708278907	0.129846575998031	0.0442284903799451	0.0975876237382333	69	Airway, Alveolum	
Hsp90b1	0.589764996542327	0.131343431295686	0.0457253456775999	0.0974212947501022	70	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Cdh5	0.592853258781599	0.12592770500692	0.0403096193888341	0.0970528583495619	71	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Sema3f	0.591622386798191	0.129276476848968	0.0436583912308828	0.0968779108340338	72	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Dll1	0.597535891813294	0.12535701692176	0.0397389313036746	0.0968639061465383	73	Capillary_ECs, Vascular_ECs	
Clstn1	0.590740237249464	0.132846851908224	0.0472287662901382	0.0963403436100979	74	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs	
Nenf	0.587665273747111	0.130940606677233	0.045322521059147	0.0961423398629859	75	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Il7	0.594805217833308	0.127331769883236	0.0417136842651504	0.0959807663522742	76	Lymphatic_ECs	
Plau	0.598280621080568	0.122519295171905	0.0369012095538194	0.0957656211751509	77	Lymphatic_ECs	
H2-T23	0.592538522007931	0.12724565792583	0.0416275723077444	0.0952394228691222	78	Capillary_ECs, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Vascular_ECs	
Trf	0.589609844611648	0.131964333437735	0.0463462478196495	0.0949553986071048	79	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	
Lamb1	0.584634639367809	0.128311247576775	0.042693161958689	0.0945545322243029	80	Airway, Fibroblasts, Lymphatic_ECs, Pericytes	
Dusp18	0.585380846272512	0.130564876531911	0.0449467909138253	0.0943429988692942	81	Airway	
Bmp3	0.589615755161386	0.124741807063722	0.0391237214456369	0.0940624046582244	82	Fibroblasts, Mesothelium, SMC	
Col5a3	0.588164715200157	0.12251132126048	0.0368932356423943	0.0938900470456312	83	Fibroblasts	
Sema3a	0.589584724775248	0.126368022803993	0.0407499371859071	0.0937430518402286	84	Lymphatic_ECs	
Adam12	0.587493867804643	0.126224401800943	0.0406063161828575	0.0935715394867	85	Lymphatic_ECs	Lymphatic_ECs
Cxcl2	0.587897262824415	0.12773064418045	0.0421125585623639	0.0931402904208049	86	Granulocytes	
Pecam1	0.592516357446406	0.123999068275719	0.0383809826576331	0.0924976567562004	87	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Agrn	0.587872142988018	0.126787370709322	0.0411692850912369	0.0924078242867336	88	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, SMC
Cxcl12	0.599106620406765	0.133535698014216	0.04791761239613	0.092223115909341	89	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	Capillary_ECs
Hc	0.588327255318018	0.129501985480344	0.043883899862258	0.091949710387192	90	Alveolum	
Vegfc	0.593478299416627	0.128040295255202	0.0424222096371167	0.0919053364483569	91	Vascular_ECs	Vascular_ECs
Pf4	0.592534089095626	0.129792505254569	0.0441744196364837	0.0918362517256794	92	MNP	
Pkd1	0.600309417278902	0.131537400036411	0.0459193144183249	0.0916291246348525	93	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Lamc2	0.583712593608329	0.12616444561865	0.0405463600005641	0.0915732481171557	94	Alveolum	Alveolum
Adam15	0.589200539042138	0.126333805318824	0.0407157197007383	0.0914459855472848	95	Capillary_ECs, MNP, Vascular_ECs	
Rtn4	0.5983072185544	0.132871937803221	0.047253852185135	0.0911785605985413	96	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum
Ntn1	0.588803054572105	0.132643962088948	0.0470258764708621	0.0911033967758232	97	Capillary_ECs, Lymphatic_ECs, Mesothelium, SMC, Vascular_ECs	Capillary_ECs, Vascular_ECs
Areg	0.586128530814651	0.126789731233917	0.0411716456158315	0.090705413735704	98	Airway, Alveolum	Airway
Wnt5a	0.582206881062005	0.127481636890599	0.041863551272513	0.0898490889490614	99	Fibroblasts, Pericytes	
Serpine1	0.585890631187605	0.133690697006084	0.0480726113879984	0.0892835471356171	100	Capillary_ECs, Fibroblasts, SMC	Capillary_ECs, Fibroblasts
Esam	0.590871746981184	0.122271140162274	0.0366530545441886	0.0889020545584849	101	Alveolum, Capillary_ECs, Mesothelium, Pericytes, Vascular_ECs	
Ptdss1	0.582475811075187	0.124978689983663	0.0393606043655774	0.0888026318309175	102	Fibroblasts, MNP, SMC	
Tnc	0.585843346789685	0.12365993007082	0.0380418444527339	0.0884117652679897	103	Fibroblasts, Lymphatic_ECs	Fibroblasts
