test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Tgfb1	0.749182276657065	0.180124242669227	0.157589031401622	0.295432360473401	1	MNP	
Spp1	0.645511527377514	0.0888094381057296	0.0662742268381239	0.16350042049711	2	Fibroblasts, MNP, Pericytes	Fibroblasts, MNP
Tgfb3	0.656498559077811	0.0899599058212092	0.0674246945536036	0.155594660677858	3	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Fgf1	0.659643371757921	0.0893444685857219	0.0668092573181163	0.155557582454881	4	Airway, Alveolum, Capillary_ECs	
Il1b	0.649535302593663	0.0794160341722527	0.056880822904647	0.15254747762098	5	Granulocytes, MNP	
Fgf2	0.64673631123919	0.0687348382190781	0.0461996269514724	0.143213385849836	6	Fibroblasts, Mesothelium	
Tgfb2	0.656145533141199	0.0831030293613326	0.060567818093727	0.135814177294306	7	Fibroblasts, Mesothelium, Pericytes, SMC	
Edn1	0.647474783861664	0.0628848348147283	0.0403496235471227	0.13344648837516	8	Capillary_ECs, Vascular_ECs	
Bmp4	0.658018731988464	0.0648316927565623	0.0422964814889567	0.122584122101442	9	Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs	
Mmp9	0.665724063400557	0.0561784002124402	0.0336431889448345	0.119396761568335	10	Granulocytes	
Sfrp2	0.707384726224764	0.0565047855465967	0.033969574278991	0.118899397488233	11	Mesothelium	
Plat	0.626718299711811	0.0657541584741605	0.0432189472065549	0.108591024774322	12	Capillary_ECs, Fibroblasts, Vascular_ECs	
Ocln	0.688822046109501	0.0543644139047601	0.0318292026371545	0.10755675282373	13	Airway	
Vwf	0.653346541786735	0.051135368511196	0.0286001572435903	0.107316101272403	14	Capillary_ECs, Vascular_ECs	Capillary_ECs
Hmgb1	0.633115994236299	0.0544336787040873	0.0318984674364816	0.106904816557746	15	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Apoe	0.663353746397679	0.060926981522574	0.0383917702549684	0.104021624627206	16	MNP	MNP
Itgb7	0.690025216138325	0.0497515684020468	0.0272163571344412	0.103965995492616	17	Lymphocytes, MNP	
Col4a1	0.678061959654191	0.0493510884716029	0.0268158772039973	0.10135255419837	18	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Vascular_ECs
Timp1	0.648876080691639	0.0531603863487327	0.0306251750811271	0.0990426438653547	19	Fibroblasts, Mesothelium	Fibroblasts, Mesothelium
Fgf7	0.639945965417864	0.064930233936673	0.0423950226690673	0.0986055498145213	20	Fibroblasts	
Icam1	0.631938040345815	0.0578285210688688	0.0352933098012632	0.0975365766226537	21	Airway, Alveolum, Capillary_ECs, Mesothelium, Vascular_ECs	Airway
Vcam1	0.655630403458207	0.0593465429881547	0.036811331720549	0.0973662304172507	22	Fibroblasts, Vascular_ECs	
Inhba	0.647420749279538	0.0526004103841333	0.0300651991165277	0.0956579432458102	23	Fibroblasts, SMC	Fibroblasts
Tnc	0.671945244956769	0.0456190885479894	0.0230838772803837	0.0944701774423123	24	Fibroblasts, Lymphatic_ECs, SMC	Fibroblasts, Lymphatic_ECs, SMC
Gpnmb	0.662265850144101	0.0504057844101597	0.027870573142554	0.0938131915118791	25	MNP	MNP
Il33	0.654358789625351	0.047892932051776	0.0253577207841704	0.0937915473003794	26	Alveolum, Fibroblasts, Mesothelium	
Cxcl12	0.642219020172907	0.0479079931502176	0.0253727818826119	0.0923639715060817	27	Capillary_ECs, Fibroblasts, Pericytes, SMC, Vascular_ECs	Capillary_ECs
Dll1	0.681210374639778	0.044107252821946	0.0215720415543404	0.0917406950607066	28	Capillary_ECs, Vascular_ECs	
Pkd1	0.646253602305469	0.0544619916386219	0.0319267803710162	0.0908410418640908	29	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Hgf	0.602946685878958	0.0600269979353392	0.0374917866677336	0.0904040795408244	30	Fibroblasts, Pericytes	
Copa	0.662572046109489	0.0468017649966381	0.0242665537290324	0.0901738864871394	31	Airway, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Pcdh1	0.658234870316997	0.0485412800405449	0.0260060687729392	0.0887407398742961	32	Capillary_ECs, Vascular_ECs	
Npw	0.643994956772331	0.0575571597218972	0.0350219484542915	0.0874896127673597	33	Alveolum	
Itga4	0.662010086455324	0.0450468110670612	0.0225115997994556	0.0874132600270267	34	Granulocytes, Lymphocytes, MNP	
Fn1	0.666167146974057	0.0474739265420666	0.0249387152744609	0.0869773236890713	35	Fibroblasts, MNP, SMC	Fibroblasts
Tfpi	0.65930115273776	0.044930279592809	0.0223950683252034	0.0869030418086112	36	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs	
Serping1	0.655904178674353	0.0470902643081706	0.0245550530405649	0.0848446113336164	37	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
C3	0.655039625360215	0.0453686242820571	0.0228334130144515	0.0845040656453188	38	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium	Mesothelium
Inhbb	0.641322046109515	0.0430477877543523	0.0205125764867467	0.0844858484010229	39	Airway	
Bmp5	0.67958213256484	0.0412280108273149	0.0186927995597093	0.0844648586642227	40	Airway, Fibroblasts, Pericytes	
Ncam1	0.660324207492793	0.0431543776419036	0.020619166374298	0.0843638986361864	41	Fibroblasts, SMC	Fibroblasts
Plxnb2	0.650241354466858	0.043968719711653	0.0214335084440474	0.0842198819779594	42	Airway, Alveolum, Fibroblasts, MNP, Mesothelium	
Adam17	0.655104466858787	0.0414930355467789	0.0189578242791733	0.0838272572481899	43	Lymphatic_ECs, MNP, Vascular_ECs	
Dll4	0.64987031700289	0.0444029149302987	0.0218677036626931	0.0837168499675008	44	Capillary_ECs	
Cxcl16	0.638591498559074	0.0547210957553912	0.0321858844877856	0.0833677914721078	45	MNP	
Gmfb	0.65855187319884	0.0427988097363115	0.0202635984687058	0.0827969257396009	46	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs	
Adam9	0.638033141210365	0.0452698940607886	0.022734682793183	0.0826733124121768	47	Fibroblasts, MNP	MNP
Gas6	0.652020893371758	0.0520428444914585	0.0295076332238528	0.082598049526145	48	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Npnt	0.641296829971178	0.0449356735709744	0.0224004623033688	0.0824662036067622	49	Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Lymphatic_ECs
Efnb2	0.651159942363109	0.0423823723420414	0.0198471610744358	0.0811799716484306	50	Capillary_ECs, Vascular_ECs	
Itgb2	0.646567002881831	0.0432901906462481	0.0207549793786424	0.080886940299391	51	Granulocytes, MNP	
