test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Il1b	0.535218855218855	0.090859646564034	0.0296635408616696	0.107641083560671	1	Granulocytes, MNP	
Hdgf	0.521548821548822	0.10680235817772	0.0456062524753558	0.0806212239653675	2	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Hc	0.53016835016835	0.088668602363021	0.0274724966606566	0.0573094164766184	3	Alveolum	
Edn1	0.524444444444444	0.0745518907675043	0.0133557850651399	0.0527198713916535	4	Capillary_ECs, Vascular_ECs	
Il33	0.548602693602694	0.0839627174364146	0.0227666117340502	0.052299433624958	5	Alveolum, Fibroblasts, Mesothelium	
Lamb2	0.589276094276094	0.0756023481223307	0.0144062424199663	0.0493836152963788	6	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Lgals3	0.541818181818182	0.0715814396433182	0.0103853339409538	0.0434969801691142	7	Airway, MNP	
Il1f9	0.565286195286195	0.0764508444939707	0.0152547387916063	0.0418092395311485	8	Granulocytes	
Fgf2	0.544410774410776	0.0735030785333446	0.0123069728309802	0.0414993713906765	9	Fibroblasts, Mesothelium	
Hgf	0.524629629629629	0.0713496115611287	0.0101535058587644	0.0329639334206081	10	Fibroblasts, Pericytes	
Apoe	0.518602693602695	0.0670680972546026	0.00587199155223817	0.032402853911492	11	MNP	MNP
Csf1	0.525016835016835	0.0671402924670696	0.00594418676470517	0.0300235550744441	12	Fibroblasts, Granulocytes, Mesothelium, SMC, Vascular_ECs	
Pf4	0.5186531986532	0.0692194445431271	0.00802333884076271	0.0296062508448532	13	MNP	
Il1rn	0.530235690235691	0.0701660017681264	0.00896989606576196	0.0219760157754507	14	Granulocytes, MNP	
Il18	0.537003367003367	0.069367754135236	0.0081716484328716	0.0142106343995008	15	MNP	
Thbs1	0.481885521885523	0.0786499328084402	0.0174538271060758	0.0140558146290038	16	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	
Kitl	0.537575757575758	0.0686558017844572	0.00745969608209281	0.0129271612023061	17	Airway, Capillary_ECs, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs	
Dsg2	0.535959595959597	0.0670655620316021	0.00586945632923769	0.0123356340846311	18	Airway	
Npw	0.534107744107745	0.0661480710298269	0.00495196532746254	0.007688207869155	19	Alveolum	
Thbs2	0.510555555555555	0.0648705166303912	0.0036744109280268	0.00763260316777978	20	Fibroblasts	Fibroblasts
Fat1	0.532575757575758	0.065993853083247	0.00479774738088264	0.00725839672680422	21	Airway, Alveolum, Fibroblasts, Pericytes, SMC	
Pcdh7	0.527003367003366	0.064392164482704	0.00319605878033957	0.00710493644607399	22	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Sema4d	0.538148148148148	0.066015404865655	0.00481929916329055	0.00524446402173434	23	MNP	
Cxcl16	0.531515151515152	0.0656045415613668	0.00440843585900241	0.00523016762631068	24	MNP	
Anxa1	0.526279461279461	0.0662263409585214	0.00503023525615699	0.00353216562196191	25	Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC	Airway, Alveolum
Hmgb1	0.503535353535354	0.0622365663204766	0.00104046061811217	0.00347094773794657	26	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Dll4	0.532979797979798	0.0630977817733054	0.00190167607094104	0.00342650564189057	27	Capillary_ECs	
Hbegf	0.533131313131313	0.0663200019347148	0.00512389623235037	0.00305031145742711	28	Alveolum, Pericytes	Alveolum
Hmgb2	0.524141414141416	0.064887888346345	0.00369178264398064	0.00280704471369928	29	Granulocytes, Lymphocytes, MNP	
Pecam1	0.537340067340068	0.0650136715913252	0.0038175658889608	0.00249137572818448	30	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
C3	0.52858585858586	0.0650801802823102	0.00388407457994585	0.00235739244525101	31	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium	Mesothelium
Mdk	0.531818181818182	0.0647138250744596	0.00351771937209518	0.00140728872704852	32	Fibroblasts	
Ceacam1	0.529831649831652	0.063895724363494	0.00269961866112958	0.000764810227945673	33	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum
Dll1	0.525791245791246	0.0613293568938464	0.000133251191482012	0.0006253133410351	34	Capillary_ECs, Vascular_ECs	
Itga4	0.537340067340068	0.0659119672542311	0.00471586155186671	0.000513797837723243	35	Granulocytes, Lymphocytes, MNP	
Vcam1	0.531144781144781	0.0646013814919119	0.0034052757895475	0.000151836538315231	36	Fibroblasts, Vascular_ECs	
Calm1	0.530942760942761	0.0651786980179307	0.00398259231556631	-0.000463153658327514	37	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum
Adam17	0.515235690235691	0.0671765925517231	0.00598048684935872	-0.000820576127932499	38	Lymphatic_ECs, MNP, Vascular_ECs	
Mif	0.522592592592594	0.0652441064525904	0.00404800075022602	-0.000946035749212125	39	Alveolum, Fibroblasts, MNP, Mesothelium, SMC	
