test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Calr	0.515116002765057	0.0790108561148447	0.00350571609357561	0.0302949022277355	1	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Tgfb2	0.498978405196004	0.0789224186388027	0.00341727861753369	0.0290889191096223	2	Fibroblasts, Mesothelium, Pericytes, SMC	
Tnfsf14	0.52661907024972	0.0808830548108857	0.00537791478961669	0.0157984547391575	3	Granulocytes	
Bdnf	0.494801117543707	0.0796698986149091	0.00416475859364004	0.0133076430074494	4	Mesothelium, SMC	
Igf1	0.492004558022984	0.0775420287444978	0.00203688872322871	0.011481303889448	5	Fibroblasts, MNP	Fibroblasts, MNP
Tgfb3	0.494500489645439	0.0785498090395875	0.00304466901831842	0.0113436942133096	6	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Tgfb1	0.491933451424292	0.0757170507331428	0.000211910711873722	0.0110306916120246	7	MNP	
Calm2	0.495339367493301	0.0775706188291112	0.00206547880784212	0.00841184969262794	8	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Calm1	0.495504982862409	0.0771873881512618	0.00168224812999279	0.0072687529560351	9	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum
App	0.502498631873038	0.0796244984042532	0.00411935838298415	0.00438879459342839	10	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Npnt	0.503992770529105	0.0786983429148955	0.00319320289362642	0.00342078842628895	11	Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Lymphatic_ECs
Ocln	0.515092600593335	0.0750938367097498	-0.000411303311519284	0.00255814318930801	12	Airway	
Pdgfb	0.48528903482243	0.0758530981645865	0.000347958143317423	0.00244969596833386	13	Capillary_ECs	
Cdh3	0.50654810766439	0.0764060816624943	0.0009009416412252	0.0023614182885628	14	Mesothelium	Mesothelium
Mapt	0.488784959244219	0.0776127621504008	0.00210762212913171	0.0019444348821536	15	Capillary_ECs, Pericytes, Vascular_ECs	
Cadm1	0.472142414816097	0.078901009052074	0.00339586903080497	0.00180289070857617	16	Airway, Alveolum, Capillary_ECs, Pericytes	
Copa	0.51231674299375	0.0756840061046174	0.000178866083348314	0.000489157126549036	17	Airway, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Angpt1	0.497602177482071	0.0761867122243841	0.000681572203115058	-0.000448053242910738	18	Fibroblasts, Pericytes, SMC	
Itgb7	0.511247443762782	0.0750567760716628	-0.000448363949606206	-0.000669048264210756	19	Lymphocytes, MNP	
Hc	0.491090973242317	0.07414548946854	-0.00135965055272905	-0.00229870020769723	20	Alveolum	
Itgal	0.486216120856014	0.0733225990352208	-0.00218254098604827	-0.00342990441495607	21	Granulocytes, Lymphocytes, MNP	
Itgam	0.509062040957401	0.0740835448422941	-0.00142159517897493	-0.00374301381904158	22	Granulocytes, MNP	
Jam2	0.506295184193094	0.0725549571239509	-0.00295018289731815	-0.00398301221817175	23	Capillary_ECs, Vascular_ECs	Capillary_ECs, Vascular_ECs
Agrn	0.502912670295803	0.0748001210848433	-0.000705018936425716	-0.00405694955076002	24	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	Airway, Alveolum
Grem1	0.480165759382473	0.0756389033539474	0.000133763332678338	-0.00415078695249386	25	Fibroblasts	Fibroblasts
Bmp6	0.49112967683401	0.0732607183010308	-0.00224442172023825	-0.00424232739894216	26	Capillary_ECs, Vascular_ECs	
Rps19	0.507603905642443	0.0740434248769908	-0.00146171514427823	-0.00517731472956844	27	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Airway, Capillary_ECs
Fgf2	0.492828134450876	0.0726366829784533	-0.0028684570428158	-0.00568145562061773	28	Fibroblasts, Mesothelium	
Spp1	0.488723753564333	0.0722916387217414	-0.00321350129952765	-0.00581402458441541	29	Fibroblasts, MNP, Pericytes	Fibroblasts, MNP
Lamb2	0.504066577378381	0.0742088414108685	-0.00129629861040052	-0.00645213473694476	30	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Dll1	0.510464371093638	0.0736159641569382	-0.00188917586433082	-0.00650562066268374	31	Capillary_ECs, Vascular_ECs	
Vcam1	0.501481537486678	0.0739479479227225	-0.00155719209854652	-0.00688622600703864	32	Fibroblasts, Vascular_ECs	
Lgals3	0.495330366658026	0.0738201058316118	-0.00168503418965726	-0.00758050756255939	33	Airway, MNP	
Mdk	0.482939816815002	0.0750494204543733	-0.000455719566895718	-0.00774516720217289	34	Fibroblasts	
Itga4	0.503434718741897	0.073977091946054	-0.00152804807521502	-0.00789249963303991	35	Granulocytes, Lymphocytes, MNP	
Pcdh7	0.50183797056367	0.073562899898439	-0.00194224012283004	-0.00811256005923097	36	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Trf	0.482710295515422	0.0713455805204002	-0.00415955950086888	-0.00850669229427938	37	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	Airway
Hmgb1	0.490820948183992	0.0752316051549384	-0.000273534866330638	-0.00855912104277685	38	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Pkd1	0.494034246378064	0.073794008938327	-0.00171113108294202	-0.00861258421381495	39	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Nampt	0.482981220657281	0.0753670988301227	-0.000138041191146354	-0.0087259319810039	40	Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs	Pericytes
Pgf	0.488442927503673	0.0778033370133574	0.00229819699208832	-0.00904055830638596	41	Lymphatic_ECs, Pericytes, SMC	
Vwf	0.501211512428354	0.073039122495006	-0.00246601752626303	-0.00945835079210174	42	Capillary_ECs, Vascular_ECs	Capillary_ECs
Jag2	0.49822683545033	0.0727174508825293	-0.00278768913873972	-0.00946627045504319	43	Airway, Capillary_ECs, Vascular_ECs	Capillary_ECs
Adam9	0.500671462311703	0.0736438165711622	-0.00186132345010685	-0.00953393036092838	44	Fibroblasts, MNP	MNP
Dsg2	0.500972090209972	0.0730510617217036	-0.00245407829956541	-0.00969912560607376	45	Airway	
Fgf10	0.504027873786688	0.0738927649784777	-0.00161237504279135	-0.00981523357315146	46	Fibroblasts	
Cxcl12	0.494856922722428	0.0729085210415216	-0.00259661897974744	-0.00982588542864151	47	Capillary_ECs, Fibroblasts, Pericytes, SMC, Vascular_ECs	Capillary_ECs
Inhba	0.492838935453214	0.0736738324289723	-0.00183130759229674	-0.0100391236841174	48	Fibroblasts, SMC	Fibroblasts
