test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Apoe	0.491390029288212	0.112193955969293	0.0307305413351462	0.0741114841713174	1	MNP	MNP
Csf1	0.479833747269137	0.105648709496197	0.0241852948620506	0.0674727324621097	2	Fibroblasts, Granulocytes, Mesothelium, SMC	
Mif	0.495756230502351	0.103368264544845	0.0219048499106988	0.0661816304052206	3	Alveolum, Fibroblasts, MNP	Alveolum, MNP
Ltf	0.49476087654749	0.100830035939954	0.0193666213058077	0.0522169676355379	4	Airway	Airway
Lama2	0.488935034869189	0.107616868337792	0.0261534537036458	0.0457982007979245	5	Fibroblasts	
App	0.48184512546866	0.0981530193585904	0.0166896047244441	0.0378801199271318	6	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Tgfb2	0.494283869859856	0.0906871257992582	0.00922371116511184	0.0283641165624635	7	Fibroblasts, Mesothelium, Pericytes, SMC	
Tgfb3	0.481719513707585	0.0909608519219811	0.00949743728783477	0.0170329321641849	8	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Angpt2	0.503388337504494	0.09333176416116	0.0118683495270137	0.0169119036460722	9	Lymphatic_ECs, Pericytes, SMC	
Cxcl12	0.474872877717745	0.0900278608124218	0.00856444617827544	0.0118793806305997	10	Capillary_ECs, Fibroblasts, Mesothelium, SMC, Vascular_ECs	Capillary_ECs
Ntn1	0.453000531067446	0.0851006834359438	0.00363726880179743	0.00803497181021118	11	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	Capillary_ECs, Vascular_ECs
Cdh1	0.4625247645972	0.0877596082406525	0.00629619360650617	0.00693726910286752	12	Airway, Alveolum	
Col5a3	0.49884087374905	0.0856632417948452	0.00419982716069889	0.00607483378447913	13	Fibroblasts	Fibroblasts
Lgals3	0.468512788549295	0.0837219822987718	0.00225856766462544	0.00475470058090094	14	Airway, Granulocytes, MNP	Airway, MNP
Vegfa	0.456794324256427	0.0835724709153353	0.00210905628118896	0.00178846618790845	15	Alveolum, Capillary_ECs, Vascular_ECs	Alveolum
Npnt	0.473702621310751	0.0916551741845795	0.0101917595504332	0.00050628435218937	16	Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	Lymphatic_ECs
Calm1	0.455417364951456	0.084352903072569	0.00288948843842268	-0.000113242377039903	17	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Alveolum, Fibroblasts, SMC
Vegfc	0.477089368792952	0.0856537226894366	0.00419030805529025	-0.00141806885781374	18	Capillary_ECs, Vascular_ECs	Capillary_ECs
Has2	0.484435271782512	0.082589837712102	0.00112642307795563	-0.0031236354278384	19	Fibroblasts	Fibroblasts
Itgam	0.485236643017736	0.0841561937767673	0.00269277914262099	-0.003460516113217	20	Granulocytes, MNP	
Pcdh1	0.48983180744194	0.0836460588470598	0.00218264421291341	-0.00369289146909377	21	Capillary_ECs, Vascular_ECs	
Sema3c	0.482698967439525	0.0866917345586835	0.00522831992453719	-0.00380939867293619	22	Capillary_ECs, Mesothelium, Vascular_ECs	
Cxcl2	0.491552211562007	0.0855087133001205	0.00404529866597415	-0.00558085018534914	23	Granulocytes	
Hc	0.471839115184395	0.0833128982966215	0.00184948366247513	-0.00611594915864819	24	Alveolum	
Hgf	0.450774499858488	0.0859620304059779	0.00449861577183153	-0.00716724706278228	25	Fibroblasts	
