test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Calr	0.475198291641245	0.0288660719742355	0.00317714156788332	0.0294067627567689	1	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Sfrp2	0.527098404950756	0.029877184438753	0.00418825403240086	0.0133770114732572	2	Mesothelium	
Bmp5	0.494996949359364	0.0296542759007202	0.00396534549436798	0.00439798346799935	3	Airway, Fibroblasts, Pericytes, SMC	SMC
Tgfb2	0.46850431447747	0.0303070995678311	0.00461816916147888	0.00103179519781239	4	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
App	0.451869606903164	0.027323225762505	0.00163429535615285	0.000828099356829993	5	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Thbs2	0.473882158110348	0.0270442777120776	0.00135534730572539	-0.00631070627263618	6	Fibroblasts	Fibroblasts
Dkk2	0.485818879107468	0.0263026330015049	0.000613702595152733	-0.00749913780062526	7	Fibroblasts	Fibroblasts
Cadm1	0.44012899851826	0.0224732180011275	-0.00321571240522465	-0.0114988966943507	8	Airway, Alveolum, Vascular_ECs	
Ltf	0.419332345506845	0.0210521020766381	-0.00463682832971408	-0.0134609656621065	9	Airway	Airway
Il18	0.46714024230803	0.0257606472164734	7.17168101212091e-05	-0.0142656181136033	10	MNP	
Jam2	0.493053255469362	0.0238979168740663	-0.00179101353228588	-0.0156035283434806	11	Capillary_ECs, Vascular_ECs	Capillary_ECs
Npnt	0.495964438246322	0.0250848458715943	-0.000604084534757878	-0.0159218981041541	12	Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Dll1	0.493794125337752	0.0247873835591405	-0.000901546847211644	-0.016704936815529	13	Vascular_ECs	
Gpnmb	0.490429704523667	0.023765208725501	-0.00192372168085121	-0.0171158293238256	14	MNP	MNP
Lamb2	0.485426653883031	0.0252031436875987	-0.00048578671875351	-0.0172513293261903	15	Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Plau	0.49052558180075	0.024517097078607	-0.00117183332774517	-0.0173307647142806	16	Lymphatic_ECs	
Ncam1	0.477704175019614	0.0241219371157018	-0.00156699329065039	-0.0184214174338914	17	Fibroblasts, Mesothelium	Fibroblasts
Tnc	0.47831866120457	0.0237940691808962	-0.00189486122545601	-0.0193505336305598	18	Fibroblasts, Lymphatic_ECs	Fibroblasts
Igf1	0.43935326418548	0.022301397197153	-0.00338753320919918	-0.0200761749638554	19	Fibroblasts, MNP	Fibroblasts, MNP
