test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Hc	0.549378422540189	0.053119311488525	0.0252986005148002	0.0827788695449722	1	Alveolum	
Edn1	0.553871886592477	0.0423436568138048	0.0145229458400799	0.0799918557529725	2	Capillary_ECs, Vascular_ECs	
Hmgb1	0.56199213919802	0.055756679380123	0.0279359684063981	0.0762472968517469	3	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Tgfb1	0.569124271330154	0.043994618718177	0.0161739077444521	0.0725095406135732	4	MNP	
Vegfa	0.567843578872996	0.0418438557333343	0.0140231447596095	0.0711072855611547	5	Alveolum, Capillary_ECs, Vascular_ECs	
Il33	0.593976329270455	0.0511518687538604	0.0233311577801355	0.0692327505362832	6	Alveolum, Fibroblasts, Mesothelium	
Vwf	0.557034976152627	0.0362184854581309	0.00839777448440602	0.0550600941193129	7	Capillary_ECs, Vascular_ECs	Capillary_ECs
Plat	0.546839118530293	0.0457091969824598	0.0178884860087349	0.049353153073153	8	Capillary_ECs, Fibroblasts, Vascular_ECs	
Trf	0.546706633103693	0.0451312465842541	0.0173105356105292	0.0493361706060075	9	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium	Airway
Mmp9	0.557134340222579	0.0450725811842493	0.0172518702105244	0.0488055151612166	10	Granulocytes	
Hgf	0.557244744744746	0.0381708368681755	0.0103501258944506	0.0485448964906391	11	Fibroblasts, Pericytes	
Sfrp2	0.586512983571812	0.0368770206437752	0.00905630967005033	0.0468899469936828	12	Mesothelium	
Tgfb2	0.560832891715249	0.0397225157154758	0.0119018047417509	0.0460121821677564	13	Fibroblasts, Mesothelium, Pericytes, SMC	
Lamb2	0.58830153683095	0.0354091637163815	0.00758845274265657	0.0458802117399802	14	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs	
Cdh3	0.586369457692984	0.0354814563187006	0.00766074534497576	0.0458552032121062	15	Mesothelium	Mesothelium
Hsp90b1	0.561809971736441	0.0460474604922503	0.0182267495185254	0.045808760000727	16	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Il1b	0.558017576399932	0.0366863953728365	0.00886568439911163	0.0447414316264561	17	Granulocytes, MNP	
Tfpi	0.594478669846321	0.0351272939741629	0.00730658300043805	0.0446497849590955	18	Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs	
Ocln	0.577365968910093	0.0360725296914992	0.00825181871777435	0.0444976944885614	19	Airway	
Tnfsf10	0.532481010422191	0.0354002280122335	0.00757951703850861	0.0436657281486221	20	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Pvr	0.584531222398877	0.0349268640571065	0.00710615308338162	0.0419501825900783	21	Capillary_ECs	Capillary_ECs
Fgf10	0.586529544250135	0.0359098604927573	0.00808914951903237	0.0412108016819561	22	Fibroblasts	
Calr	0.567374359653772	0.0356742512228462	0.00785354024912127	0.0404547157784385	23	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Col5a3	0.567026585408943	0.0350810128919605	0.00726030191823565	0.0396400897827057	24	Fibroblasts, Pericytes	
Tnc	0.585833995760471	0.0343631000686274	0.00654238909490255	0.0382426556841847	25	Fibroblasts, Lymphatic_ECs, SMC	Fibroblasts, Lymphatic_ECs, SMC
Itgb7	0.568362480127187	0.0343499306023468	0.00652921962862192	0.0382153916604531	26	Lymphocytes, MNP	
Wnt7b	0.572977389153861	0.0337838031619066	0.00596309218818169	0.0374672098862847	27	Airway	Airway
Flrt3	0.580656023670732	0.0338140686866592	0.00599335771293427	0.0369263804780877	28	Lymphatic_ECs	
Copa	0.572999470058298	0.0337766518227125	0.0059559408489876	0.0366987596797128	29	Airway, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Spp1	0.54173290937997	0.031547287975949	0.00372657700222414	0.0360858626188136	30	Fibroblasts, MNP, Pericytes	Fibroblasts, MNP
Osm	0.566805776364601	0.0331464130850618	0.00532570211133688	0.0354128244408992	31	Granulocytes	
Pdgfb	0.56024774774775	0.0331371230646593	0.00531641209093443	0.0349106944319874	32	Capillary_ECs	
Dsg2	0.56996886592475	0.0330972548168302	0.00527654384310533	0.0346496388306665	33	Airway	
Pros1	0.573744700582937	0.0332160500449577	0.00539533907123285	0.0344374260508054	34	Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs	Pericytes
Ltf	0.588941883059538	0.0362418673267465	0.00842115635302158	0.0341770164697637	35	Airway	Airway
Cdh1	0.576847067655894	0.0332270477435994	0.00540633676987456	0.0336934087087262	36	Airway, Alveolum	
Hspg2	0.566998984278399	0.0327808991449007	0.00496018817117581	0.0336280154630127	37	Fibroblasts, Lymphatic_ECs, Pericytes, SMC	
Plau	0.538812709768592	0.0329291246917094	0.00510841371798448	0.0330763410511236	38	Lymphatic_ECs	
