test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Tgfb1	0.505918076470221	0.0828863004445979	0.0101833566444195	0.0277766025224608	1	Lymphatic_ECs, MNP	
Edn1	0.476582948975588	0.0824569296262486	0.00975398582607021	0.0262565489605855	2	Capillary_ECs, Vascular_ECs	
Spp1	0.474216308572137	0.07381352920611	0.00111058540593162	0.0142743550098423	3	Pericytes	
Plau	0.476237690961617	0.084540005465585	0.0118370616654066	0.0116840016776244	4	Lymphatic_ECs	
App	0.506862371893049	0.0801333821377635	0.00743043833758511	0.0111264180393947	5	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Granulocytes
Bmp5	0.510931694980774	0.0756098873276325	0.00290694352745405	0.0100254210956442	6	Airway, Fibroblasts, Pericytes	
Hmgb1	0.476945912528735	0.0827712523483565	0.0100683085481781	0.00715669377537914	7	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Hspg2	0.509553613848092	0.0827310406937872	0.0100280968936088	0.00692748636357451	8	Fibroblasts, Pericytes, SMC	
Agrn	0.502707472032625	0.0775193045989684	0.00481636079879	0.00251201616523078	9	Airway, Alveolum, Lymphatic_ECs, Mesothelium, SMC, Vascular_ECs	Alveolum, SMC
Fgf2	0.491966111598013	0.0754129842736582	0.00271004047347978	0.00165710178027476	10	Fibroblasts	
Cxcl12	0.504221295632338	0.075977867482306	0.00327492368212762	0.0012668454946811	11	Capillary_ECs, Fibroblasts, SMC, Vascular_ECs	Vascular_ECs
Jag2	0.499585395290916	0.0776434722339748	0.00494052843379642	0.000933462693427754	12	Airway, Capillary_ECs	
Hc	0.487333162179787	0.0742912048647164	0.00158826106453802	0.000926809288237395	13	Alveolum	
Fgf1	0.496259704848662	0.0761008381703261	0.00339789437014772	-0.000333673911158014	14	Airway, Alveolum	
Lama2	0.496377741776515	0.0742242746051251	0.00152133080494671	-0.000908265522183606	15	Fibroblasts, Pericytes, SMC	
Nrtn	0.506785647889943	0.0750731526173809	0.00237020881720247	-0.00101755491296317	16	SMC	SMC
Fbn1	0.496563649937882	0.0756877198510921	0.0029847760509137	-0.00302074199398561	17	Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
