test_ligand	auroc	aupr	aupr_corrected	pearson	rank	expressed_in	upregulated_in
Npnt	0.605272324030765	0.0358935144295386	0.00929548783151195	0.0441744560538229	1	Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC	
Hgf	0.562916731827295	0.0466439637993221	0.0200459372012955	0.0404832121977701	2	Fibroblasts, Pericytes	
Hmgb1	0.591449977963867	0.0343959497433434	0.00779792314531684	0.0402765734701199	3	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	SMC
Tnc	0.600235999943134	0.0344978354223947	0.00789980882436806	0.0402019876693207	4	Fibroblasts, Lymphatic_ECs	Fibroblasts
Bmp5	0.602638649966598	0.0340988223879411	0.00750079578991452	0.0359085867144864	5	Airway, Fibroblasts, Pericytes, SMC	SMC
Sema3b	0.592071965765796	0.0331239710588498	0.00652594446082316	0.0342276270340664	6	Alveolum	
Itga4	0.583733775003911	0.0338357185926293	0.00723769199460272	0.033804692399474	7	Granulocytes, Lymphocytes, MNP	
Ntn1	0.581970883862446	0.0333158935573491	0.00671786695932252	0.0332208341846978	8	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Sema3c	0.572591307809329	0.0324504475349506	0.00585242093692401	0.0326834128746146	9	Capillary_ECs, Mesothelium, Vascular_ECs	
Nenf	0.580819317874869	0.0334311603273487	0.00683313372932215	0.0322797679727555	10	Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, SMC, Vascular_ECs	
Nampt	0.581004137107443	0.0342832465281044	0.00768521993007781	0.0315170628047685	11	MNP, SMC	
Manf	0.561370647862501	0.0333779514475927	0.00677992484956613	0.0312611020744858	12	Airway, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Vascular_ECs	
Copa	0.57524630716957	0.0326905342263524	0.00609250762832578	0.0310789338468519	13	Fibroblasts, Lymphatic_ECs	
Cdh1	0.583605823227515	0.0326985709828577	0.00610054438483111	0.0306709255246591	14	Airway, Alveolum	
Dkk2	0.5727761270419	0.0317118585005758	0.00511383190254922	0.0303569453065219	15	Fibroblasts	Fibroblasts
Calm2	0.584288232701637	0.032814219804822	0.00621619320679544	0.0302684334822318	16	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	
Dsg2	0.576291246676816	0.0322784487740102	0.00568042217598362	0.0299239854143133	17	Airway	
Calm1	0.580755341986672	0.0324095908200783	0.00581156422205174	0.0292730461905511	18	Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Fibroblasts
Hsp90b1	0.580808655226836	0.0329920378122856	0.00639401121425901	0.0290848292510845	19	Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs	Lymphatic_ECs, Lymphocytes, MNP, Pericytes
Rspo1	0.575775885355217	0.0315038788544209	0.0049058522563943	0.0287924523779278	20	Mesothelium	
Cdh5	0.568553718420795	0.0317718840756821	0.00517385747765546	0.028780032009265	21	Capillary_ECs, Lymphatic_ECs, Vascular_ECs	
Serping1	0.581071667211654	0.0319687330230397	0.00537070642501307	0.0287694883014625	22	Fibroblasts, Mesothelium, Pericytes, SMC	
Thbs2	0.567480345185464	0.0326624365849796	0.00606440998695298	0.0282253141797868	23	Fibroblasts	Fibroblasts
Itgam	0.575374258945972	0.0322488662418691	0.0056508396438425	0.027895702315005	24	Granulocytes, MNP	
Inhba	0.591179857547024	0.0323102745968986	0.00571224799887197	0.0276693390860016	25	Fibroblasts, SMC	Fibroblasts
