"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Apoe"	0.502027342117643	0.139314475510074	0.0126856749754936	0.0455947619751351	1	"MNP"	"MNP"
"2"	"Il18"	0.501939021263625	0.143731757352204	0.0171029568176229	0.0373707796436061	2	"MNP"	""
"3"	"Edn1"	0.489253623173776	0.136175614009402	0.0095468134748215	0.0323228232496108	3	"Capillary_ECs, Vascular_ECs"	""
"4"	"Igf1"	0.498217432820634	0.134601254590296	0.00797245405571489	0.0300104347808618	4	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"5"	"Nrtn"	0.517990200927417	0.137853084166844	0.0112242836322633	0.0253221032689386	5	"SMC"	""
"6"	"Fgf7"	0.498657523018938	0.136023920131895	0.00939511959731465	0.0252855438824635	6	"Fibroblasts"	""
"7"	"Mmp9"	0.503513151227506	0.137420283267493	0.0107914827329126	0.0247267106737698	7	"Granulocytes"	""
"8"	"Fgf2"	0.492641611133878	0.134717702086975	0.00808890155239381	0.0234428272462001	8	"Fibroblasts"	""
"9"	"Hgf"	0.493607588931529	0.135883620778368	0.00925482024378743	0.0229019487466968	9	"Fibroblasts"	""
"10"	"Itgam"	0.50873266135463	0.139351891404668	0.0127230908700874	0.0227607396766161	10	"Granulocytes, MNP"	""
"11"	"Hmgb1"	0.484275859841366	0.137134472974793	0.0105056724402125	0.0220591983466351	11	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"12"	"Adam17"	0.501945077550756	0.135699543127783	0.00907074259320209	0.021336593054247	12	"Lymphatic_ECs, MNP, SMC"	""
"13"	"Tgfb2"	0.491121483063593	0.129741217762218	0.00311241722763694	0.0210023055030012	13	"Fibroblasts, Mesothelium, Pericytes, SMC"	""
"14"	"Cxcl12"	0.503693830460298	0.135526334003928	0.00889753346934774	0.0193445698418979	14	"Capillary_ECs, Fibroblasts, Mesothelium, SMC, Vascular_ECs"	"Capillary_ECs"
"15"	"Spp1"	0.492836926393904	0.13335637053207	0.00672756999748961	0.0180544236341375	15	"Fibroblasts, MNP, Pericytes"	"Fibroblasts, MNP"
"16"	"Wnt5a"	0.493493528857199	0.133994971086157	0.00736617055157662	0.0175055858228772	16	"Fibroblasts"	""
"17"	"Lgals3"	0.497350374379482	0.133527220353032	0.0068984198184511	0.0172290939973397	17	"Airway, Granulocytes, MNP"	"Airway, MNP"
"18"	"Dusp18"	0.50262792392496	0.134205794956854	0.00757699442227361	0.0160910788515142	18	"Airway"	""
"19"	"Gpi1"	0.508408145302442	0.134119906085698	0.0074911055511169	0.016058162132009	19	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Vascular_ECs"
"20"	"Angpt2"	0.500420407265123	0.133505716747296	0.00687691621271558	0.0152905644874534	20	"Lymphatic_ECs, Pericytes, SMC"	""
"21"	"Efnb1"	0.50483594527539	0.135553111210533	0.00892431067595228	0.0148698989121233	21	"Capillary_ECs, Vascular_ECs"	""
"22"	"Tnfsf13b"	0.503512646536914	0.13461814376046	0.00798934322587921	0.014833855705371	22	"Fibroblasts"	""
"23"	"Hbegf"	0.505191247453836	0.136064277691142	0.00943547715656093	0.0145964762065978	23	"Alveolum, Fibroblasts, Pericytes"	"Alveolum, Fibroblasts"
"24"	"Lamb2"	0.498836183489349	0.138634880878814	0.012006080344233	0.0142068616460116	24	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"25"	"Vegfa"	0.491790198101154	0.132396574942419	0.00576777440783846	0.0140893115991558	25	"Alveolum, Capillary_ECs, Vascular_ECs"	"Alveolum"
"26"	"Crlf1"	0.498826594368056	0.135505469748446	0.00887666921386532	0.0135995438288131	26	"Alveolum, Fibroblasts"	"Alveolum, Fibroblasts"
"27"	"Cadm1"	0.49137786588554	0.130925196269424	0.00429639573484369	0.0135285934281336	27	"Airway, Alveolum, Pericytes"	""
"28"	"Npnt"	0.491508580749485	0.132069642216089	0.00544084168150824	0.0131110046141005	28	"Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Lymphatic_ECs"
"29"	"Pkd1"	0.496712445468183	0.131757002191907	0.00512820165732611	0.012445639586129	29	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Lymphatic_ECs"
"30"	"Itgb2"	0.500715651262839	0.135297078006814	0.008668277472233	0.0120870378723254	30	"Granulocytes, MNP"	""
"31"	"Yars"	0.504873292379372	0.135857327245433	0.00922852671085203	0.0118942667594608	31	"Fibroblasts"	""
"32"	"Bdnf"	0.499432727771912	0.13263229139524	0.00600349086065974	0.0118765441306461	32	"SMC"	""
"33"	"Efnb2"	0.502791948368131	0.134030255155962	0.00740145462138148	0.0115401748135342	33	"Capillary_ECs, Vascular_ECs"	""
"34"	"Il16"	0.504408472341949	0.133149234444744	0.00652043391016377	0.0113570762073271	34	"Granulocytes"	""
"35"	"Nampt"	0.485251931450906	0.129297944983114	0.00266914444853303	0.0113363207098607	35	"MNP, SMC"	"MNP"
"36"	"Jag2"	0.505575821686757	0.131551725219357	0.0049229246847759	0.0106630677224592	36	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"37"	"Bmp4"	0.490672813125182	0.13422886794807	0.00760006741348906	0.0105068111164785	37	"Alveolum, Fibroblasts, Vascular_ECs"	""
"38"	"Pros1"	0.494664915726765	0.133932016964132	0.0073032164295512	0.0102536032902753	38	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs"	"Pericytes"
"39"	"Col4a1"	0.503090220509416	0.134019851676373	0.0073910511417922	0.0102038324403138	39	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Vascular_ECs"
"40"	"Pf4"	0.492796046455758	0.131882009664921	0.00525320913034025	0.0100041591688324	40	"MNP"	""
"41"	"Itgb1"	0.495499169279284	0.131407233381538	0.0047784328469575	0.00964319504390466	41	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Fibroblasts, Lymphatic_ECs, Pericytes"
"42"	"Celsr1"	0.500410818143829	0.13204132373804	0.00541252320345886	0.0094867967339057	42	"Airway"	""
"43"	"Nectin1"	0.497774314478766	0.133314368881626	0.00668556834704559	0.00948280232093735	43	"Alveolum, Pericytes"	""
"44"	"Vcam1"	0.502404345991648	0.134172810124089	0.0075440095895086	0.0094564559672634	44	"Fibroblasts, Vascular_ECs"	""
"45"	"Nts"	0.495779777249759	0.131186524214445	0.00455772367986404	0.0091384167585659	45	"Lymphatic_ECs"	"Lymphatic_ECs"
"46"	"Col18a1"	0.494794621209521	0.134498364585192	0.00786956405061107	0.00895194110938344	46	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Lymphatic_ECs, Pericytes, SMC"
"47"	"Fgf1"	0.498891699454735	0.131725212113061	0.00509641157848079	0.00878933089832365	47	"Airway, Alveolum"	""
"48"	"Cxcl16"	0.496324843091692	0.132039716511841	0.00541091597726048	0.00835759392404746	48	"Alveolum, MNP"	"Alveolum, MNP"
"49"	"F7"	0.502548182811046	0.13268584108164	0.00605704054705952	0.00822850168084635	49	"MNP"	"MNP"
"50"	"Itga4"	0.500638938292492	0.133500222508011	0.00687142197343021	0.00814066480739448	50	"Lymphocytes"	""
"51"	"Cxcl2"	0.492802102742889	0.132370127960442	0.00574132742586109	0.0074182377764117	51	"Granulocytes"	""
"52"	"Pcdh7"	0.498499050172299	0.132806599337708	0.00617779880312777	0.00728990065778021	52	"Fibroblasts, Mesothelium, SMC"	"Fibroblasts"
"53"	"Psap"	0.488057001774491	0.133012606367246	0.00638380583266518	0.0071991888567539	53	"MNP"	""
"54"	"Col1a1"	0.488775681180897	0.132162227012233	0.00553342647765223	0.00702020382791625	54	"Fibroblasts, Mesothelium, Pericytes, SMC"	"Fibroblasts"
"55"	"Ncam1"	0.495957933029575	0.134277101436302	0.00764830090172156	0.0069646456860296	55	"Fibroblasts, SMC"	"Fibroblasts"
"56"	"Hc"	0.493384010998214	0.131086668791941	0.0044578682573603	0.00691565113333418	56	"Alveolum"	""
"57"	"Mdk"	0.497714760988627	0.133998789013505	0.00736998847892428	0.0067556863374044	57	"Fibroblasts"	""
"58"	"Lrpap1"	0.498336539800908	0.132917363974413	0.00628856343983217	0.00633998378237175	58	"Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"MNP"
"59"	"Fbn1"	0.490938785068427	0.133669551557846	0.00704075102326521	0.00632499885921374	59	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Fibroblasts, Lymphatic_ECs"
"60"	"Pvr"	0.498210367152314	0.133303955429265	0.00667515489468473	0.00631496982777583	60	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"61"	"Anxa1"	0.49289395643107	0.134294592096241	0.00766579156166045	0.00624530300404366	61	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs"
"62"	"Mapt"	0.496474231507631	0.130268890576679	0.00364009004209787	0.00590919832168259	62	"Capillary_ECs, Pericytes"	""
"63"	"Pecam1"	0.494912718808607	0.133547226349154	0.00691842581457319	0.00589726510501136	63	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"64"	"Hspg2"	0.493318905911543	0.133239012097154	0.00661021156257369	0.00582985275829239	64	"Fibroblasts, Lymphatic_ECs, SMC"	"Fibroblasts, SMC"
