"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Vegfa"	0.533640619123963	0.369597648515846	0.0683653345039788	0.118768735414812	1	"Alveolum, Capillary_ECs, Vascular_ECs"	"Alveolum"
"2"	"Mmp9"	0.529644914197495	0.360778663435471	0.0595463494236042	0.0924359057327731	2	"Granulocytes"	""
"3"	"Dusp18"	0.536235971735645	0.363487238376892	0.0622549243650251	0.0903658116983619	3	"Airway"	""
"4"	"Psap"	0.540605268887436	0.360809785674033	0.0595774716621666	0.0900015534784156	4	"MNP"	""
"5"	"Gmfb"	0.53403004572175	0.363217886317961	0.0619855723060945	0.0869273168142526	5	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes"	""
"6"	"Cxcl12"	0.531785523424975	0.355775654527393	0.0545433405155266	0.0859834592519877	6	"Capillary_ECs, Fibroblasts, Mesothelium, SMC, Vascular_ECs"	"Capillary_ECs"
"7"	"Hmgb1"	0.527293509886587	0.352414271667508	0.0511819576556414	0.0852350586785473	7	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"8"	"Icam2"	0.535546681709321	0.360995612859503	0.059763298847636	0.0843794489924166	8	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"9"	"Yars"	0.540042653840825	0.357012868397465	0.0557805543855981	0.0843692034403988	9	"Fibroblasts"	""
"10"	"Lgals3"	0.52756665281159	0.355021983868425	0.0537896698565584	0.0842187961835777	10	"Airway, Granulocytes, MNP"	"Airway, MNP"
"11"	"Pf4"	0.527323199334956	0.35706656725409	0.0558342532422236	0.0840061445703988	11	"MNP"	""
"12"	"Tnfsf13b"	0.535189913504741	0.357616324203131	0.0563840101912648	0.0835734477939772	12	"Fibroblasts"	""
"13"	"Fgf2"	0.528882390198524	0.351159948868068	0.0499276348562014	0.0835654382833992	13	"Fibroblasts"	""
"14"	"Itgam"	0.533304138709103	0.359596694244028	0.0583643802321616	0.0835382350297616	14	"Granulocytes, MNP"	""
"15"	"Fgf1"	0.530548463076222	0.356535482452307	0.0553031684404405	0.083385810041733	15	"Airway, Alveolum"	""
"16"	"Nectin1"	0.532868693466341	0.357313709064571	0.0560813950527042	0.0823135611472956	16	"Alveolum, Pericytes"	""
"17"	"Celsr1"	0.532272430378244	0.35752410375152	0.0562917897396532	0.0820357545148918	17	"Airway"	""
"18"	"Il16"	0.542494507452052	0.354255987853277	0.0530236738414107	0.0818369779735823	18	"Granulocytes"	""
"19"	"Adam17"	0.534503592423253	0.35120135762274	0.0499690436108729	0.0816787791097439	19	"Lymphatic_ECs, MNP, SMC"	""
"20"	"Lamc2"	0.537687785760941	0.35646788601814	0.0552355720062732	0.0809051017183536	20	"Alveolum"	"Alveolum"
"21"	"Vegfc"	0.527352888783326	0.355818425984129	0.0545861119722625	0.0806850240613879	21	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"22"	"Aimp1"	0.530618728104033	0.355002731461826	0.0537704174499594	0.0804882504566105	22	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Vascular_ECs"
