"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Lgals3"	0.571616513736958	0.047973436281181	0.0193148996958151	0.0811491369799516	1	"Airway, Granulocytes, MNP"	"Airway"
"2"	"Bdnf"	0.57520936009937	0.0639421729634988	0.0352836363781329	0.0786999099076329	2	"Mesothelium"	""
"3"	"Vegfa"	0.561485755499454	0.0670725920669988	0.0384140554816329	0.0745358444634482	3	"Alveolum, Capillary_ECs, Vascular_ECs"	""
"4"	"Fgf2"	0.565439222128725	0.0500784581565981	0.0214199215712323	0.0740755151970682	4	"Fibroblasts"	""
"5"	"Mmp9"	0.581039387746924	0.0463440839256439	0.0176855473402781	0.0734079693162048	5	"Granulocytes"	""
"6"	"Ghrl"	0.564263867184896	0.0597263073484989	0.031067770763133	0.0706183580709405	6	"Airway"	"Airway"
"7"	"Tnfsf13b"	0.576965714362034	0.0623419409581081	0.0336834043727423	0.0578847025485141	7	"Fibroblasts"	""
"8"	"Ptdss1"	0.593287120513948	0.0483053072041776	0.0196467706188117	0.0569854620092703	8	"Fibroblasts"	""
"9"	"Manf"	0.602489615471951	0.0470121655031296	0.0183536289177638	0.0563962148290726	9	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Airway, Lymphatic_ECs"
"10"	"Hspg2"	0.587517196244201	0.0462392574738001	0.0175807208884343	0.0537365478466776	10	"Fibroblasts, Pericytes, SMC"	""
"11"	"Agrn"	0.580899146532032	0.0472656014783589	0.0186070648929931	0.0519018004177341	11	"Airway, Alveolum, Lymphatic_ECs, Mesothelium, SMC, Vascular_ECs"	"Alveolum, SMC"
"12"	"Ptprf"	0.586989622150094	0.0453696994101947	0.0167111628248288	0.0512170714076222	12	"Airway, Alveolum, Mesothelium"	""
"13"	"Gpi1"	0.619064791441276	0.0451133091590087	0.0164547725736428	0.0509779185979368	13	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs"	"Alveolum"
"14"	"Clec11a"	0.589353688343951	0.0453512966881387	0.0166927601027729	0.0489146779016152	14	"Fibroblasts"	""
"15"	"Apoe"	0.571516341440611	0.0635794256918932	0.0349208891065274	0.0481513735235279	15	"MNP"	""
"16"	"Robo2"	0.589293584966147	0.0436496205977171	0.0149910840123512	0.0468356412979724	16	"Fibroblasts"	""
"17"	"Celsr1"	0.586869415394478	0.0413021578721037	0.0126436212867378	0.0466271900613796	17	"Airway"	""
"18"	"Rspo1"	0.570748353835262	0.0467681904849475	0.0181096538995816	0.046468428772687	18	"Mesothelium"	""
"19"	"Wnt4"	0.560123412269106	0.0431360688321929	0.014477532246827	0.0450354015673069	19	"Airway, Pericytes"	""
"20"	"Pgf"	0.573653350429404	0.0423407583395132	0.0136822217541474	0.0450254179009181	20	"Lymphatic_ECs, Pericytes, SMC"	""
"21"	"Sema3f"	0.584178119699215	0.0431607609696565	0.0145022243842906	0.0446247109868261	21	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"22"	"Arf1"	0.581172950808721	0.0420584796228001	0.0133999430374343	0.0442791626221621	22	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Pericytes, SMC"
"23"	"Efnb1"	0.587717540836902	0.0411118405452131	0.0124533039598473	0.0434778735392656	23	"Capillary_ECs, Mesothelium, Vascular_ECs"	""
"24"	"Dusp18"	0.569279160155467	0.0434748965282146	0.0148163599428487	0.0432697728688734	24	"Airway"	""
"25"	"Clstn1"	0.582261489762392	0.0418748864822658	0.0132163498968999	0.043090578906553	25	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"26"	"Icam1"	0.570574721854925	0.0419295121152946	0.0132709755299287	0.0426553015805818	26	"Airway, Alveolum, Capillary_ECs, Fibroblasts, MNP, Mesothelium, Vascular_ECs"	"Airway, Alveolum, Mesothelium"
"27"	"Vcam1"	0.581400008013779	0.0419367364705955	0.0132781998852297	0.0424346599008368	27	"Fibroblasts, Vascular_ECs"	""
