"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Spp1"	0.680604460093899	0.130121806423837	0.0966139530206953	0.220971152875657	1	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"2"	"Il1b"	0.682669736366924	0.101275095913709	0.0677672425105678	0.174065603739585	2	"Granulocytes"	""
"3"	"Tgfb3"	0.662400686168294	0.103709810355365	0.0702019569522232	0.169225970751591	3	"Fibroblasts, Lymphatic_ECs, Mesothelium"	""
"4"	"Fgf1"	0.678351089442627	0.102184641057452	0.0686767876543105	0.168230858242974	4	"Airway, Alveolum, Capillary_ECs"	""
"5"	"Edn1"	0.680976886962801	0.0867149550737742	0.0532071016706328	0.158624639641685	5	"Capillary_ECs, Vascular_ECs"	""
"6"	"Bmp4"	0.677433188876849	0.0766995484284528	0.0431916950253114	0.135570522993707	6	"Alveolum, Pericytes, Vascular_ECs"	""
"7"	"Hgf"	0.643222583363424	0.0840595928703862	0.0505517394672448	0.132069861470085	7	"Fibroblasts, Pericytes"	""
"8"	"Itgb7"	0.692958498856381	0.0718182752615353	0.038310421858394	0.127427419698907	8	"Lymphocytes, MNP"	""
"9"	"Sfrp2"	0.699338660166136	0.0701210812598578	0.0366132278567164	0.127026934731899	9	"Mesothelium"	""
"10"	"Icam1"	0.659041320573019	0.0757721503562837	0.0422642969531423	0.124742940368508	10	"Airway, Alveolum, Vascular_ECs"	""
"11"	"Vwf"	0.670797219212708	0.0684268396407721	0.0349189862376307	0.123420094423615	11	"Capillary_ECs, Vascular_ECs"	""
"12"	"Fgf7"	0.660470837847591	0.0804933263248267	0.0469854729216853	0.123228877438567	12	"Fibroblasts"	""
"13"	"Ncam1"	0.69116784037559	0.0653521496664463	0.0318442962633049	0.118759963178861	13	"Fibroblasts, Mesothelium"	"Fibroblasts"
"14"	"Anxa1"	0.682812688094385	0.0660269333631194	0.032519079959978	0.117106286056323	14	"Airway, Alveolum, Fibroblasts, Granulocytes, MNP, Mesothelium, Pericytes"	"Alveolum"
"15"	"Col4a1"	0.677756711207423	0.065539048542741	0.0320311951395996	0.116592155477379	15	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Vascular_ECs"
"16"	"Itga4"	0.682763783556038	0.0653813012527787	0.0318734478496373	0.116047085393388	16	"Granulocytes, Lymphocytes, MNP"	""
"17"	"Copa"	0.677403093776339	0.0656448080159515	0.0321369546128101	0.114449059143667	17	"Fibroblasts, Lymphatic_ECs"	""
"18"	"Npw"	0.67496539063441	0.0717231645590521	0.0382153111559107	0.113983232830504	18	"Alveolum"	""
"19"	"Mmp9"	0.686536956783434	0.0678138965663472	0.0343060431632059	0.113803552726687	19	"Granulocytes"	""
"20"	"Hmgb2"	0.680062748284583	0.0659454604593986	0.0324376070562573	0.11317114115283	20	"Granulocytes, Lymphocytes, MNP"	""
"21"	"Gas6"	0.687364572047678	0.0704256522474909	0.0369177988443495	0.112289678877902	21	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, SMC"	""
"22"	"Fgf2"	0.669886842422056	0.0708875357055444	0.0373796823024031	0.112191230299459	22	"Fibroblasts, Mesothelium"	""
"23"	"Pcdh1"	0.673919585891419	0.0640974892420214	0.0305896358388801	0.111645598939413	23	"Capillary_ECs, Pericytes, Vascular_ECs"	""
"24"	"Gpnmb"	0.674077585169133	0.062602816917437	0.0290949635142957	0.111485062858586	24	"MNP"	"MNP"
"25"	"Tnc"	0.699376279041774	0.06381846771349	0.0303106143103486	0.110370469007533	25	"Fibroblasts, Lymphatic_ECs"	"Fibroblasts"
"26"	"Sema3a"	0.679889701456598	0.0628186657280786	0.0293108123249372	0.1102346807612	26	"Fibroblasts, Lymphatic_ECs"	"Fibroblasts, Lymphatic_ECs"
"27"	"Vcam1"	0.679675273865424	0.0633668043236911	0.0298589509205497	0.11013962187552	27	"Fibroblasts, Vascular_ECs"	""
"28"	"Cxcl16"	0.669868032984233	0.0703883742118803	0.0368805208087389	0.110121754571878	28	"MNP"	""
"29"	"Dsg2"	0.677143523534371	0.062167590880944	0.0286597374778026	0.10946148413978	29	"Airway"	""
"30"	"Serping1"	0.678016281449369	0.0616678922966254	0.0281600388934841	0.109299143424174	30	"Fibroblasts, Mesothelium, Pericytes, SMC"	""
"31"	"Bmp6"	0.648421511977845	0.0679373377566826	0.0344294843535412	0.108502153940811	31	"Vascular_ECs"	""
"32"	"C3"	0.674164108583125	0.0632410267019689	0.0297331732988275	0.108324891242922	32	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium"	""
"33"	"Efnb2"	0.674047490068614	0.0617095249220097	0.0282016715188683	0.108218683373399	33	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	"Lymphatic_ECs"
"34"	"Plxnb2"	0.66890875165523	0.0618528017517506	0.0283449483486092	0.107149991357626	34	"Airway, Alveolum, Fibroblasts, Mesothelium"	""
"35"	"Plat"	0.657619327073546	0.0611858306495956	0.0276779772464543	0.107134726124791	35	"Capillary_ECs, Fibroblasts, Vascular_ECs"	""
"36"	"Calm1"	0.684061634765871	0.0643386657135978	0.0308308123104564	0.106762282375706	36	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Fibroblasts"
"37"	"Timp1"	0.661674641868302	0.0627760878926175	0.0292682344894762	0.106419796549002	37	"Fibroblasts, Mesothelium"	"Fibroblasts"
"38"	"Tnfsf13b"	0.663292253521133	0.0627115409043619	0.0292036875012205	0.10624216299236	38	"Fibroblasts, Mesothelium"	""
"39"	"Arf1"	0.66848742024798	0.0613002869168483	0.027792433513707	0.106180855537563	39	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs"	""
"40"	"Ptgs2"	0.6803260804141	0.0624351633246542	0.0289273099215129	0.105949315967895	40	"Granulocytes"	""
"41"	"Nts"	0.671308835921512	0.0621613457559552	0.0286534923528138	0.105760908202778	41	"Lymphatic_ECs"	""
"42"	"Rps19"	0.661689689418555	0.0632599318791637	0.0297520784760224	0.105593838806311	42	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs"	""
"43"	"Efnb1"	0.672027356446371	0.0600549918753235	0.0265471384721821	0.105514010509167	43	"Capillary_ECs, Vascular_ECs"	""
"44"	"Itgb2"	0.662573732996266	0.062087543202111	0.0285796897989697	0.105356813082951	44	"Granulocytes, MNP"	""
"45"	"Thbs1"	0.666358191886362	0.061591616699422	0.0280837632962807	0.105161367374592	45	"Fibroblasts, Lymphatic_ECs, SMC"	""
"46"	"Tnfsf14"	0.656359094739379	0.0640137128418186	0.0305058594386773	0.10510268190928	46	"Granulocytes"	""
