"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Clstn1"	0.623672230652505	0.0303660474026366	0.00811085452429834	0.0563435966837341	1	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"2"	"Il1rn"	0.595548811330298	0.0314623876071198	0.00920719472878149	0.0498017519063515	2	"Granulocytes, MNP"	""
"3"	"Has2"	0.55083459787557	0.035685272458731	0.0134300795803927	0.044156238766179	3	"Fibroblasts"	"Fibroblasts"
"4"	"Plau"	0.565806777946385	0.0298703412772324	0.00761514839889415	0.035174330603876	4	"Lymphatic_ECs"	"Lymphatic_ECs"
"5"	"Robo2"	0.567020738492666	0.028741700776852	0.00648650789851372	0.0340629889549374	5	"Fibroblasts"	""
"6"	"Cd34"	0.548710166919577	0.0303545729781885	0.00809938009985022	0.0338832919513002	6	"Capillary_ECs, Fibroblasts, Mesothelium, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"7"	"F11r"	0.577845220030349	0.028125666484738	0.00587047360639972	0.0305208220156076	7	"Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs"	"Alveolum"
"8"	"Il1b"	0.526049570055642	0.0282915222081319	0.00603632932979366	0.0288938427083411	8	"Granulocytes"	""
"9"	"Cfh"	0.544865958523016	0.0291303483654241	0.00687515548708583	0.0280283049313401	9	"Fibroblasts, Lymphatic_ECs, Mesothelium"	""
"10"	"C3"	0.560748609003541	0.027099838556315	0.00484464567797667	0.0253495520383416	10	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium"	"Mesothelium"
"11"	"Col18a1"	0.544056651492161	0.0266547605586585	0.00439956768032022	0.0251550875179891	11	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	"Lymphatic_ECs, Pericytes, SMC"
"12"	"Hebp1"	0.558523014668691	0.0271335888231452	0.00487839594480692	0.0244901504387123	12	"MNP"	"MNP"
"13"	"Igf1"	0.566211431461811	0.0282040570485387	0.00594886417020039	0.0234767835927966	13	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"14"	"Col1a1"	0.536165907941327	0.026763672243566	0.00450847936522772	0.0232153461265661	14	"Fibroblasts, Mesothelium, Pericytes, SMC"	"Fibroblasts"
"15"	"Rspo1"	0.551036924633283	0.0249630679500717	0.00270787507173344	0.0215889741572575	15	"Mesothelium"	""
"16"	"Ptprf"	0.552048558421852	0.0267879746558376	0.00453278177749933	0.0211642589897837	16	"Airway, Alveolum, Mesothelium"	""
"17"	"Serpine1"	0.522913505311078	0.0259576242980799	0.00370243141974157	0.0195750244979807	17	"Capillary_ECs, Fibroblasts, SMC"	"Capillary_ECs, Fibroblasts"
"18"	"Dll4"	0.565402124430956	0.0250335391094005	0.00277834623106222	0.0194698526185928	18	"Capillary_ECs"	""
"19"	"Nts"	0.533940313606476	0.0259981532833475	0.00374296040500921	0.0188945357429266	19	"Lymphatic_ECs"	"Lymphatic_ECs"
"20"	"Arf1"	0.544461305007589	0.0252856497597151	0.00303045688137687	0.0171162697009918	20	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"21"	"Cxcl14"	0.490945877592313	0.0870845023137569	0.0648293094354186	0.0168085281421745	21	"Fibroblasts"	""
"22"	"Cxcl16"	0.5357612544259	0.025390873819831	0.00313568094149268	0.0164653960094949	22	"Alveolum, MNP"	"Alveolum, MNP"
"23"	"Pf4"	0.538694992412748	0.0256689311044367	0.00341373822609846	0.0164425794012349	23	"MNP"	""
"24"	"Hbegf"	0.544865958523016	0.0252949178380053	0.00303972495966702	0.0154582859425957	24	"Alveolum, Fibroblasts, Pericytes"	"Alveolum, Fibroblasts"
"25"	"Nid1"	0.529792615073345	0.0260995483444431	0.00384435546610483	0.01524189080843	25	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"
"26"	"Itgb2"	0.533839150227619	0.0250560443030216	0.00280085142468331	0.0145745000362482	26	"Granulocytes, MNP"	""
"27"	"Jag2"	0.53252402630248	0.0249328983705521	0.00267770549221382	0.0145202164992325	27	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"28"	"Mdk"	0.543247344461306	0.0243951436711731	0.0021399507928348	0.01393644003297	28	"Fibroblasts"	""
"29"	"Calm1"	0.537481031866465	0.0253766798876889	0.00312148700935064	0.0138508542918718	29	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Fibroblasts, SMC"
"30"	"Lama2"	0.581082448153768	0.0276018137297956	0.00534662085145731	0.01357214681797	30	"Fibroblasts"	""
"31"	"Ptprc"	0.531310065756198	0.0256860404014343	0.00343084752309604	0.0134339172664319	31	"Granulocytes, Lymphocytes, MNP"	""
"32"	"Ceacam1"	0.525543753161357	0.024098957130257	0.00184376425191869	0.0134231400152997	32	"Alveolum, Capillary_ECs, Vascular_ECs"	"Alveolum"
"33"	"Sell"	0.540313606474457	0.0246404712190103	0.00238527834067203	0.0123831806001761	33	"Granulocytes, Lymphocytes"	""
"34"	"Pros1"	0.523014668689935	0.0236840875097692	0.00142889463143096	0.0123583981275817	34	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs"	"Pericytes"
"35"	"Ntn1"	0.512089023773395	0.0243777579964377	0.00212256511809945	0.0121186966102992	35	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"36"	"Dll1"	0.535660091047041	0.0231049534770374	0.000849760598699137	0.0118795273406965	36	"Capillary_ECs, Vascular_ECs"	""
"37"	"Lamb2"	0.524329792615075	0.024673308404453	0.00241811552611471	0.0116813352489383	37	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"38"	"Cdh1"	0.517248356095094	0.0237669761444693	0.00151178326613104	0.011388249155734	38	"Airway, Alveolum"	""
"39"	"Itgb1"	0.537076378351038	0.0254278095779789	0.00317261669964062	0.0105903162915963	39	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Fibroblasts, Lymphatic_ECs, Pericytes"
"40"	"Selp"	0.523823975720791	0.0241805834517693	0.00192539057343107	0.0105897604713656	40	"Vascular_ECs"	"Vascular_ECs"
"41"	"Lgals3"	0.569650986342944	0.0267535876398383	0.00449839476150005	0.0100039671176108	41	"Airway, Granulocytes, MNP"	"Airway, MNP"
"42"	"Anxa1"	0.52867981790592	0.0259678996930125	0.00371270681467422	0.00988358902155472	42	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs"
"43"	"Cxcl2"	0.516843702579668	0.0248271317581544	0.00257193887981607	0.00972315245774927	43	"Granulocytes"	""
"44"	"Icam2"	0.524532119372788	0.0237444631347583	0.00148927025642004	0.00895274345432778	44	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"45"	"Mapt"	0.534142640364189	0.025401615221043	0.00314642234270469	0.008392407490021	45	"Capillary_ECs, Pericytes"	""
"46"	"Lrpap1"	0.520687910976227	0.0235371822261144	0.00128198934777616	0.00764721006455177	46	"Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"MNP"
"47"	"Itgam"	0.525847243297928	0.0236970096988758	0.00144181682053755	0.00745907191470743	47	"Granulocytes, MNP"	""
"48"	"Fn1"	0.52736469398078	0.0246827473953812	0.00242755451704292	0.0073073450315206	48	"Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Fibroblasts, Lymphatic_ECs, MNP, Pericytes"
"49"	"Icam1"	0.529792615073345	0.0248678849477482	0.00261269206940994	0.0070898769332389	49	"Airway, Alveolum, Capillary_ECs, Vascular_ECs"	"Airway, Alveolum"
"50"	"Edn1"	0.549822964087002	0.026985106494887	0.00472991361654869	0.00707959832055888	50	"Capillary_ECs, Vascular_ECs"	""
"51"	"Cxcl13"	0.531613555892768	0.0239543292288888	0.00169913635055053	0.00685939651978928	51	"Mesothelium"	"Mesothelium"
"52"	"Nampt"	0.521598381385939	0.0235094914040888	0.00125429852575048	0.00659755045764487	52	"MNP, SMC"	"MNP"
"53"	"Mmp9"	0.5202832574608	0.0235443750850994	0.00128918220676108	0.0063449333338849	53	"Granulocytes"	""
"54"	"Pcdh7"	0.521396054628226	0.0237342309795207	0.00147903810118247	0.00601359742432931	54	"Fibroblasts, Mesothelium, SMC"	"Fibroblasts"
"55"	"Cd2"	0.508649468892262	0.0233555420617532	0.00110034918341491	0.00573190109878511	55	"Lymphocytes"	""
"56"	"Ptprm"	0.525644916540213	0.0228666416479578	0.00061144876961948	0.00532492474387085	56	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"57"	"Copa"	0.515730905412241	0.0231433162545285	0.000888123376190177	0.00495134405779816	57	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, Vascular_ECs"	"Alveolum"
"58"	"Itga4"	0.532321699544766	0.023956866807579	0.00170167392924073	0.00476521262409763	58	"Lymphocytes"	""
"59"	"Rtn4"	0.515528578654528	0.0241437063850337	0.0018885135066954	0.00472832636665225	59	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
"60"	"Yars"	0.542539200809307	0.0225326016860962	0.000277408807757871	0.00438151259250695	60	"Fibroblasts"	""
"61"	"Il18"	0.511987860394538	0.0264155563332625	0.00416036345492427	0.0043249804714225	61	"MNP"	""
"62"	"Rps19"	0.515730905412242	0.0223631853782123	0.000107992499874063	0.00293642812106692	62	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"
"63"	"Vcam1"	0.521294891249368	0.0228872078227478	0.000632014944409523	0.00246656497141331	63	"Fibroblasts, Vascular_ECs"	""
"64"	"Hc"	0.538391502276178	0.0253643489282996	0.00310915604996128	0.00222714959876805	64	"Alveolum"	""
"65"	"Dsg2"	0.511684370257968	0.0226715979950238	0.000416405116685521	0.00201181310711981	65	"Airway"	""
"66"	"Thbs2"	0.492564491654022	0.023201982028606	0.00094678915026767	0.00183817492166905	66	"Fibroblasts"	"Fibroblasts"
"67"	"Il1f9"	0.520384420839658	0.02365375324735	0.00139856036901172	0.00147882746554095	67	"Granulocytes"	""
"68"	"Aimp1"	0.501568032372282	0.0228605357084989	0.000605342830160668	0.00101244025901398	68	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Vascular_ECs"
"69"	"Ccl5"	0.531917046029339	0.0241527867122197	0.0018975938338814	0.000748541106150025	69	"Lymphocytes"	""
"70"	"Il33"	0.528174001011635	0.0245313319135345	0.00227613903519626	-0.000120881235204217	70	"Alveolum, Mesothelium"	""
"71"	"Pecam1"	0.498836621143148	0.0229916595600653	0.000736466681726999	-0.0014189911119389	71	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"72"	"Spp1"	0.52159838138594	0.0230802328297798	0.000825039951441505	-0.0018469459883758	72	"Fibroblasts, MNP, Pericytes"	"Fibroblasts, MNP"
"73"	"Cxcl12"	0.538897319170462	0.0246273469651871	0.00237215408684886	-0.00195672352428542	73	"Capillary_ECs, Fibroblasts, Mesothelium, SMC, Vascular_ECs"	"Capillary_ECs"
"74"	"Kitl"	0.517754172989379	0.0234348692673355	0.00117967638899721	-0.00289684032075927	74	"Capillary_ECs, Mesothelium, Pericytes, Vascular_ECs"	""
"75"	"Fgf2"	0.535457764289329	0.0250448446034754	0.00278965172513709	-0.00394398418259947	75	"Fibroblasts"	""
"76"	"Hgf"	0.525543753161357	0.0242601834287371	0.00200499055039879	-0.00427054670252034	76	"Fibroblasts"	""
"77"	"Adam17"	0.511077389984827	0.0228256909697002	0.000570498091361955	-0.00433901898638716	77	"Lymphatic_ECs, MNP, SMC"	""
"78"	"Csf1"	0.535457764289329	0.0247021778317215	0.0024469849533832	-0.00491313144020527	78	"Fibroblasts, Granulocytes, Mesothelium, SMC"	""
"79"	"Hmgb2"	0.502175012645423	0.0221446879263112	-0.000110504952027121	-0.00681405361090942	79	"Granulocytes, Lymphocytes"	""
"80"	"App"	0.511077389984826	0.0264971470263438	0.00424195414800549	-0.00876006199440792	80	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"81"	"Dusp18"	0.487506322711179	0.0216347957533771	-0.000620397124961217	-0.00891709265492302	81	"Airway"	""
"82"	"Apoe"	0.553566009104704	0.0247702576069919	0.00251506472865365	-0.0109193753496051	82	"MNP"	"MNP"
"83"	"Thbs1"	0.459989883662115	0.0207044055002262	-0.00155078737811211	-0.0144076767228565	83	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Fibroblasts, Pericytes"
"84"	"Calr"	0.540617096611028	0.0245043278234855	0.00224913494514717	-0.0169366692436008	84	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
