"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Tgfb2"	0.509598593725854	0.063914152468547	0.00501362890833761	0.0269077060470634	1	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"2"	"Calr"	0.491879153144798	0.0589632965407321	6.27729805226726e-05	0.0115863796784808	2	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"3"	"Lama2"	0.491742002781639	0.0589445514576286	4.40278974191272e-05	0.00732348024279217	3	"Fibroblasts, Pericytes, SMC"	""
"4"	"Fgf10"	0.499486169061969	0.0640914713567314	0.00519094779652201	0.0038523829007334	4	"Fibroblasts"	""
"5"	"Bmp5"	0.491940967392984	0.0634052261058838	0.00450470254567441	-0.000680669720926251	5	"Airway, Fibroblasts, Pericytes"	""
"6"	"Tgfb3"	0.498326186060888	0.0587501428537476	-0.000150380706461832	-0.000940847465706108	6	"Fibroblasts, Lymphatic_ECs, Mesothelium, SMC"	""
"7"	"Bmp6"	0.493449621387729	0.0582780015334937	-0.000622522026715741	-0.00119802149856142	7	"Capillary_ECs, Vascular_ECs"	""
"8"	"Hmgb1"	0.495979176325143	0.0587771923824736	-0.000123331177735789	-0.00269355465537447	8	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"9"	"Ptprm"	0.501247875135219	0.0586503213720043	-0.000250202188205109	-0.00333375399621142	9	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"10"	"Lefty1"	0.503413305516922	0.0585447834579161	-0.000355740102293299	-0.00346964283365802	10	"Lymphatic_ECs"	"Lymphatic_ECs"
"11"	"Angpt1"	0.498591794158556	0.0587994010240974	-0.000101122536112053	-0.00452379919193826	11	"Fibroblasts, Pericytes, SMC"	""
"12"	"Col4a1"	0.497291763251429	0.0587960236860777	-0.000104499874131733	-0.00469209816730511	12	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"13"	"Bmp4"	0.503099405037863	0.0585153787044081	-0.000385144855801357	-0.00482448362259196	13	"Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs"	""
"14"	"Igf1"	0.493246793385874	0.0566780334454048	-0.00222249011480459	-0.00624081674380918	14	"Fibroblasts"	""
"15"	"Adam17"	0.49764140009272	0.058756480856273	-0.000144042703936462	-0.00695244056297946	15	"Lymphatic_ECs, MNP"	""
"16"	"Itgam"	0.50332831092567	0.0582558311061943	-0.000644692454015085	-0.00708538510909536	16	"Granulocytes, MNP"	""
"17"	"Gmfb"	0.505435790449697	0.0583953888472688	-0.000505134712940648	-0.00748643053753223	17	"Airway, Fibroblasts, Lymphatic_ECs, MNP"	""
"18"	"Ptprf"	0.502779709473033	0.0576937721053815	-0.00120675145482788	-0.00805404688908446	18	"Airway, Alveolum, Mesothelium"	""
"19"	"Clstn1"	0.496539367949313	0.0586232809772673	-0.000277242582942122	-0.00818036429148834	19	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"20"	"Col1a1"	0.499578890434248	0.0579094312077201	-0.000991092352489356	-0.00842594933762834	20	"Fibroblasts, Pericytes, SMC"	""
"21"	"Nectin1"	0.498891206923198	0.0573273353471295	-0.00157318821307991	-0.00883559719893467	21	"Alveolum"	""
"22"	"Inhbb"	0.49485975892443	0.0575296235615055	-0.00137089999870395	-0.0088415103517967	22	"Airway"	""
"23"	"Mmp9"	0.506079044969865	0.0587768620574973	-0.000123661502712077	-0.00893520434588349	23	"Granulocytes"	""
"24"	"Dll4"	0.495493354968322	0.0580537428880582	-0.00084678067215118	-0.00909070568954046	24	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"25"	"Ocln"	0.49998647813321	0.0575558574575249	-0.00134466610268454	-0.00911281983646241	25	"Airway"	""
"26"	"Gpi1"	0.500881818884252	0.0582971868655601	-0.000603336694649279	-0.00914153166128195	26	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs"	"Alveolum"
"27"	"Cdh5"	0.504481532993355	0.0576387159735984	-0.00126180758661106	-0.00921372936090041	27	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"28"	"Sema3a"	0.497517771596355	0.0568628571108614	-0.00203766644934804	-0.00999174579979493	28	"Lymphatic_ECs"	""
