"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Lama2"	0.657348581109699	0.0424964237639385	0.0386989554095081	0.158815885392326	1	"Fibroblasts"	""
"2"	"App"	0.437950021177469	0.0205029149890323	0.0167054466346019	0.0488571689342889	2	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"3"	"Igf1"	0.570520965692503	0.00686747692937741	0.00307000857494703	0.0462606203539397	3	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"4"	"Clstn1"	0.423972892842016	0.00306126271426951	-0.000736205640160869	-0.0159080042441913	4	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"5"	"Ptprm"	0.440914866581958	0.00335108586093826	-0.000446382493492115	-0.0216326763719245	5	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"6"	"Calr"	0.207539178314273	0.00221340261147473	-0.00158406574295565	-0.0221674425326837	6	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"7"	"Mif"	0.226175349428208	0.00227221090604497	-0.00152525744838541	-0.0231131737557927	7	"Alveolum, Fibroblasts, MNP"	"Alveolum, MNP"
"8"	"Yars"	0.357052096569251	0.00299644511490116	-0.000801023239529215	-0.0236041003935751	8	"Fibroblasts"	""
"9"	"Dusp18"	0.402371876323592	0.0030605239975896	-0.000736944356840775	-0.0255111816584351	9	"Airway"	""
"10"	"Rspo1"	0.377806014400678	0.00291909418428081	-0.00087837417014957	-0.0257471355167614	10	"Mesothelium"	""
"11"	"Cd2"	0.355357899195256	0.00273482754574823	-0.00106264080868215	-0.0261588946281757	11	"Lymphocytes"	""
"12"	"Apoe"	0.256670902160101	0.00234958386667707	-0.00144788448775331	-0.027189073194455	12	"MNP"	"MNP"
"13"	"Pkd1"	0.363405336721728	0.0028043387645911	-0.00099312958983928	-0.0290021571184885	13	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Lymphatic_ECs"
"14"	"Itga4"	0.290554849639983	0.00245182816440725	-0.00134564019002313	-0.0301422316783758	14	"Lymphocytes"	""
"15"	"Cxcl12"	0.2570944515036	0.00234114524562912	-0.00145632310880126	-0.0344456128327212	15	"Capillary_ECs, Fibroblasts, Mesothelium, SMC, Vascular_ECs"	"Capillary_ECs"
"16"	"F11r"	0.351969504447268	0.00272000291228341	-0.00107746544214697	-0.0346229608294631	16	"Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs"	"Alveolum"
