"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Csf1"	0.52147428657481	0.0395765173015685	0.0156971708415769	0.0584754419385671	1	"Fibroblasts, Granulocytes, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Pericytes"
"2"	"Lama2"	0.524576462615765	0.0420630372212271	0.0181836907612355	0.053802940566035	2	"Fibroblasts, Pericytes, SMC"	""
"3"	"Cxcl12"	0.52155711166328	0.0384453091555793	0.0145659626955876	0.0536779670865949	3	"Capillary_ECs, Fibroblasts, SMC, Vascular_ECs"	"Vascular_ECs"
"4"	"Apoe"	0.518778706422709	0.0530190919930525	0.0291397455330609	0.0484674492215534	4	"MNP"	""
"5"	"Pkd1"	0.498343498230552	0.0431447498628067	0.0192654034028151	0.0478284191201857	5	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"6"	"Tgfb1"	0.526854152548752	0.0344492531184533	0.0105699066584617	0.047418055869954	6	"Lymphatic_ECs, MNP"	""
"7"	"Ltf"	0.499329869738723	0.0341833193046581	0.0103039728446664	0.0442529275661447	7	"Airway"	"Airway"
"8"	"Spp1"	0.49872750545892	0.0462173054724211	0.0223379590124295	0.0390502298185476	8	"Pericytes"	""
"9"	"Selp"	0.541487839771102	0.0474316170620578	0.0235522706020662	0.0314234553741049	9	"Vascular_ECs"	"Vascular_ECs"
"10"	"Calr"	0.477761463745195	0.0293318756069161	0.00545252914692446	0.029152102982633	10	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"11"	"Angpt2"	0.460292899631048	0.0531174208159073	0.0292380743559157	0.0266409943074218	11	"Lymphatic_ECs, Pericytes, SMC"	""
"12"	"Gpi1"	0.491480310217603	0.0434936602417076	0.019614313781716	0.0237052404382737	12	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC, Vascular_ECs"	"Alveolum"
"13"	"Il7"	0.497767487387994	0.0385036671783314	0.0146243207183398	0.022843154280073	13	"Lymphatic_ECs"	""
"14"	"Lgals3"	0.486936224681874	0.0330385060167124	0.0091591595567208	0.0189801288818954	14	"Airway, Granulocytes, MNP"	"Airway"
"15"	"Itgam"	0.512920713801672	0.0452884194551434	0.0214090729951518	0.0189297289249447	15	"Granulocytes, MNP"	""
"16"	"Npw"	0.504427377456521	0.0335620091101268	0.00968266265013515	0.0178464913988805	16	"Alveolum"	""
"17"	"Tnfsf13b"	0.50527068744823	0.0465513400186901	0.0226719935586985	0.0175882738167739	17	"Fibroblasts"	""
"18"	"Icam1"	0.513361192681274	0.0310948023572142	0.00721545589722254	0.0170292316355401	18	"Airway, Alveolum, Capillary_ECs, Fibroblasts, MNP, Mesothelium, Vascular_ECs"	"Airway, Alveolum, Mesothelium"
"19"	"Hspg2"	0.52016037948949	0.0459047309228773	0.0220253844628857	0.0168034540929176	19	"Fibroblasts, Pericytes, SMC"	""
"20"	"Pros1"	0.506189292974927	0.0447369905529661	0.0208576440929745	0.0162655670203597	20	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs"	"SMC"
"21"	"Col4a1"	0.510582787440706	0.0444079871391294	0.0205286406791378	0.0150926048254035	21	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"22"	"Gmfb"	0.508158271214518	0.044255690702714	0.0203763442427224	0.0147874191967482	22	"Airway, Fibroblasts, Lymphatic_ECs, MNP"	""
"23"	"C3"	0.506882011896696	0.0451306275921797	0.0212512811321881	0.0147484392860124	23	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium"	""
"24"	"Cxcl16"	0.501468262932008	0.0312731516744983	0.00739380521450663	0.0142728989347855	24	"MNP"	"MNP"
"25"	"Anxa1"	0.507062721180631	0.0326581663204151	0.00877881986042343	0.0141822858635984	25	"Airway, Alveolum, Fibroblasts, Granulocytes, MNP, Mesothelium, Pericytes, SMC"	"Airway, Alveolum"
"26"	"Serping1"	0.505515397936903	0.0447413694684728	0.0208620230084812	0.0140261961057552	26	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"27"	"Ccl11"	0.501532264136734	0.0312641958817545	0.00738484942176288	0.0133629826748337	27	"Fibroblasts"	""
"28"	"Thbs1"	0.515928770423913	0.0316729393265972	0.00779359286660562	0.0129205748306894	28	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	""
"29"	"Ccl5"	0.517385739025675	0.0298308090687398	0.00595146260874816	0.0125680127246267	29	"Lymphocytes"	""
"30"	"Pdgfb"	0.490960771026273	0.02678815222685	0.0029088057668584	0.0124048218636669	30	"Capillary_ECs, Vascular_ECs"	""
"31"	"Agrn"	0.514633687222344	0.0314203881603348	0.00754104170034316	0.0120421870663769	31	"Airway, Alveolum, Lymphatic_ECs, Mesothelium, SMC, Vascular_ECs"	"Alveolum, SMC"
"32"	"Tgfb3"	0.518176342142914	0.0283707175992532	0.00449137113926163	0.0118216880045143	32	"Fibroblasts, Lymphatic_ECs, Mesothelium, SMC"	""
"33"	"Fgf2"	0.494443189518861	0.0282919681712929	0.00441262171130127	0.0115880860541639	33	"Fibroblasts"	""
"34"	"Pcdh1"	0.513033657104135	0.0432353317142565	0.0193559852542649	0.0112497790360413	34	"Capillary_ECs, Vascular_ECs"	""
"35"	"Tgfb2"	0.531243882237788	0.0279875918707832	0.00410824541079158	0.0108189749494321	35	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"36"	"Ptprc"	0.503794894962725	0.0312230951831625	0.00734374872317085	0.0106922184272873	36	"Granulocytes, Lymphocytes, MNP"	""
"37"	"Hbegf"	0.493780588811083	0.0302774537180107	0.00639810725801912	0.00924309772136067	37	"Alveolum, Pericytes"	"Alveolum"
"38"	"Sell"	0.489134854303142	0.0435701788105747	0.0196908323505831	0.00911561265756229	38	"Granulocytes, Lymphocytes, MNP"	""
"39"	"Itgb1"	0.475498832919206	0.0291493881193999	0.00527004165940828	0.00843140505363676	39	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Lymphatic_ECs"
"40"	"Vwf"	0.492752804758677	0.0292507628765608	0.00537141641656919	0.00814328048270422	40	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"41"	"Grn"	0.513620962276933	0.0305615296136669	0.00668218315367524	0.00784839865948411	41	"Fibroblasts, Lymphatic_ECs, MNP, Vascular_ECs"	""
"42"	"Fbn1"	0.504329493261046	0.0430050763858413	0.0191257299258497	0.00747976146285168	42	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"43"	"Vcam1"	0.490603117235145	0.0308300554704337	0.00695070901044205	0.00649438713305678	43	"Fibroblasts, Vascular_ECs"	""
"44"	"Gas6"	0.489597921843234	0.0318970212451122	0.00801767478512057	0.00634697158577046	44	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium, SMC"	"Fibroblasts"
"45"	"Cxcl2"	0.491243129282432	0.0311531331942517	0.00727378673426006	0.00628436159591226	45	"Granulocytes"	""
"46"	"Hc"	0.500000000000001	0.0285585315305483	0.00467918507055669	0.00612014622801502	46	"Alveolum"	""
"47"	"Col18a1"	0.495523680445751	0.0428717892418267	0.0189924427818351	0.00542997154525924	47	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"SMC"
"48"	"Lamc2"	0.503821248399963	0.0323367331123761	0.00845738665238451	0.0052519835440807	48	"Alveolum"	"Alveolum"
"49"	"Ocln"	0.491408779459376	0.0428173571381199	0.0189380106781283	0.0050696927474057	49	"Airway"	""
"50"	"Ptprf"	0.488314132971912	0.0299050644465208	0.00602571798652921	0.00491836320275235	50	"Airway, Alveolum, Mesothelium"	""
"51"	"Dusp18"	0.476552970408853	0.0287657881500687	0.00488644169007711	0.00467310932615963	51	"Airway"	""
"52"	"Mmp9"	0.501739326857912	0.0285402351448813	0.00466088868488963	0.00430891343890708	52	"Granulocytes"	""
"53"	"Timp1"	0.487489646863938	0.0280157052752024	0.00413635881521074	0.00286281428798666	53	"Fibroblasts, Mesothelium"	"Fibroblasts, Mesothelium"
"54"	"Itgb2"	0.479625028235822	0.0431748524064479	0.0192955059464563	0.00258897628660318	54	"Granulocytes, Lymphocytes, MNP"	"Lymphocytes"
"55"	"Efna1"	0.473748211731047	0.0434726701738709	0.0195933237138793	0.00221610786040304	55	"Lymphatic_ECs, Vascular_ECs"	"Lymphatic_ECs"
"56"	"Ghrl"	0.490452526165197	0.0266163476128963	0.00273700115290467	0.00210862257698847	56	"Airway"	"Airway"
"57"	"Penk"	0.483216625254119	0.0309230067358202	0.00704366027582855	0.00196864781158813	57	"Fibroblasts"	""
"58"	"Ceacam1"	0.480204803855128	0.0448040060326621	0.0209246595726705	0.00178589925749597	58	"Airway, Alveolum, Capillary_ECs, MNP, Vascular_ECs"	"Alveolum"
"59"	"Fn1"	0.486823281379409	0.0299834549312973	0.00610410847130571	0.00157270605852614	59	"Fibroblasts, MNP, SMC"	""
"60"	"Areg"	0.488735787967771	0.0298058770391607	0.00592653057916913	0.00134955874608246	60	"Airway"	"Airway"
"61"	"Tfpi"	0.501803328062645	0.028018771361201	0.00413942490120938	0.00104656777138862	61	"Fibroblasts, Lymphatic_ECs, Pericytes"	""
"62"	"App"	0.492063850613659	0.0276536211807231	0.00377427472073144	0.000559085141253471	62	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Granulocytes"
"63"	"Lrpap1"	0.498083728634889	0.0432111004647831	0.0193317540047915	0.000513828413527775	63	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"64"	"Kitl"	0.483069798960924	0.0266503823064316	0.00277103584644001	0.00019443401355028	64	"Capillary_ECs, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs"	""
"65"	"Plat"	0.48047963255779	0.0275740173751813	0.00369467091518969	0.000145085773552233	65	"Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs"	""
"66"	"Sema7a"	0.479911151268729	0.0430092215951587	0.0191298751351671	0.000133462412832195	66	"Capillary_ECs, Lymphatic_ECs"	""
"67"	"Arf1"	0.479888562608235	0.0437373029288028	0.0198579564688111	0.000114141859097236	67	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Pericytes, SMC"
"68"	"Hmgb1"	0.502432045779679	0.0267453011900805	0.00286595473008885	0.000107049145916442	68	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"69"	"H2-T23"	0.477994879903625	0.0434214140392933	0.0195420675793016	9.32346681951924e-05	69	"Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Vascular_ECs"	"Fibroblasts"
"70"	"Nampt"	0.491578194413068	0.0264500605635561	0.0025707141035645	-7.90171422089289e-05	70	"Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, SMC"	""
"71"	"Cdh5"	0.492794217302915	0.0288167164794987	0.00493737001950708	-0.00020904474964671	71	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"72"	"Vegfa"	0.484635946088395	0.0270517978357934	0.0031724513758018	-0.000304629640824955	72	"Alveolum, Capillary_ECs, Vascular_ECs"	""
"73"	"Jag2"	0.493727881936593	0.0433087978532365	0.0194294513932449	-0.00050466051390117	73	"Airway, Capillary_ECs"	""
"74"	"Itga4"	0.483194036593624	0.0301309256076329	0.00625157914764127	-0.00079220502869897	74	"Lymphocytes, MNP"	""
