"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Tgfb1"	0.517310516633836	0.0486983884500538	0.0168587658085443	0.0668785005323295	1	"Lymphatic_ECs, MNP"	""
"2"	"Osm"	0.544367753868366	0.0627599925058395	0.03092036986433	0.0634607985944853	2	"Granulocytes"	""
"3"	"Bmp4"	0.513069978897557	0.0581893891109212	0.0263497664694117	0.0574799268765978	3	"Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs"	""
"4"	"Col4a1"	0.541520678887033	0.0736263450856846	0.0417867224441751	0.0557366694307571	4	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs"
"5"	"Plat"	0.524618677413373	0.0524967296401627	0.0206571069986532	0.0548408138033267	5	"Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs"	""
"6"	"Fn1"	0.515157666802003	0.0515556251062576	0.0197160024647482	0.0542783216124711	6	"Fibroblasts, MNP, Pericytes, SMC"	"Fibroblasts, Pericytes"
"7"	"Apoe"	0.533169927269266	0.0513210888917785	0.0194814662502691	0.0541397822269813	7	"MNP"	"MNP"
"8"	"Col1a1"	0.556803657087862	0.0499280185635074	0.018088395921998	0.0530462936860024	8	"Fibroblasts, Pericytes, SMC"	"Fibroblasts, Pericytes"
"9"	"Sell"	0.53426264266703	0.0552365743861823	0.0233969517446729	0.0526991370339764	9	"Granulocytes, Lymphocytes"	""
"10"	"Hspg2"	0.553445311599322	0.0576382638722732	0.0257986412307637	0.0514490795023087	10	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	""
"11"	"Agrn"	0.555274858022186	0.054802151404029	0.0229625287625196	0.0503222760063018	11	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, SMC"
"12"	"Mmp9"	0.508438469596948	0.0499427995488694	0.01810317690736	0.0502341810206296	12	"Granulocytes"	""
"13"	"Crlf1"	0.539445522122474	0.0651930460955241	0.0333534234540146	0.0482990428999106	13	"Alveolum, Fibroblasts"	"Fibroblasts"
