"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Spp1"	0.576836291913216	0.137250633874163	0.0700864547696857	0.17238187735538	1	"Fibroblasts, MNP, Pericytes"	"Fibroblasts, MNP"
"2"	"Edn1"	0.571539776462855	0.108276884342325	0.0411127052378471	0.106392789869525	2	"Capillary_ECs, Vascular_ECs"	""
"3"	"Tgfb3"	0.552094674556216	0.105575161463028	0.0384109823585504	0.104626222229034	3	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"4"	"Mmp9"	0.587581854043392	0.102868552544558	0.0357043734400806	0.0994144400381272	4	"Granulocytes"	""
"5"	"Fgf2"	0.571560815253124	0.0999172483520575	0.0327530692475798	0.080278495401401	5	"Fibroblasts"	""
"6"	"Igf1"	0.589701512163055	0.10750374561229	0.0403395665078127	0.0783037485243322	6	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"7"	"Cxcl12"	0.553133464825775	0.0940187199207981	0.0268545408163205	0.0762935670243775	7	"Capillary_ECs, Fibroblasts, Mesothelium, SMC, Vascular_ECs"	"Capillary_ECs"
"8"	"Hgf"	0.551147928994084	0.0849544902286119	0.0177903111241343	0.0677245871030831	8	"Fibroblasts"	""
"9"	"Has2"	0.56626955950033	0.0878984920309478	0.0207343129264702	0.0650086699977684	9	"Fibroblasts"	"Fibroblasts"
"10"	"Bmp5"	0.574690335305718	0.086113854290431	0.0189496751859534	0.0606354018453481	10	"Airway, Fibroblasts, Pericytes"	""
"11"	"Lgals3"	0.557375410913877	0.0795280387548275	0.0123638596503499	0.0557232247865114	11	"Airway, Granulocytes, MNP"	"Airway, MNP"
"12"	"Fn1"	0.557138724523341	0.0814901445288916	0.014325965424414	0.0554968778505497	12	"Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Fibroblasts, Lymphatic_ECs, MNP, Pericytes"
