"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Fgf2"	0.478460126826145	0.0676349362612462	0.0160967820463041	0.0466567541379336	1	"Fibroblasts, Mesothelium"	""
"2"	"Edn1"	0.469529397934992	0.0593627178504263	0.00782456363548421	0.0293351794517507	2	"Capillary_ECs, Vascular_ECs"	""
"3"	"Spp1"	0.469168576895697	0.0568783644973061	0.00534021028236408	0.0226637576889874	3	"Fibroblasts, MNP, Pericytes"	"Fibroblasts, MNP"
"4"	"Ltf"	0.487526367691331	0.0533255215326482	0.00178736731770612	0.022526125278365	4	"Airway"	"Airway"
"5"	"Il1b"	0.483606316490663	0.05550386133437	0.00396570711942797	0.0190089149631856	5	"Granulocytes, MNP"	""
"6"	"Vegfa"	0.47206657393076	0.058496875874948	0.00695872166000593	0.0167401485014454	6	"Alveolum, Capillary_ECs, Vascular_ECs"	""
"7"	"Tgfb1"	0.479811981217712	0.0557587698038872	0.0042206155889451	0.0162423782205569	7	"MNP"	""
"8"	"Pdgfb"	0.473891903894254	0.055599694264448	0.00406154004950592	0.0149195231019479	8	"Capillary_ECs"	""
"9"	"Calm1"	0.470827374071823	0.0605099871096721	0.00897183289473004	0.0128352354308516	9	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
"10"	"Fn1"	0.470966151394629	0.0593171249670308	0.00777897075208876	0.0122887260970438	10	"Fibroblasts, MNP, SMC"	"Fibroblasts"
"11"	"Calm2"	0.468464894235352	0.0606201840101421	0.00908202979520006	0.0111969106573224	11	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"12"	"Tgfb3"	0.454415731144242	0.0603893193231418	0.00885116510819977	0.00965166774085653	12	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC"	""
"13"	"Tgfb2"	0.471597996381992	0.0557472526664293	0.00420909845148728	0.00803815913415818	13	"Fibroblasts, Mesothelium, Pericytes, SMC"	""
"14"	"Hgf"	0.462459917843824	0.0544230580464271	0.00288490383148499	0.00796255776814287	14	"Fibroblasts, Pericytes"	""
"15"	"Il1rn"	0.480192394349639	0.0596912692871936	0.00815311507225158	0.00791167737539602	15	"Granulocytes, MNP"	""
"16"	"Ptn"	0.471666568706202	0.060873841190141	0.00933568697519895	0.00670506030565923	16	"Fibroblasts"	""
"17"	"Vwf"	0.467815089829743	0.0540662133395062	0.00252805912456417	0.00574020269438091	17	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"18"	"Calr"	0.465620775455025	0.0508074162005114	-0.00073073801443066	0.00516808163029373	18	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"19"	"Cxcl16"	0.469313884916046	0.0624164135804047	0.0108782593654626	0.000684637172724302	19	"MNP"	""
"20"	"Tfpi"	0.484832454954512	0.0549221380898436	0.00338398387490155	-0.00178718587040475	20	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, Pericytes, Vascular_ECs"	""
"21"	"Osm"	0.473937618777061	0.059034417832679	0.00749626361773691	-0.00197102460926387	21	"Granulocytes"	""
"22"	"Lama2"	0.462012565062073	0.0503391680795075	-0.00119898613543454	-0.00318853958665838	22	"Fibroblasts, Pericytes"	""
"23"	"Hmgb1"	0.459591308947708	0.0549595664599274	0.00342141224498529	-0.00461695662439608	23	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"24"	"Igf1"	0.470043690366566	0.0490668962171198	-0.00247125799782228	-0.00465488893347832	24	"Fibroblasts, MNP"	"Fibroblasts, MNP"
