"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Dll4"	0.595011805789796	0.108732302223711	0.0338342673701698	0.0807394666021839	1	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"2"	"Bmp5"	0.569498402746086	0.104390157021744	0.0294921221682028	0.0768580698711103	2	"Airway, Fibroblasts, Pericytes"	""
"3"	"Selplg"	0.563809797813448	0.109810077957102	0.0349120431035612	0.0758659490707717	3	"Granulocytes, Lymphocytes, MNP"	""
"4"	"Lgals3"	0.560307744201276	0.110773672992992	0.0358756381394513	0.0758144788811429	4	"Airway, MNP"	"Airway"
"5"	"Lama2"	0.575875513403042	0.108149480539174	0.0332514456856334	0.0710777445554748	5	"Fibroblasts, Pericytes"	""
"6"	"Copa"	0.573262366316788	0.103116035652635	0.0282180007990937	0.0676216782239522	6	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, Vascular_ECs"	""
"7"	"Vcam1"	0.568284092938347	0.103650420002286	0.028752385148745	0.0671799716333997	7	"Fibroblasts, Vascular_ECs"	""
"8"	"Col4a1"	0.562157979324986	0.102472560274595	0.0275745254210545	0.0663698151890789	8	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Pericytes, Vascular_ECs"
"9"	"Adam17"	0.567132284370719	0.105150044659145	0.0302520098056039	0.0654047173275582	9	"Fibroblasts, Lymphatic_ECs, MNP"	""
"10"	"C3"	0.562536955098314	0.10341672335264	0.0285186884990992	0.0639680383961749	10	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium"	"Mesothelium"
"11"	"Manf"	0.564938788468022	0.10310068496393	0.0282026501103887	0.0639143492671932	11	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Airway, Lymphatic_ECs"
"12"	"Trf"	0.550475207841425	0.103571926617477	0.0286738917639361	0.0634734244370986	12	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium"	""
"13"	"Arf1"	0.563036965019144	0.101465093770707	0.026567058917166	0.0631538530368042	13	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"SMC"
"14"	"Col1a1"	0.549555546737037	0.102123931410771	0.0272258965572298	0.0627610656625365	14	"Fibroblasts, Pericytes, SMC"	"Fibroblasts, Pericytes"
"15"	"Cxcl12"	0.556461437726937	0.10483089715168	0.0299328622981389	0.062649963771845	15	"Capillary_ECs, Fibroblasts, SMC, Vascular_ECs"	"Capillary_ECs"
"16"	"Efnb1"	0.564407031885554	0.103488078225963	0.0285900433724224	0.0624320790686911	16	"Capillary_ECs, Fibroblasts, Vascular_ECs"	""
"17"	"Itgam"	0.566569773209783	0.103844264713877	0.0289462298603365	0.0618812204563064	17	"Granulocytes, MNP"	""
