"","Ephb3","Lrp6","Epha2","Fzd6","Itpr1","Ryk","Dsg2","Sec63","Lrp10","Dlg1","Lsr","Sdc4","Sdc1","Sdc2","Glg1","Fgfr2","Fgfr3","Clstn1","Ebp","Nectin3","Nectin4","Calm1","Prnp","Cul5","Rrbp1","Ager","Ptprz1","Cadm1","Itgb4","Itgb1","Rpsa","Cckar","Tnfrsf21","Kremen1","Sorl1","Erbb3","F11r","Icam1","Cdh1","Pigr","Sort1","Lpar3","Procr","P2rx4","Tgfbr2","Plxnb2","Kcnj15","Il6st","Il6ra","Il18r1","F3","Gfra1","Amfr","Atp5b","Ddr1","Met","Ptprf","Igf1r","Rack1","Slc1a5","Dag1","Cd47","Cd151","Fat1","Igf2r","Tfrc","M6pr","Scarb2"
"Mmp9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401681940026392,0,0,0,0,0,0,0,0,0.240607678782843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0,0,0,0,0,0,0,0,0.240607678782843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0,0,0,0,0,0,0,0,0.245716359142909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hmgb2",0,0,0,0,0.119054479128598,0,0.171915856454442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122784703071267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pvr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225099988543092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16741617991469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sfrp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212810457975773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thbs1",0,0,0,0,0,0,0,0,0,0,0,0,0.132160674891922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215658962029843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340051521904172,0,0,0,0,0,0
"Col1a1",0,0,0,0,0,0,0,0,0,0,0,0,0.128085562808906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501195220221716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39986305116601,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0.183918325582149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923475211196466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tnc",0,0,0,0,0,0,0,0,0,0,0,0,0.128085562808906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240961163066389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388241151265362,0,0,0,0,0,0,0
"Hspg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347851349820611,0,0,0,0,0,0,0,0,0,0,0,0,0.103295647788543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322531549603126,0,0,0,0,0,0,0
