"","M6pr","Antxr1","Scarb2","Fzd1","Fzd7","Fzd2","Sfrp1","Ar","Dab2","Itpr1","Pcdh7","Sec63","Ryk","Ddr2","Lrp10","Xpr1","Scara3","Nptn","Colec12","Mrc2","Ptgfr","Ednra","F2r","Lpar1","S1pr2","S1pr3","Anxa6","Igf1r","Cd151","Cd47","Igf2r","Vcam1","Itga9","Ptch1","Dag1","Ptprs","Itga8","Itgb5","Itgb1","Rpsa","Ptpra","Ptprd","Boc","Pkd1","Rack1","Slc1a5","Bmpr1a","Acvr2a","Bmpr2","Fgfr1","Fgfr3","Tgfbr2","Tgfbr3","Glg1","Sdc2","Sdc4","Il6st","Osmr","Neo1","Robo2","Lrp6","Ephb3","Unc5c","Nrp1","Nrp2","Axl","Pdgfra","Ghr","Lepr","Calm1","Prnp","Tnfrsf19","Tnfrsf12a","Rrbp1","Ltbr","Il1r1","Gabra3","Erap1","Derl1","Cmklr1","Cd34","Clstn1","Mylk","Tnfrsf1a","Egfr","Icam1","Lrp1","Ldlr","Vldlr","Atp5b","Pkd2","Sort1","Sphk1"
"Vwf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177486935459451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988669581577084,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283058777114957,0,0,0,0.208004759611892,0.0885726481273005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Npnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175693105238792,0,0.142809967830446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133476007591878,0,0,0,0.311062360652638,0.210629161615286,0.0923475211196466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vcam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172377264120606,0,0.497441251210475,0,0,0,0,0,0.471078651730058,0.0995665826262429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138883761267944,0,0,0,0,0,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col1a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373982870766781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174851930282656,0,0,0,0,0,0.501195220221716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419159861160115,0,0,0,0.124822975832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181684131596002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lama2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656016895771603,0,0,0,0.124822975832743,0.0161365689282064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
