"","Cxcr4","Fpr2","Ccr1","C5ar1","Cxcr2","Fpr1","Sorl1","Alox5","Il18rap","Notch1","Notch2","Tnfrsf1a","Il1r2","Il6ra","Itgam","Itgal","Itgb2","Calm1","Ptk2b","Igf1r","Rack1","Plaur","Cd47","Csf2rb","Cd44","Itga4","Rpsa","Selplg","Sell","Ptprc","Ptpn6","Il4ra","Ptafr","Clec7a","Fcgr3","Csf2ra","Csf3r"
"App",0.0990377224884714,0.286966500840058,0.223583658554226,0.222952853724995,0.188925604420317,0.226510616804853,0.648204425236966,0.352380621326155,0.77968855738098,0.353895823618289,0,0,0,0,0,0,0,0,0,0.384483165441688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3",0.173296783445663,0.193018975167152,0.223583658554226,0.222952853724995,0.169237386529736,0.226510616804853,0,0,0,0,0,0,0,0,0.122228008955487,0,0.291603182610225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anxa1",0.252284245693378,0.286966500840058,0.223583658554226,0.222952853724995,0.169237386529736,0.0643411656658913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167095569145585,0.200830142310437,0,0,0,0,0,0,0,0,0,0,0
"Pf4",0.201884318333319,0.193018975167152,0.260466660720466,0.259731796515726,0.300255087183028,0.263876458406659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penk",0.173296783445663,0.193018975167152,0.223583658554226,0.222952853724995,0.169237386529736,0.226510616804853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Npw",0.173296783445663,0.193018975167152,0.223583658554226,0.222952853724995,0.169237386529736,0.226510616804853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hebp1",0.173296783445663,0.113250210498772,0.223583658554226,0.222952853724995,0.169237386529736,0.226510616804853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hc",0.173296783445663,0.193018975167152,0.223583658554226,0.0633305701055149,0.169237386529736,0.226510616804853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl2",0.173296783445663,0.193018975167152,0.223583658554226,0.222952853724995,0.46443662509409,0.226510616804853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl16",0.173296783445663,0.193018975167152,0.223583658554226,0.222952853724995,0.169237386529736,0.226510616804853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ccl5",0.0990377224884714,0.193018975167152,0.796654332008919,0.395555201516547,0.096717809693574,0.129449001659314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl12",0.591427831828284,0.193018975167152,0.223583658554226,0.222952853724995,0.096717809693574,0.226510616804853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mdk",0,0,0,0,0,0,0,0,0,0,0.401485349413414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bmp4",0,0,0,0,0,0,0,0,0,0.220248705012406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Copa",0,0,0,0,0,0,0,0,0,0.153554376199909,0.206196214324502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200830142310437,0,0,0,0,0,0,0,0,0,0,0
"Psen1",0,0,0,0,0,0,0,0,0,0.608843183490302,0.647717849531683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ntn1",0,0,0,0,0,0,0,0,0,0.153554376199909,0.206196214324502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nid1",0,0,0,0,0,0,0,0,0,0.153554376199909,0.206196214324502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jag2",0,0,0,0,0,0,0,0,0,0.472021739664591,0.456563967419717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dll1",0,0,0,0,0,0,0,0,0,0.438676797398796,0.499903320363215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dll4",0,0,0,0,0,0,0,0,0,0.40640196961911,0.232242540124209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mmp9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244296142713781,0,0,0,0,0,0,0,0,0,0.53881811096963,0,0,0,0,0,0,0,0,0,0,0,0
"Rtn4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167095569145585,0,0,0,0,0,0,0,0,0,0,0,0
"Hmgb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971579781414469,0,0,0,0,0,0,0,0,0,0,0,0
"Hbegf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411925420293242,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442285642864922,0,0,0,0,0,0,0,0,0,0,0,0
