"","M6pr","Fzd1","Antxr1","Scarb2","Bmpr1a","Epha2","Lrp6","Sec63","Ddr2","Ryk","Ednra","F2r","P2ry14","S1pr3","Scara3","Cadm1","Nptn","Itga8","Itga9","Itgb1","Itgb5","Dag1","Cd151","Itga1","Lrp1","Cd47","Igf2r","Glg1","Sdc3","Sdc4","Cd44","Nrp1","Sdc2","Nectin1","Calm1","Prnp","Atp5b","Pkd2","Ghr","Tnfrsf1a","Mylk","Rpsa","Tgfbr2","Tgfbr3","Rrbp1","Anxa6","Igf1r","Rack1","Axl","Pdgfrb","Plxnb2","Pkd1","Il6st","Clstn1","F3"
"Pf4",0,0,0,0,0,0,0,0,0,0,0,0,0.244236085159607,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308037228306428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ccl5",0,0,0,0,0,0,0,0,0,0,0,0,0.244236085159607,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488348219681343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hc",0,0,0,0,0,0,0,0,0,0,0,0,0.244236085159607,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl2",0,0,0,0,0,0,0,0,0,0,0,0,0.244236085159607,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl16",0,0,0,0,0,0,0,0,0,0,0,0,0.244236085159607,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl12",0,0,0,0,0,0,0,0,0,0,0,0,0.244236085159607,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl13",0,0,0,0,0,0,0,0,0,0,0,0,0.244236085159607,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3",0,0,0,0,0,0,0,0,0,0,0,0,0.244236085159607,0,0,0,0,0,0,0,0,0,0,0,0.365388405573321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hebp1",0,0,0,0,0,0,0,0,0,0,0,0,0.244236085159607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148817687430665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2911276527612,0,0,0
"Vegfc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446293343780428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148817687430665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640756172872826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371715213079687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pgf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481748384810589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560665593706596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hgf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377684866520068,0.581836355238978,0.101073242149577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131695303348695,0.298059201053849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240017618338431,0,0.148817687430665,0.395168664691792,0,0,0,0,0,0,0,0,0,0,0.48822138931653,0,0,0,0,0,0,0,0,0,0,0
"Fgf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306495006314527,0.638410627571351,0.321994839521182,0.442285642864922,0.148817687430665,0.470096634040453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wnt4",0,0,0,0,0,0,0.402563505817286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dkk2",0,0,0,0,0,0,0.680133761700708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rspo1",0,0,0,0,0,0,0.423815070127719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdh5",0,0,0,0,0,0.0178544459598621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111717301472958,0,0,0,0,0,0,0,0,0,0,0,0
"Efna1",0,0,0,0,0,0.71841881023812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Efnb1",0,0,0,0,0,0.369872366399001,0.214074746172714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176858547600236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Efnb2",0,0,0,0,0,0.285853767366032,0.214074746172714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25153465587347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jag2",0,0,0,0,0,0.201713625054188,0.214074746172714,0.0990476325538896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dsg2",0,0,0,0,0.190344572617572,0.189948921102677,0.201589094737219,0.160410266983492,0.287513126392901,0.433876024535178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157349921561893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdh7",0,0,0,0,0,0.189948921102677,0.201589094737219,0.160410266983492,0.287513126392901,0.433876024535178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
