"","Sec63","Pcdh7","Dlg1","Ror1","Ddr2","Ryk","Xpr1","Fzd2","Antxr1","Scarb2","Ednrb","F2r","Npy1r","S1pr3","Anxa6","Cul5","Rrbp1","Bmpr1a","Bmpr2","Glg1","Nrp1","Tgfbr3","Sdc2","Sdc4","F3","Lrp1","Sorl1","Vldlr","Mylk","Tnfrsf1a","Tnfrsf19","Gria1","Gabra3","Esam","Atp5b","Calm1","Ptch1","Itga8","Fat1","Igf1r","Dag1","Ptprs","Rpsa","Itga1","Itgb1","Nptn","Scara3","Ptprk","Cdh4","Ptpra"
"Lama2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656016895771603,0,0.0161365689282064,0,0.124822975832743,0,0,0,0,0
"Dusp18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161365689282064,0.0264377407495297,0.0218358495907046,0,0,0,0,0
"Lamb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942608801914102,0,0.206282774030582,0,0,0,0,0
"Vcam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995665826262429,0,0.471078651730058,0,0,0,0,0
"Itga4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174840065402722,0,0,0,0,0,0.0995665826262429,0,0,0,0,0,0,0
"Pros1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216274304565458,0,0,0,0,0,0,0
"Rps19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211404329570513,0,0,0,0,0,0,0
"Agrn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10960023775516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388241151265362,0.459981161825488,0,0,0.206282774030582,0,0,0,0,0
"Hspg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10960023775516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322531549603126,0.232399123086234,0,0,0.103295647788543,0,0,0,0,0
"Hsp90b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202553313069005,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176622449563947,0,0,0,0,0
"Mmp9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310435776660169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401681940026392,0,0,0,0,0
"Thbs1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625241979369739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215658962029843,0,0,0,0,0
"Lamb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181684131596002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419159861160115,0,0,0.244765300528363,0.124822975832743,0,0,0,0,0
"Col1a1",0,0,0,0,0.0373982870766781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146469335307509,0.501195220221716,0,0,0,0,0
"Col4a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151129337145447,0.124822975832743,0,0,0,0,0
"Sema7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244765300528363,0.206282774030582,0,0,0,0,0
"Tnfsf13b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22224896526865,0,0,0,0,0
"Lamc2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124822975832743,0,0,0,0,0
"Jam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177918065691644,0,0,0,0,0
"Fbn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193718678148794,0,0,0,0,0
"Adam15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0,0,0,0,0
"Angpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223456102641836,0,0,0,0,0
"Fn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022254232864487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175693105238792,0,0,0,0,0.161194146517752,0,0.433977464142074,0,0,0,0,0
"Tnc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300559972456547,0,0,0,0,0,0,0.240961163066389,0,0,0,0,0
"Npnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175693105238792,0,0,0,0,0,0,0.142809967830446,0,0,0,0,0
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311062360652638,0,0,0,0,0,0,0.0923475211196466,0,0,0,0,0
"Pdgfb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693680940404948,0,0,0,0,0.10960023775516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vegfc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446293343780428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vegfa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579111625391905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148817687430665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640756172872826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371715213079687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560665593706596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pgf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481748384810589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148817687430665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298059201053849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196613018488862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thbs2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190636719311023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serping1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpine2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140964001971249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpine1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446424887129183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clstn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179146242106199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ltf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413170054837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ccl5",0,0,0,0,0,0,0,0,0,0,0,0,0.245135897402731,0.136290500562026,0,0,0,0,0,0,0,0,0,0.488348219681343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penk",0,0,0,0,0,0,0,0,0,0,0,0,0.245135897402731,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hc",0,0,0,0,0,0,0,0,0,0,0,0,0.245135897402731,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl2",0,0,0,0,0,0,0,0,0,0,0,0,0.245135897402731,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl12",0,0,0,0,0,0,0,0,0,0,0,0,0.245135897402731,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cxcl16",0,0,0,0,0,0,0,0,0,0,0,0,0.245135897402731,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3",0,0,0,0,0,0,0,0,0,0,0,0,0.245135897402731,0,0,0,0,0,0,0,0,0,0,0,0,0.365388405573321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hebp1",0,0,0,0,0,0,0,0,0,0,0,0,0.245135897402731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Npw",0,0,0,0,0,0,0,0,0,0,0,0,0.245135897402731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sfrp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256035038673025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bmp6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256401595334149,0.0306763833004731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bmp5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256401595334149,0.0708928384558558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bmp3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059254171848763,0.0708928384558558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bmp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256401595334149,0.780621090790136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316229024583641,0,0,0,0,0,0,0.283058777114957,0,0,0,0,0,0,0,0.215323106219401,0,0,0,0,0
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283058777114957,0,0,0,0,0,0,0,0.0885726481273005,0,0,0,0,0
"Plxnb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269566393069036,0,0,0,0,0,0,0,0,0,0,0.278725090260242,0,0
"Ntn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223850044201726,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itgb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115631332489491,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itgb7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115631332489491,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181684131596002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Efnb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176858547600236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Efnb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25153465587347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
