"Actb" "Aqp4" "Cdkn1a" "Cxadr" "Elf3" "Epha2" "Icam1" "Pfn1" "Areg" "Aqp5" "Muc1" "Ager" "Gsto1" "Ltf" "Chil1" "Clu" "P4hb" "Abcc5" "Lcn2" "Cdk4" "Btg2" "Nedd4l" "Anxa5" "Mrpl40"
"Bdnf" 0.001433808953727 0 0.00285191567093599 0 0.00136241042568419 0.00173527647161518 0.00136090264917081 0.00126105317220516 0 0 0.00134610029060466 0 0 0 0 0 0 0 0 0.00225760933084855 0.00130652388747267 0.00124587362129151 0 0
"Pcdh1" 0.00130990616096732 0 0.00171059303509075 0 0 0.00126986069383774 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dusp18" 0.00130772291678558 0 0.00206366380754605 0 0.00121061680163687 0.00145763195560894 0.00157795755967461 0.0012732249765504 0 0 0 0 0 0 0 0 0 0 0 0.00145563498821616 0 0 0 0.00120465091729205
"Efna1" 0 0 0.0015095279291241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0.0012041471253463 0 0.00160268744489109 0 0 0.00142079997050143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf10" 0.00181741586496794 0 0.00454721609898816 0 0.00143575740920282 0.00173851589640601 0.00181143768729395 0.00153734620932533 0 0 0.00155836413405727 0.00137023152251467 0 0 0 0 0 0 0 0.00120877246680083 0.00144127241018469 0.00130535888052889 0.00438736639033843 0.00139450639333715
"Cdh5" 0.0013304647264498 0 0.00169034218431189 0 0 0.00295110185741221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00169455534887847 0 0.00296467644517818 0 0.00142816189336808 0.00173150113609308 0.00145038743054541 0.00145359468187998 0 0 0.00157906317841867 0.00122688920507311 0 0 0 0 0 0 0 0 0.00135715710110835 0.00121615396136343 0 0.00122020741797539
"Itgb1" 0 0 0.0023583641063619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Inhba" 0.00186551860441827 0 0.0025306734442935 0 0.00125523304079345 0.00195411923923398 0.00122956765592219 0.00142253078270862 0 0 0.00131882376443781 0.00126645444035155 0 0 0 0 0 0 0 0 0.00162792760735782 0.00147009296353023 0 0
"Tgfb3" 0.00171215492557961 0 0.00225560517487711 0 0 0.00162576060822309 0.00128816566297975 0.0013860823839256 0 0 0 0 0 0 0 0 0.00205980992087896 0 0 0 0.00146542887808945 0.00120835573693816 0 0
"Tnfsf14" 0.00161733454893456 0 0.00221446840421092 0 0.0013158005480748 0.00175134589539468 0.00149544231301743 0 0 0 0 0.00129183504930855 0 0 0 0 0 0 0 0 0.00128793192668184 0.00125519435367019 0 0
"Ltb" 0.0014927927701708 0 0.00197876231105226 0 0.00126591150872649 0.00140689199684224 0.00205205967334107 0.00121837481859104 0 0 0 0.00152149940211275 0 0 0 0 0 0 0 0 0 0 0 0
"F7" 0.00126320202923993 0 0.00161693906598446 0 0 0.00130398781515613 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0.00118100036603681 0 0.00171852712084425 0 0.00126429103706457 0.00132550126110563 0.00140725078539295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pf4" 0 0 0.0011988647909831 0 0 0 0.00186589974392343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0 0 0.00167196176542722 0 0 0.00128251529228418 0.00121034151745122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0 0 0.00164164008714949 0 0 0.0013852958236293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
