"Cbr3" "Cdkn1a" "Cirbp" "Elf3" "Epha2" "F3" "Gsto1" "Icam1" "Lcn2" "Srebf1" "Xbp1" "Bsg" "Flot1" "Gramd2" "Mcl1" "Muc1" "Synpo" "Trf" "Aqp4" "Cxadr" "Gapdh" "Pfn1" "Crybg3" "Gclc" "Cdk4" "P4hb" "Sdc1" "Anxa3" "Areg" "Gsr" "Abcc5" "Ager" "Akr1b8" "Ltf" "Capsl" "Eya2" "Gdpd2" "Zfp474" "Aqp5" "Aldoa" "Cd9" "C77080" "Lbp" "Clu" "Ldha" "Btg2" "Fth1" "Gpx1" "Tmem56" "Anxa1" "Hprt" "Osbpl5" "Tmem176b" "Ctsk" "Sdc2" "Hey1" "Prom1" "Gnas"
"Pf4" 0 0.0011988647909831 0 0 0 0 0 0.00186589974392343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0 0.00152308824586791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0 0.00296467644517818 0.00145878353139573 0.00142816189336808 0.00173150113609308 0 0 0.00145038743054541 0 0.00132267655198263 0 0 0.00145970538630242 0 0.00166494980013655 0.00157906317841867 0.00140606894323363 0 0 0 0.00139754844491823 0.00145359468187998 0 0.00117836989844683 0 0 0 0 0 0 0 0.00122688920507311 0 0 0 0 0 0 0 0.00121703993002482 0.00122896082750346 0 0.00120904422515377 0 0 0.00135715710110835 0.0012793841595511 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0 0.00314605775773029 0.00168303517881449 0.00156756768819684 0.00184688004584551 0.00122691940798283 0 0.00243894759633319 0 0.00143809853553477 0 0 0.00152609710098334 0 0.00151668336528451 0.00145300057372067 0.00149827112195519 0 0 0 0.00151062941428825 0.00143300676592414 0 0.00119458196729706 0 0 0.00122099266834853 0 0 0 0 0 0 0 0 0 0 0 0 0.00136989997605083 0.00132199584783824 0.00119062049458864 0 0 0.00118719449753814 0.0015254565503263 0.00132428579111218 0 0 0.00121367006033956 0 0 0 0 0 0.00126090162371492 0.00246151101994976 0.00129208715619899
"Jag2" 0 0.00143959503171508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0 0.00246449811044922 0.0018442687602589 0.00163200426860531 0.0018212422778858 0.00134564785268919 0 0.0050239544149108 0 0.00156592750502031 0 0 0.00163094106822203 0 0.001613826308835 0.00145086027009936 0.0015049320843165 0 0 0 0.00178507495899701 0.00167048448810788 0 0.00120744566073621 0.00123998851563183 0 0.00129142495889751 0 0 0 0 0.00481267219492233 0 0 0 0 0 0 0 0.00156432309333544 0.00132832786226396 0.00133178053617895 0.00119770078445072 0 0.00120609063936024 0.00140292827580627 0.00143302419248472 0 0 0 0 0 0 0 0 0 0 0.00135903825589917
"Il16" 0 0.00164031543340302 0 0.00118527339683374 0.00137572638089323 0 0 0 0 0 0 0 0 0 0 0.00117929639420596 0 0 0 0 0 0.00124738932064366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0.00119974845135982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0 0.00285191567093599 0.00146863599971998 0.00136241042568419 0.00173527647161518 0 0 0.00136090264917081 0 0.00123287603362199 0 0 0.0014414076832837 0 0.00134580829674567 0.00134610029060466 0.00151052837664753 0 0 0 0.00128249222617003 0.00126105317220516 0 0 0.00225760933084855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130652388747267 0.00116942306038556 0 0 0 0 0 0 0 0 0 0 0.00126483326807193
"Yars" 0 0.00169190123587818 0 0 0.00140205527682894 0 0 0 0 0 0 0 0.0012113256328791 0 0 0 0.00119188367094706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0 0.00167196176542722 0 0 0.00128251529228418 0 0 0.00121034151745122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0.00377401514156348 0 0.00117792267604058 0.00136890286866499 0 0 0.00119637671683646 0 0 0 0 0.00116912634400612 0 0 0 0.00116417610084485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Npnt" 0 0.00157063884088475 0 0 0.0012664564539996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181797444487836 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00145827001953106 0 0 0 0.00162974358880399 0 0 0 0 0.00194615578682158 0.00184807779440763 0 0 0
"Cadm1" 0 0.00128756225099182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00121257584869039 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00510700223651312 0 0 0 0 0 0 0 0 0.00527443339199188 0.00533653415176283 0.00531760276642335 0.00568193305502571 0 0 0 0 0.00497279866418111
"Crlf1" 0 0.00233881101566597 0.00154219782294213 0.00177304485672043 0.00236940609735668 0 0 0.00197489626514558 0 0.00128321804254955 0 0.00141284885201042 0.00158064594553432 0.00170027764607032 0.00206725465950841 0.00238139201815406 0.00207651218786076 0.00142649796752957 0 0 0.00127587416334631 0.00119941690898094 0 0.00128720915518633 0 0 0.001291345527421 0 0 0.00141527840553629 0.00195865081667378 0.00124982059193824 0 0.00116947469916684 0 0.00123538537483568 0 0.00130279846836107 0 0.00145766913927708 0.00127045389058345 0.00180057176108035 0.00165275513068314 0.00216357861726932 0 0.00230064272139962 0.00222189700790961 0.0020945277601298 0.00219924783148754 0 0 0 0 0 0 0.00138437283965042 0 0
"Vegfa" 0 0.00201992273566579 0.00127897933285294 0.00138132568656035 0.0030021255700173 0 0 0.002338318134906 0 0.00116976321650067 0 0 0.00135138172487628 0 0.00249151263747815 0.0012844761199113 0.00143050603226441 0 0 0 0.00134260268084396 0.00129501658638254 0 0 0 0.0019843370875547 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122503156799166 0 0 0 0.00217643341410883 0.0024203298334835 0.00119991813265487 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0 0.00186433102548193 0 0.00119893977672504 0.00146305138363456 0 0 0 0 0 0 0 0 0 0.0013020756742901 0.00141069966747381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0 0.00189441420720381 0 0.00118402082437806 0.00132573586962643 0 0 0.00139941167804101 0 0 0 0 0 0 0.00123561062762319 0.0012159887045616 0.00125242501649584 0 0 0 0.00123157553889115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0.00171852712084425 0 0.00126429103706457 0.00132550126110563 0 0 0.00140725078539295 0 0 0 0 0 0 0 0 0.00128232290913111 0 0 0 0 0.00117966156174943 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0.00136241977901401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0 0.00480643361495988 0.00124316234049455 0.00146455222931538 0.00149150768103652 0 0 0.00142995270602061 0 0.00140177152035142 0 0 0.00148518659539967 0.00134394863943973 0.00134325813793524 0.001402734292313 0.00140160619952122 0 0 0 0.00130594829431234 0.00136205389247092 0 0 0.00119732693222788 0 0.00120523514974681 0 0 0 0.0011710106751674 0.00147481458910138 0 0 0 0 0 0 0 0.00149119568498676 0.00126585388519423 0.00126746740795615 0 0 0 0.00121966855451139 0.00133139496128946 0 0 0 0 0 0 0 0 0 0 0.00120518055072475
"Gpi1" 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dusp18" 0 0.00206366380754605 0.00131301839907899 0.00121061680163687 0.00145763195560894 0 0 0.00157795755967461 0 0 0 0 0.00131973444076525 0 0.00122632287138172 0 0 0 0 0 0 0.0012732249765504 0 0 0.00145563498821616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117987341067274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0.00152125277648955 0 0 0 0 0 0 0.00392451796822546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Wnt5a" 0 0.00157387631446763 0 0.00117302865271576 0.00125936576289916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00488738195361255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0 0.00187530116358333 0.00139453074220996 0.00117075827913492 0.00148326489364376 0 0 0.00227822254511026 0 0 0 0 0.00133959162828033 0 0.00124234795235528 0 0.00118109736860657 0 0 0 0.00119273253630364 0.00123120779421862 0 0 0 0 0 0 0.00478283586807755 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0.00367438744373611 0 0 0.00119565846547445 0 0 0.00122619544728706 0 0 0 0 0 0 0 0.00119719415704238 0.00119450752342193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0 0.00242732066735023 0.00166932691121134 0.0014590997418729 0.00175504161094173 0.00141549206225053 0 0.00281671073832035 0 0.00147712845951084 0 0 0.00172826100479266 0 0.00161785063690861 0.00140520859584373 0.00163787760678518 0 0 0.00121258698942813 0.00142447777506072 0.00160496966216414 0 0 0.00123327751897711 0.00210587522167556 0 0 0 0.00455310242661243 0 0.00153592951449035 0 0 0.00620146546746957 0.00543953524049447 0.00591810918882198 0.00631904006824291 0 0.00140650589996203 0.00130784066780982 0 0.0012766580925056 0.00117019040478507 0.00117231517273391 0.00154623531331102 0.00144094797029008 0 0 0.00121349321674889 0 0 0 0 0 0.00248663495074127 0 0.00116652860960587
"Adam17" 0 0.00206911530949821 0.00148723392432611 0.00142255426229398 0.00150218821176013 0 0 0.00152664699934757 0 0 0 0 0.00137746827114527 0 0.00139312205183961 0.00258179189905994 0.00139699201939423 0 0 0 0.00127317639260921 0.0013662293519631 0 0 0 0 0 0 0 0 0 0 0 0.00259341144660778 0 0 0 0 0 0 0 0 0 0 0 0.00124032981018802 0 0 0 0 0 0 0 0 0 0 0 0.00117360891094602
"Hmgb1" 0 0.00297002690844441 0.00209947957000782 0.00192954454991842 0.00242489808804238 0.00160030831006446 0 0.00562016913687305 0 0.00167142730554444 0 0.00122013322635832 0.00208214105952824 0 0.0018819694242949 0.00182282846358807 0.00174852904090139 0.00129538079724044 0 0.0013393931720182 0.00211550342687762 0.00202998881384803 0 0.00164321951592603 0.00144936663862757 0 0.00168926760704688 0.00126096806440868 0 0.00120637139394434 0.0046707086827051 0.00527474463608968 0.00524403507165371 0 0 0.00149743050121773 0 0 0 0.00177637757815007 0.00141747211541946 0.00157347986838987 0.00144643939278668 0.00133133735129286 0.00134937039522869 0.00175901855350785 0.00161534775738233 0.00142887299203815 0 0.00140761513974262 0 0 0 0 0 0 0 0.00170276955605402
"Itgam" 0 0.00166340261824615 0 0 0.00127118773598424 0 0 0.00124723211845029 0 0 0 0 0 0 0 0 0.00121011541602748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
