"Ahnak" "Aqp4" "Cxadr" "Gja1" "Icam1" "Ier3" "Areg" "F3" "Ghrl" "Timp3" "Cbr3" "Cirbp" "Hmgcs1" "Ltf" "Ager" "Bsg" "Trf" "Akr1b8" "Etfbkmt" "Susd6" "Nedd4l" "Aqp5" "Osgin1" "Gna14" "Nkx2.1" "Sdc1" "Anxa1" "Perp" "Dst" "Ckb" "Fxyd3" "Npc2" "Clu" "Ldha" "Krt7"
"Lamb2" 0.00131457596162555 0 0 0 0 0.00130340368556918 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0.00162707381338442 0 0 0 0 0.00154697020220672 0 0 0 0 0 0.0015990115851504 0 0 0.00120246150970872 0 0 0 0 0 0 0 0 0 0 0.00119617619134581 0 0 0 0 0 0 0 0 0.00133047361597967
"Sfrp2" 0.0014396719491142 0 0 0 0.00130760830471282 0.00186160591153128 0.00131029808129968 0 0 0 0 0 0 0 0.00158968981793234 0 0 0 0 0 0.00125997249779266 0 0 0 0.00133017823551594 0.00156615232965021 0 0 0.00122443674846593 0 0 0 0 0 0
"Itgb2" 0 0 0 0 0.00121034151745122 0.00122445352357404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pf4" 0 0 0 0 0.00186589974392343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ghrl" 0.00123371637095249 0 0 0 0.00374339786157998 0.0014912863874648 0 0 0 0 0 0.00120309948517495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00147252459272457 0 0 0.0023594748343614 0.002338318134906 0.00160320559239241 0 0 0 0 0 0.00127897933285294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00217643341410883 0.0024203298334835 0
"Itgal" 0.00137981814255523 0 0 0.00434190183011221 0.00208304768899103 0.00129360316998538 0 0 0 0 0 0.00120213244521367 0 0 0 0 0 0 0 0 0 0 0 0 0.00452371268195483 0 0 0 0 0.0044580518383769 0.00477155134309815 0.00451253982925612 0 0 0
"Tnfsf14" 0.00193255239876027 0 0 0.00140778655957586 0.00149544231301743 0.00177805647409082 0 0 0 0 0 0 0 0 0.00129183504930855 0 0 0 0 0 0.00125519435367019 0 0 0.00129134124726553 0 0 0.0014702641182334 0.00144662953046128 0.00123173436024853 0 0.00123763946512641 0 0 0 0
"Bmp4" 0.00173315920849301 0 0 0 0.00243894759633319 0.00185626855263888 0 0.00122691940798283 0 0 0 0.00168303517881449 0 0 0 0 0 0 0 0 0.00140496190579293 0 0 0 0 0.00122099266834853 0.00121367006033956 0.00125447520984852 0.00135593203345251 0 0 0 0 0 0
"Il33" 0 0 0 0 0.00219908152407586 0.00123141347069247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ncam1" 0.00133925191388264 0 0 0 0 0.00135393695604133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.0015332934058518 0 0 0 0.00248838117738215 0.00175304959895765 0 0 0 0 0 0.0013818648305725 0 0 0.00120373918694814 0 0.00248539730008674 0 0 0 0.00127178343050788 0 0 0 0.0023453624986881 0.00244069056694097 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0.00131670772846163 0 0 0 0.00140725078539295 0.00151866047246203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Igf1" 0.00151574007721881 0 0.00447810852855616 0 0.00235467193455899 0.00169908400695433 0 0 0 0 0 0.00145892548672386 0.00426375622989894 0 0 0 0.00515341764086063 0 0 0 0.00123626423367849 0 0 0.00610945495907614 0 0 0.0050443347115709 0 0 0 0 0 0 0 0
"Itgam" 0.00129404308203525 0 0 0 0.00124723211845029 0.00128710215959032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0.00132263678956048 0 0 0 0 0.0016512166756348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120358857113377 0 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0.00186880674866776 0 0 0 0.0050239544149108 0.00188014098386042 0 0.00134564785268919 0 0 0 0.0018442687602589 0 0 0.00481267219492233 0 0 0 0 0 0.00142936876012091 0 0 0 0 0.00129142495889751 0 0.00123934762698842 0.00134423669015661 0 0 0 0 0.00120609063936024 0
"Wnt5a" 0.00124531696914446 0 0 0 0 0.0012835506280478 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00488738195361255 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.00142865745316068 0 0 0 0.00227822254511026 0.00153292593991244 0.00478283586807755 0 0 0 0 0.00139453074220996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00124633192093488 0 0 0 0 0.00119812636326757 0 0 0 0.00222440586390975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00175568893670016 0 0 0.00259638499600507 0.00403017469022695 0.00188015714086075 0 0.00125370263898367 0 0.00254983793205014 0 0.00166908971640241 0 0 0.00482613282333761 0 0.00678442694765877 0 0 0 0.00142634849150761 0 0 0 0.00119696039853297 0.00259061551054549 0 0 0.00300779493731168 0 0 0 0.00239610071735005 0 0.00119461137790576
"Bmp5" 0.00180441129497414 0 0.00138390184342702 0 0.00139543571100306 0.00192664670296883 0 0.00124136424486551 0 0 0 0.00157456730258864 0 0 0 0 0 0 0.00468312304954623 0.00326083274138628 0.00157192887822331 0 0 0.001370226289175 0 0 0.00156389671826779 0.0016419562466248 0.00172688382539735 0 0 0 0.00136648937295704 0.00132086141429189 0.00125639024231992
"Hmgb1" 0.00229718206526458 0 0.0013393931720182 0.00135162933996022 0.00562016913687305 0.00237430051533597 0 0.00160030831006446 0 0.00134699904293759 0 0.00209947957000782 0.00121881475019389 0 0.00527474463608968 0.00122013322635832 0.00129538079724044 0.00524403507165371 0 0 0.00182860849877275 0 0 0.00130509923036047 0.00150517646756292 0.00168926760704688 0.00140761513974262 0.00140534825433954 0.00168064140612615 0.00140563399096913 0.00120788598114441 0 0.00133133735129286 0.00134937039522869 0.00145139442934736
"Il18" 0.00218278867454435 0 0.00119506984423473 0.0014948635472648 0.00638287737709559 0.00256105204642575 0 0.00168699296148946 0 0.00119898184957414 0 0.00168818934077886 0 0 0.00187508733897885 0.00435834499020918 0.00260962355080773 0 0 0 0.00168724411676557 0 0 0.00135036692671547 0 0.00132402343911044 0.00140498851244316 0.0013933637967187 0.00130262192015656 0 0 0 0 0 0
"Il1rn" 0.00149727856458657 0 0 0 0.00296230459409371 0.00182630634617351 0 0.00166786009957062 0.00474216206573301 0 0 0.00126537668059315 0 0 0.00134400598198252 0 0 0 0 0 0.00124621022629932 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.0014417568634063 0 0 0 0.00152664699934757 0.00172829346361237 0 0 0 0.00473414026985662 0 0.00148723392432611 0 0.00259341144660778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0 0 0 0.00362141283380819 0.00128461570807211 0 0.00451778443203498 0 0 0.00422249519559522 0 0.00396959391231876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1b" 0.00180284335259474 0.007264524229581 0 0.00247779596350427 0.00530429172618764 0.00193742800508225 0.00678499376436745 0.00514698890695378 0.00473709315127895 0.00642038480425871 0 0.00171666126158824 0 0 0.00280812183463262 0 0 0 0 0 0.00138308968480749 0 0 0 0 0.00123527964298185 0.002704790327919 0.00123074805352271 0.00123681525035391 0 0 0 0 0.00125830803449759 0
"Edn1" 0.00128845498465575 0.00713866059941827 0.00429997558129845 0.0043214010291651 0.00229219060221284 0.00144341020441212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
