"Basp1" "Cdkn1a" "Gsto1" "Icam1" "Ifit3" "Smpd3" "Aqp4" "Areg" "Elf3" "Ghrl" "Tymp" "Stat1" "Gapdh" "Isyna1" "Irf9" "Mxi1" "Ctsk" "Odc1" "Etfbkmt" "Hacd1" "Anxa2" "Chil1" "Clu" "Ldha" "P4hb" "Cdk4" "Gal3st1" "Ltf" "Ifih1" "Akr1b8" "Timp4" "Eno1" "Mrpl40" "B4galt1" "Bcas1" "Krt19" "Lbp"
"Hc" 0 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0.00177374486570155 0 0 0 0 0 0 0.00120009186164615 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0 0.00186433102548193 0 0 0 0 0 0 0.00119893977672504 0 0 0 0 0 0 0 0 0.00119345891782404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema5a" 0 0.00138821599248424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0.00172438615322352 0 0.00127275023603779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0.00162758304250463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0.00139342762829878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0 0.00314605775773029 0 0.00243894759633319 0 0 0 0 0.00156756768819684 0 0 0.00136546343733351 0.00151062941428825 0 0.00118830858518232 0.00144718613340938 0 0.00139694185283906 0 0 0.0014074570290259 0 0 0.00118719449753814 0 0 0 0 0 0 0 0.0014070999242616 0.00136639106761403 0.001318736202054 0 0.00127412271473964 0
"Hbegf" 0 0.00189441420720381 0 0.00139941167804101 0 0 0 0 0.00118402082437806 0 0 0 0.00123157553889115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lefty1" 0 0.00302066413507649 0 0.00135524105653676 0 0 0 0 0.00154949325767059 0 0.00119553481926666 0.00133051848232139 0.00164149579892113 0 0.00155851514680433 0.00183913590779988 0 0.00149136146379171 0 0 0.00169741634275485 0.0013146226014511 0.00140139656920658 0.00149713715511181 0 0.00128226091316561 0 0 0 0 0 0.00136046082341167 0.00124030678553199 0.00119618241609673 0.00163491928260292 0.00143446773136193 0.0012580911416679
"Spp1" 0 0.00187530116358333 0 0.00227822254511026 0 0 0 0.00478283586807755 0 0 0 0 0.00119273253630364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0.00377401514156348 0 0.00119637671683646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0 0.00158334674085987 0 0 0 0 0 0 0.00133503601700804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0013899020705524 0
"Itgam" 0 0.00166340261824615 0 0.00124723211845029 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Inhbb" 0 0.00286730477845298 0 0.0013167592236187 0 0 0 0 0.00120588013775304 0 0 0.00124331014683137 0 0 0.00128116278868407 0.00170270872295867 0 0.00150241671927057 0 0 0.00156388526269436 0 0.00120742344923043 0.00130028696796243 0 0 0 0 0 0 0 0 0 0 0.00129341956774108 0.00130684961326887 0
"Tgfb3" 0 0.00225560517487711 0 0.00128816566297975 0 0 0 0 0 0 0 0 0 0 0 0.00140416239022943 0 0 0 0 0.00134456078833214 0 0 0 0.00205980992087896 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0.00171852712084425 0 0.00140725078539295 0 0 0 0 0.00126429103706457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dusp18" 0 0.00206366380754605 0 0.00157795755967461 0 0 0 0 0.00121061680163687 0 0 0 0 0.00137556297092936 0.00121012693794365 0 0 0 0 0 0 0 0 0 0 0.00145563498821616 0 0 0 0 0 0.00127134045206172 0.00120465091729205 0 0 0 0
"Osm" 0 0.00248001209218667 0 0.00200404272390095 0.00141450046515593 0 0 0 0.00169976114593909 0 0.00137596529576607 0.0018282662926577 0.00149103822419557 0.00132371613016984 0.00189308147609707 0.001372747644916 0 0.00183350973860278 0 0 0.00154682205918703 0 0.00132769702013783 0.00125518200606826 0.00215800536608544 0.00133300091404265 0 0 0 0 0 0.00147242991144135 0.00129669314646171 0.00156922009032482 0.00137910498029659 0 0.00160391294615701
