"Ahnak" "Aqp4" "Cxadr" "Areg" "Met" "Crybg3" "Pof1b" "Lcn2" "Zfp608" "Ager" "Lrrfip1" "Myh9" "Ltf" "Optn" "Nipbl" "Ifih1" "Utrn"
"Nectin1" 0.00118519249823681 0 0 0 0 0 0 0 0 0 0 0.00110523474411096 0 0 0 0 0
"Col1a1" 0.00162707381338442 0 0 0 0.00113548363563001 0 0 0 0.00124320334014311 0.00120246150970872 0.00131625400256107 0.00127585516052212 0 0.00110314995509234 0 0 0.00109492782140545
"Bmp4" 0.00173315920849301 0 0.00112069283974755 0 0.00131554708817658 0 0 0 0.00136364821938545 0.00116320068753799 0.00134869656302345 0.00152267215616941 0 0 0 0 0.00119030757700064
"Calm1" 0.00117043152499261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0.00186880674866776 0 0.0011059236928215 0 0.00132585942236209 0 0 0 0.00135917341046311 0.00481267219492233 0.00132535282723347 0.00162613480887036 0 0.00121862384935194 0 0 0.00114288169359644
"Itgb2" 0.00117271468946991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pik3cb" 0.00108150933288305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamc2" 0.0012588637316747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0.00136738750926704 0 0 0 0.00111135994798259 0 0 0 0 0 0.00108615076828996 0.00122331004441365 0 0 0 0 0
"Angpt2" 0.00173147829178654 0 0 0 0.00143179739707572 0 0 0 0.00130049957441254 0.00147481458910138 0.0012286680174492 0.001453242382684 0 0 0 0 0.0012175340006983
"Itgam" 0.00129404308203525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3a" 0.00147428690923631 0 0 0 0.00107912090313164 0 0 0 0 0 0 0.0012148091945638 0 0 0 0 0
"Tgfb3" 0.00153851464613024 0 0 0 0.00127452365375927 0 0 0 0.00135662501741484 0 0.00143363987114011 0.00145915110208982 0 0 0 0 0.00115804568721952
"Col4a1" 0.00109531132254673 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprc" 0.00135760804635104 0 0 0 0 0 0 0 0 0 0 0.00132385020330943 0 0 0 0.0022782943652454 0
"Ncam1" 0.00133925191388264 0 0 0 0 0 0 0 0 0 0 0.00116652291974866 0 0 0 0 0
"Lamb2" 0.00131457596162555 0 0 0 0 0 0 0 0 0 0 0.00112257739291612 0 0 0 0 0
"Bmp3" 0.00145515764210616 0 0 0 0 0 0 0 0.00137713104166127 0 0.00126435731455402 0.00139779223561284 0 0 0 0 0
"Npnt" 0.00110593480893551 0 0.0011562790955537 0 0 0.00181797444487836 0 0 0 0 0 0.00108140375863495 0 0 0.00174458249711509 0 0
"Spp1" 0.00142865745316068 0 0 0.00478283586807755 0 0 0 0 0 0 0 0.00117497150695883 0 0 0 0 0
"Adam17" 0.0014417568634063 0 0 0 0 0 0 0 0.00109994944536915 0.00114099932632288 0.00113089532733383 0.00133758499639306 0.00259341144660778 0.00249581047286939 0 0 0
"Tnc" 0.00124633192093488 0 0 0 0 0 0 0 0 0 0 0.0011023572752852 0 0 0 0 0
"Sfrp2" 0.0014396719491142 0 0 0.00131029808129968 0.00125052245460534 0 0 0 0.00125166392353771 0.00158968981793234 0.00145991981564475 0.00136871529297371 0 0 0.001228326750431 0 0.0011764134004956
"Bmp5" 0.00180441129497414 0 0.00138390184342702 0.0011087742938132 0.00143329753629567 0 0 0 0.00187136183158218 0.00109528252927936 0.0016779099626114 0.00158714214340449 0 0 0 0 0.00145019531441256
"Lgals3" 0.00116641818947899 0 0 0 0 0 0 0.00392451796822546 0 0 0 0 0 0 0 0 0
"Igf1" 0.00151574007721881 0 0.00447810852855616 0 0.00451940702686641 0.00783493150899521 0.00640733462644155 0 0.00114712899288553 0.00110640275701169 0.00111816417181117 0.00133406752726843 0 0 0 0 0
"Hgf" 0.00139070664011293 0 0 0.00252707471115603 0.00781196484248191 0 0 0 0 0.00110108390728438 0 0.00121069804375481 0 0 0 0 0
"Edn1" 0.00128845498465575 0.00713866059941827 0.00429997558129845 0 0 0 0 0 0 0 0 0.00112539673770424 0 0 0 0 0
