"Actb" "Ahnak" "Bax" "Bcl2l1" "Capn2" "Ccnd1" "Cdkn1a" "Clic1" "Epha2" "Flot1" "Gadd45b" "Gapdh" "Icam1" "Krt8" "Lmna" "Mbnl1" "Mcl1" "Nek6" "Pfn1" "S100a10" "Sema3b" "Socs3" "Trib1" "Ubc" "Vegfa" "Anxa2" "Clu" "Cox5a" "Gja1" "Gpi1" "Msn" "Nme1" "Psmc6" "Sod2" "Sparc" "Tnfrsf12a" "Aldoa" "Lama5" "Lcn2" "Mdm2" "Ranbp1" "Slc25a25" "Slc3a2" "Myh9" "Cd14" "Ilk" "Ndst1" "Ager" "Col4a1" "Cryab" "Fkbp1a" "Hspb1" "Itgb6" "Krt18" "Sqstm1" "Elob" "Ceacam1" "Rcan1" "Slc9a3r1" "Tmbim1" "Ybx1" "Fth1" "Ftl1" "Hist1h2bc" "Lasp1" "Pcbp1" "Tmem37" "Akr1b8" "Pkm" "Gnas" "Timp3" "Isyna1" "Hcfc1r1" "Mif"
"Bmp4" 0.00167989700560281 0.00173315920849301 0.00234737228060848 0.00178526142813771 0.0013671271257611 0.00282542400280105 0.00314605775773029 0.0015725296573374 0.00184688004584551 0.00152609710098334 0.00186529003957793 0.00151062941428825 0.00243894759633319 0.00159833342380597 0.00177412858886404 0.00146596656693435 0.00151668336528451 0.00163142905611643 0.00143300676592414 0.00150016099256784 0.00152186586553008 0.00155748341012834 0.00179741678915902 0.0020652136076413 0.00472910161072179 0.0014074570290259 0 0 0.00111062934186715 0 0 0.00118394744879641 0 0.00104588899384841 0 0.00138586600501744 0.00136989997605083 0.0014082331578757 0 0.00146112579798381 0.00146312650638173 0.00139548203058206 0.00145646218814625 0.00152267215616941 0 0 0.00129193778353993 0.00116320068753799 0.00106492606322081 0 0 0.00117002692956243 0 0.0012072291860015 0.00139236578542934 0 0 0.00112203683314072 0.001333977326644 0.00118142024017227 0 0.00132428579111218 0.00136300539130708 0.00130372544768374 0.00131547412626671 0.00124050836379933 0.00112687766335068 0 0.00124834876585614 0.00129208715619899 0 0 0.00140655505899615 0.00227305887703119
"Aimp1" 0 0.00106132617919555 0 0 0 0.00119945942285115 0.00138978309478463 0 0.00111924175182629 0 0.00112738374761748 0 0.00184033222145903 0 0.00112974921564656 0 0 0.00110579196233936 0 0 0 0 0.00115500085767825 0.00127460217063012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001055325180801 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00113302069762406 0.00124633192093488 0 0.00131914804895682 0.00109084173257511 0.00147863837550371 0.00164164008714949 0.00121301081116585 0.0013852958236293 0 0.00120293430632741 0.00104307054779303 0.00104935308370319 0.00114350643734062 0.00122385998378597 0 0.0010763607005673 0.00110689158923519 0.00105781567602159 0 0 0.00105152707435781 0.0013278687496968 0.00137667016120473 0.00129953066602373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0011023572752852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00222440586390975 0 0 0
"Sema7a" 0 0 0 0 0 0 0.00115252403741663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col18a1" 0 0.00115772775710992 0 0.00112421541810277 0 0.00131366087640789 0.00148491191004066 0.00106646000503155 0.00114946724209306 0.00105268916754025 0.00118150661567839 0 0 0.00106451337625422 0.00121806433425557 0 0 0.00115018497470466 0.00105641920965281 0 0 0.00108748854787891 0.00122050956933888 0.00139609851422515 0.00331406073320932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0 0 0 0 0.00114419677583603 0.00119974845135982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dusp18" 0.00130772291678558 0.00130749492982339 0.00161785663482474 0.0017100271428841 0.00110099037863886 0.0021341607950359 0.00206366380754605 0.00128394906732881 0.00145763195560894 0.00131973444076525 0.00159229363563867 0.00112032374911293 0.00157795755967461 0.00114156522801888 0.00135759360487114 0.00110086410015452 0.00122632287138172 0.00125904793272862 0.0012732249765504 0.00108528246424237 0.00107473882985375 0.0013380680088355 0.00142496559285463 0.00151833958549796 0.00151018010453767 0 0 0 0.00157112179899676 0 0 0.00106266133847936 0 0 0 0 0.00117987341067274 0.00118194472165944 0 0.00112083959891385 0.001447093699433 0.00118580380767113 0.00118927731982052 0.00114812007316828 0 0 0.00106891704465605 0 0 0 0 0.00126800625760793 0 0 0.00109967319224832 0 0 0 0 0 0 0 0.00124640270190044 0.00108085712765975 0.00118345150373021 0.00110777176352022 0 0 0 0 0 0.00137556297092936 0 0
"Adam17" 0.00152012849124405 0.0014417568634063 0.00115993367388151 0.00176616475343128 0.00117790673453089 0.00196545252932372 0.00206911530949821 0.00134863235874304 0.00150218821176013 0.00137746827114527 0.00170368372605386 0.00127317639260921 0.00152664699934757 0.00143327073942227 0.0015406909372773 0.00118469918559925 0.00139312205183961 0.00150808810656686 0.0013662293519631 0.00126615679310811 0.00131418864926006 0.00143038606989501 0.00152800804205562 0.00176475134299126 0.00250313799333803 0.00114168079867922 0 0 0.00105223831482593 0 0 0 0 0.00212851138965628 0 0.00119530599656651 0.00114981150815589 0.00115555570781167 0 0.00120053978595704 0.00133445508112182 0.00116119778835082 0.00131174750016102 0.00133758499639306 0 0 0.00109929193334453 0.00114099932632288 0 0 0 0.00112046712609535 0 0 0.00120600632142194 0 0 0 0.00107434591330127 0.00106242749233537 0 0.00115337820528522 0.00122041553539074 0.00117464468271232 0.00114080460143288 0 0 0 0.00109809810017397 0.00117360891094602 0.00473414026985662 0 0.00110368225735726 0
"Arf1" 0 0 0 0 0 0.00106004851856561 0.00121303997570744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0 0.0010961330719689 0 0 0 0.00126701179914019 0.00135389490823109 0 0.00110862868192535 0 0.00108223249040059 0 0 0 0.00109043188819073 0 0 0.00106750726943653 0 0 0 0 0 0.00112611321241043 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
