"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Hes1" "Hif1a" "Icam1" "Ier3" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "P4hb" "Psmc6" "Sod2" "Sparc" "Timp2" "Tnfrsf12a" "Ubc" "Vegfa" "Zfp36l1" "Actb" "Capn2" "Clic1" "Efna1" "Flot1" "Gapdh" "Klf6" "Krt8" "Nfe2l2" "Pfn1" "S100a10" "Sema3b" "Slc38a2" "Tgfbr2" "Bag6" "Ftl1" "Gadd45a" "Hspb1" "Ranbp1" "Slc3a2" "Ager" "F3" "Fth1" "Hdgf" "Hist1h2bc" "Lasp1" "Npepps" "Pcbp1" "Sqstm1" "Tinagl1" "Tmem37" "Myh9" "Rela" "Ceacam1" "Abcc5" "Akr1b8" "Cpeb4" "Dlgap4" "Ece1" "Ndufs2" "Rhoa" "Btg2" "Lpp" "Ndst1" "Aldoa" "Lama5" "Lcn2" "Ilk" "Gsta3" "Rac1" "Skp1a" "Crip2" "Fam174b" "Krt18" "Krt19" "Mlph" "Osgin1" "Pard6b" "Tef" "Phb2" "Prdx5" "Timp3" "Gnas" "Lsr" "Srsf2" "Tmbim1" "Atf4" "Rtn4" "Areg" "Tead1" "Gprc5a" "Krt7" "Ybx1" "Gramd2" "Pigr" "Crlf1" "Nubp1"
"Itgb1" 0 0 0 0 0.00141891009476632 0 0.0023583641063619 0 0 0 0 0 0 0 0.00120377757256709 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00121013500268273 0.00123606154350047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0.00136738750926704 0 0 0.00143730442326052 0.00174813253088666 0 0.00188044658787928 0 0 0 0.0013434363341481 0.00130393379050722 0 0 0.00148512531126647 0 0.00127681993639204 0.00142361661621238 0 0.00133913952023012 0.00123272139760409 0 0 0 0 0 0 0 0 0.00143843750617272 0.00156776997326893 0.00128689806152674 0.00121796562353523 0 0.00123388280103664 0 0.00123659048526005 0 0 0.00118725210810313 0.00132421712030051 0 0 0 0 0.00126603923485687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122331004441365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfd" 0.00127203413370182 0 0 0.00139800473406082 0.0016030635371182 0 0.00176118675042989 0 0 0 0.0013133845591336 0.00139684961406086 0 0 0.00130745267400296 0 0 0.00158322425384147 0 0.0013085977446279 0 0 0 0 0 0 0 0 0 0.00135363929513064 0.00162511473762227 0.00129834471254499 0.00122379582036767 0 0 0 0 0.00123642571285469 0 0.00122514070091756 0.00120256349746203 0 0 0.00136621921499993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120102988607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0 0 0.00119964428691536 0.00147857872071867 0 0.00160734617280627 0 0 0 0 0.00132063824668414 0 0 0.00130569341953242 0 0.00362141283380819 0.00128461570807211 0 0.00122962815617496 0 0 0 0 0 0 0 0.00420291883098396 0 0.00140505674577875 0.0034770256159516 0 0 0 0 0 0 0 0 0 0.00415632604316999 0 0 0 0 0 0 0 0 0 0 0 0 0.00451778443203498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00403771682999996 0 0 0.00376902228924274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00408947682338347 0 0 0 0 0 0 0 0.00563806788896308 0.00523227827316777 0.00425520118583482
"Il18" 0.00218278867454435 0.00145534708779247 0.00171557057283393 0.00264908034970957 0.00247496982989966 0.0012823165909014 0.00261924139629381 0 0 0 0.00196574575923994 0.0064440537273039 0.0014948635472648 0 0.00212848515386467 0.00190599656623202 0.00638287737709559 0.00256105204642575 0 0.00202076381596437 0.00221063594764083 0.00154015234289571 0 0 0 0.00173767123407798 0 0 0.00239321808936035 0.00250880881513251 0.00511931767404228 0.00228274936323527 0.00200876295210093 0.00149094967600823 0.00192702648279839 0.00161108996683091 0.00203712249702161 0.00183786614945843 0.00193962599180508 0.00147565927870689 0.0017346066833064 0.00187844877868848 0.0020561721860896 0.00145172969636755 0.00187770348057513 0.00188978127137118 0.0013299546384275 0.00143471242524333 0.00162494371730393 0.00172612391842166 0.00176028915868874 0.00148288762214931 0.00187508733897885 0.00168699296148946 0.00197306727479522 0.00149572524865055 0.00134388629163792 0.00153491714438142 0 0.00145480560595882 0.0016867115330074 0.00145135811991173 0 0.00204391554618003 0.00197174925072492 0 0 0 0.00188797937118547 0.00127889080475624 0.00176301507532374 0.00192620612057413 0 0.001618709886232 0.0017618383003738 0.0014214701560934 0.00160283894048459 0.00137914318637491 0 0.00123429435030835 0 0 0 0.00130251122882121 0.00130433058748367 0.00125438382822179 0.001331038243009 0.00168469049653855 0 0.00157277175855419 0.0013375411103679 0 0.00140810934824085 0.00119898184957414 0.00127368274954287 0.00147711203116365 0 0.00131492003095403 0.00118590479592394 0.0013371668689209 0 0.00126827359546261 0.00133234617003063 0.00118416824782252 0 0.00211954555013714 0.00201351341838364 0 0
"Pdgfb" 0.00144905231401009 0 0.00377692683710619 0.00173584731928376 0.00397971566562292 0 0.00419351935735484 0 0 0 0.00149809507474456 0.00161798752627548 0 0 0.00153712934332029 0.00382549008940774 0.00156042085065272 0.00160091792808307 0 0.00153110703459295 0.00131028157414491 0 0 0 0 0.00384315562232967 0 0 0 0.00170006561193559 0.00169163076759744 0.00148774123379311 0.00134724812981761 0 0.00127832106437133 0.00119719961320409 0.00136496490897051 0.00126895285760113 0.0013831800514753 0.00130758285203048 0.00136794546233614 0.00118626414954706 0.00122996419558952 0.00123115473834787 0.0011946542640794 0.00123286242738454 0 0 0 0 0.00130261490045116 0 0 0 0 0 0 0 0 0 0 0 0 0.00123530278212532 0.00118776140212068 0 0 0 0 0 0.00117998873802025 0.00123756493393611 0 0 0.00125676415763141 0 0 0.00118737509160926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00226788633488266 0.0011984520885392 0 0 0
"Col1a1" 0.00162707381338442 0.00123641513317193 0 0.0016136413367876 0.00161798765255975 0 0.00205156612943967 0 0 0 0.00171779038272844 0.00164512026442143 0 0 0.00178151060521619 0 0 0.00154697020220672 0 0.00177711249818829 0.0013171274871054 0 0 0 0 0 0 0 0 0.00176980102612679 0.00173486610832592 0.00153468198249731 0.00150260770807709 0.00129993998403701 0.00134421200209492 0.0014337924044915 0.00153440582588834 0.00123349073113234 0.00131991212028527 0.0016958927987246 0.00142365926833625 0.0014147910999898 0.00130056433751597 0.00147451802163776 0.00141943532300205 0.00124181064576978 0.0013190960205416 0 0 0 0.00123100914329163 0.00131246869707894 0.00120246150970872 0 0.00123930822960594 0.00120376446785938 0 0.00129233169000757 0 0 0.00118128502769337 0 0.00120802339299706 0.00127585516052212 0 0 0 0 0.00124995713481852 0 0.00126769809240738 0 0 0 0.00128318644927302 0.0012674844733993 0.00135785385354049 0.00148137995324356 0 0 0 0 0 0 0 0.0011994452522921 0 0 0 0 0 0 0 0 0.00124627617178789 0 0 0 0 0 0 0.00124101240065516 0.00132103281373069 0.00133047361597967 0 0 0 0 0
"Selplg" 0 0 0 0 0.00134087819926218 0 0.00133041601505317 0 0 0 0.00119232713735019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219002214911273 0 0 0.0012110959742142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00164073810206497 0.00130113046119239 0.00124337906893848 0.00180991592613028 0.00193361403825029 0 0.00296467644517818 0 0 0 0.00173150113609308 0.00168226934658771 0 0 0.00175965415578695 0 0.00145038743054541 0.00173011415414281 0 0.001703242632478 0.00166494980013655 0 0 0 0 0 0 0 0.00123172057618832 0.00184751510728591 0.00179764943299951 0.0015851904449187 0.00169455534887847 0.00132417726065592 0.00166519308200162 0.00132949710499584 0.00145970538630242 0.00139754844491823 0.00157425269276389 0.00145540154789745 0.00148986307397502 0.00145359468187998 0.00146486921033178 0.00136814187722094 0.00128497502602393 0.00138995686369621 0.00130594105547908 0.00122163920712198 0.00132270569898628 0.00121811467121443 0.00129646224456047 0.00123278618222357 0.00122688920507311 0 0.0012793841595511 0.00131648194582813 0.00132667343605835 0.00124543617273829 0 0 0 0 0 0.0015607816818557 0.00135435043311859 0 0 0 0.00141787371696058 0 0.00128790062476793 0.00134981319577652 0 0.00135715710110835 0.0013725679282421 0.00126379634713561 0.00121703993002482 0.0012408236762611 0 0 0 0 0 0.00119990864739309 0 0 0 0 0 0 0.00126571041221393 0 0 0 0 0 0 0 0.00122701366968612 0.0011975297541019 0 0 0 0 0 0 0 0 0
"Vcam1" 0 0 0 0 0 0 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
