"Actb" "Ahnak" "Bax" "Bcl2l1" "Cdkn1a" "Epha2" "Gadd45b" "Gapdh" "Krt8" "Lmna" "Myh9" "Sparc" "Aldoa" "Lcn2" "Anxa2" "Clu" "Itgav" "Psmc6" "Tnfrsf12a" "Areg" "Gsta3" "Lamc2" "Ceacam1" "Anxa3" "Col4a1" "Itgb1" "Akr1b8" "Tef" "Arpc2" "Fth1" "Ftl1" "Tmem37" "Calm1"
"Tgfb3" 0.00171215492557961 0.00153851464613024 0 0.00148032145079716 0.00225560517487711 0.00162576060822309 0.00176034775050419 0 0.00146472280032559 0.00151856378606806 0.00145915110208982 0 0 0 0.00134456078833214 0 0 0 0.00118897882277208 0 0 0.00120931292616095 0 0 0 0 0 0 0 0 0 0 0
"Arf1" 0 0 0 0 0.00121303997570744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ncam1" 0.001215445024343 0.00133925191388264 0 0.00133050018391749 0.00170022969043603 0.00145970028609845 0.00137214639562075 0.00117183126699847 0.0012168881005481 0.00133060546117119 0.00116652291974866 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0.0012041471253463 0.00117043152499261 0 0.00119475279620018 0.00160268744489109 0.00142079997050143 0.00128660101705327 0 0.00117511344807651 0.00121258716920942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Psap" 0.00160764635346211 0.00159016852764385 0.00131982772042723 0.00177879114037786 0.00206312454713585 0.00169274695256752 0.00172617917868787 0.00132126451092472 0.00147302889928005 0.00166640072891609 0.00122023295145894 0 0 0 0.00160484246368281 0 0 0 0.00119931965775281 0 0 0.00113880695083507 0 0 0 0 0 0 0 0.00146324069797319 0.00178083726807625 0.00151761368228291 0.00126438204574945
"Rtn4" 0 0 0 0 0.00127594647776936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00175774760434116 0 0 0 0
"Col4a1" 0.00115017429167651 0 0 0 0.00152308824586791 0.00114700859439643 0.00112317364611301 0 0.0011189328273549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fat1" 0.00112512760546508 0.00115223538988786 0 0 0.00152927955383989 0.00124298231956044 0 0 0 0.00123195237070109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpi1" 0 0 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema4d" 0 0 0 0.00113886695193466 0.00156234603485159 0 0.00115863519629988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
