"Anxa2" "Bcl2l1" "Ccnd1" "Cdkn1a" "Chil1" "Clu" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Icam1" "Ldha" "Lmna" "Sod2" "Actb" "Aldoa" "Flot1" "Gapdh" "Krt8" "Lcn2" "Mdm2" "Nfe2l2" "Slc3a2" "Akr1b8" "Cpeb4" "Myh9" "Hspb1" "Isyna1" "Gclc" "Scd1" "Sftpd" "Ifih1" "Cd14" "Cryab" "Serpine2" "Ybx1" "Fth1"
"Il16" 0 0.00166309301776139 0.00152302695035347 0.00164031543340302 0 0 0.00137572638089323 0.00142337269121754 0 0 0.00113648560846408 0 0.00145968015309742 0 0.00130733292692541 0.00109953676537797 0.00113478161046705 0.00115376907703682 0.00121709748572661 0 0.00108580247763376 0.00119518711079048 0 0 0.00143718446855258 0.00119356705094043 0 0 0 0 0 0 0 0 0 0 0.00108311454343329
"Itgb2" 0 0.00123962524960061 0.00150891297300802 0.00167196176542722 0 0 0.00128251529228418 0.00127059140788063 0 0 0.00121034151745122 0 0.00122606362947247 0 0.00110373204318215 0 0 0 0.00106851591676659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0.0011446858217269 0.00137798593495378 0.00162758304250463 0 0 0.00123489168672293 0.00119934115924585 0 0 0 0 0.00117739123508836 0 0.00116983347447202 0 0.00109577682059016 0 0.0010770751788611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0 0.00117521952264516 0.0013082501693038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0 0 0.00126701179914019 0.00135389490823109 0 0 0.00110862868192535 0.00108223249040059 0 0 0 0 0.00109043188819073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00114168079867922 0.00176616475343128 0.00196545252932372 0.00206911530949821 0 0 0.00150218821176013 0.00170368372605386 0.00105223831482593 0 0.00152664699934757 0 0.0015406909372773 0.00212851138965628 0.00152012849124405 0.00114981150815589 0.00137746827114527 0.00127317639260921 0.00143327073942227 0 0.00120053978595704 0.00138462444892899 0.00131174750016102 0 0.00119561780453724 0.00133758499639306 0.00112046712609535 0 0 0 0 0 0 0 0 0 0.00115337820528522
"Anxa1" 0 0 0 0.00108754437855886 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema7a" 0 0 0 0.00115252403741663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arf1" 0 0 0.00106004851856561 0.00121303997570744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0.00137713515200171 0.00155234244201311 0.00166340261824615 0 0 0.00127118773598424 0.00142862833365383 0 0 0.00124723211845029 0 0.00125403050002514 0 0.00115234982413562 0 0 0.00106662959338067 0.00114668509097908 0 0 0.00108414899678503 0 0 0 0.00107240406286459 0 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0 0.00114419677583603 0.00119974845135982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0 0.00143730442326052 0.00174813253088666 0.00188044658787928 0 0 0.0013434363341481 0.00130393379050722 0 0 0.00127681993639204 0 0.00133913952023012 0 0.00121796562353523 0 0.00123659048526005 0.00109454971541497 0.00118725210810313 0 0.00110136167528919 0.00132421712030051 0.00106184148777484 0 0.00107953406730587 0.00122331004441365 0 0 0 0 0 0 0 0 0 0 0.00105805874719248
"Lrpap1" 0 0.00117305108037101 0.00136080936965118 0.00157956256806241 0 0 0.00131570357430475 0.00130179882185781 0 0 0.00112397723786745 0 0.0012804303933304 0 0.00119368533438377 0 0.00105204116358687 0.00112459739996234 0.00115029101068653 0 0.00108045959085792 0 0 0 0 0.00115876483452608 0 0 0 0 0 0 0 0 0 0 0
"Efna1" 0 0.00112478329375643 0.00144504957589858 0.0015095279291241 0 0 0.00114909314810378 0.00111649793605401 0 0 0 0 0.00116501560782698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3f" 0 0 0.00111791159668837 0.00118473381219655 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0 0.00129525828828361 0.00136241977901401 0 0 0.00105852607093831 0.00105013078914748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0.00143074188544829 0.00165517880547517 0.00172438615322352 0 0 0.00141576775432903 0.00137612788392824 0 0 0.00127275023603779 0 0.00127898498401072 0 0.00126282497199686 0 0.00113540887855102 0.00108596591128406 0.00111551779827115 0 0.00106290315168148 0.00124437164709126 0 0 0 0.00110625333023813 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.00106488429002455 0.00152975499583158 0.00158408372530799 0.00187530116358333 0 0 0.00148326489364376 0.00160524095493544 0 0 0.00227822254511026 0 0.00144213193410018 0 0.0014557991705183 0.00109019690662193 0.00133959162828033 0.00119273253630364 0.00123512133345041 0 0.0011997696364407 0.00131103162098423 0.00120773772879392 0 0.0010747552944378 0.00117497150695883 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0 0.00111741936383508 0.00141891009476632 0.0023583641063619 0 0 0.00115787128547419 0.00116470592654962 0 0 0 0 0.00115612719647975 0 0.00105680613317923 0 0 0 0.00104860595772709 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0 0.00130804193786653 0.00171971853350963 0.00151787481172459 0 0 0.0013148531907902 0.00149465815199922 0 0 0.00123207445060229 0 0.00125201437082661 0 0.00126970680747263 0 0.00119500309381047 0.00115929385767465 0.0010984490764779 0 0.00108017610833316 0.00124491449700966 0.00108250653704043 0 0 0.00109682106156111 0 0 0 0 0 0 0 0 0 0 0.00107370080597722
"Plxnb2" 0 0 0.00121401005760754 0.0012145878433982 0 0 0 0.00107458397284476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0.00105436861818193 0.00173584731928376 0.00397971566562292 0.00419351935735484 0 0 0.00149809507474456 0.00161798752627548 0 0 0.00156042085065272 0 0.00153110703459295 0.00384315562232967 0.00134724812981761 0.00106508640355763 0.00136496490897051 0.00126895285760113 0.00130758285203048 0 0.0011476893123666 0.00136794546233614 0.0011483186033682 0 0.00115050278579812 0.00123530278212532 0.00109982803244807 0 0.00105652247941703 0 0 0 0 0 0 0.00226788633488266 0.00111597042922231
"Tgfb1" 0.00136584088336789 0.00176299322375367 0.0049155449618628 0.00548303347996596 0 0.00239610071735005 0.00189555020617561 0.00315856619923651 0.00259638499600507 0 0.00403017469022695 0.00116525920248271 0.00180035545017696 0.00392899524263237 0.00296597953804268 0.00131030416960445 0.00167447646451182 0.00153336342413857 0.00157339741274326 0 0.0045332986722952 0.00166090373356128 0.00141667766262817 0 0.00138720832574999 0.00159500839792795 0.0058713530651132 0.00244096580435543 0.00120379984809656 0.0011546787216777 0 0.0023373522653487 0.00460091968010032 0.00461832386426685 0.00452512600179892 0.00110178470921392 0.001313046198603
"Ptprc" 0 0.00166450719114496 0.00163595397663347 0.00171937967299817 0 0 0.0013986835794082 0.00153818652184744 0 0 0.00133963422988561 0 0.00142553787606054 0 0.00133314863635044 0.001051098658382 0.00121669909867632 0.00111249365138008 0.00113196582053294 0 0.00113871450929303 0.00122520738822653 0.00112985195248302 0 0.0012445917799136 0.00132385020330943 0 0 0 0 0 0.0022782943652454 0 0 0 0 0.00110879468142014
"Gpi1" 0 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aimp1" 0 0 0.00119945942285115 0.00138978309478463 0 0 0.00111924175182629 0.00112738374761748 0 0 0.00184033222145903 0 0.00112974921564656 0 0 0 0 0 0 0 0 0.00221087309602349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00130113046119239 0.00180991592613028 0.00193361403825029 0.00296467644517818 0 0 0.00173150113609308 0.00168226934658771 0.00114188847654893 0 0.00145038743054541 0.00106271103996772 0.001703242632478 0 0.00169455534887847 0.00121703993002482 0.00145970538630242 0.00139754844491823 0.00145540154789745 0 0.00148704754301083 0.00148986307397502 0.00123278618222357 0 0.00141787371696058 0.0015607816818557 0.00121811467121443 0 0.00117836989844683 0 0 0 0 0 0 0 0.0012793841595511
"Pgf" 0.0011951632580276 0.00178065892880976 0.00206311573471318 0.00218818771600824 0 0 0.00154917481853526 0.00188013051897822 0.00112244303901512 0 0.00179753890769374 0.00126471674064846 0.00160038242317859 0.0012695184622155 0.00158456810076445 0.00134512398909773 0.00140476456738035 0.00169384392973226 0.00131848282176706 0 0.00138323208470499 0.00158241931179821 0.00120836607605814 0 0.00126648251866272 0.00137792234125744 0.00113557633636616 0 0.00121461905952246 0.00114382165800508 0 0 0 0 0 0 0.00121452343647606
"Vcam1" 0 0 0 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema5a" 0 0 0.00123229623941838 0.00138821599248424 0 0 0 0.00107502364355481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0.00400475789821093 0.00168013374448286 0.00177374486570155 0 0 0.00147147323090061 0.00142764362254368 0 0 0.00117875673257323 0 0.00148103936851367 0 0.00136532258067635 0 0.00123968510073616 0.00117644706106746 0.0012980459797124 0 0.00104955035575396 0.00136481263892046 0 0 0.00105375678128383 0.00114688291389529 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0.00143151547473605 0.00243961924686273 0.00162696765585824 0 0 0.00117927515609857 0.00123747687965432 0 0 0.00121223776378296 0 0.00119508064183115 0 0.00109533849537324 0 0 0 0 0 0 0.00114470758921585 0 0 0 0 0 0 0 0.00530780340743266 0.00271637867100332 0 0 0 0 0 0
"Nectin1" 0 0.00122810378241218 0.00156986577337499 0.00150300544457211 0 0 0.00120013234042198 0.00122338698503827 0 0 0.00121411407376731 0 0.0010985251074817 0 0.0011018438391654 0 0.00118377479603172 0 0.00114331666493793 0 0 0.00114342818061623 0 0 0 0.00110523474411096 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00112038644403343 0.00172149290967417 0.00203720956877876 0.00209926887534938 0 0 0.00149109169595583 0.00164837402393786 0.00105377617959486 0 0.00150078933272534 0 0.00157370325653899 0.00114366129344655 0.00146436565661762 0.00114994905029895 0.00136957856631868 0.0014149408589975 0.00136471790140663 0 0.00130925407845439 0.00139666558128999 0.00116535071754077 0 0.00112720751241037 0.00129952860585796 0.00115034892481608 0 0.00113743629445182 0 0 0 0 0 0 0 0.00111603707042748
"Dusp18" 0 0.0017100271428841 0.0021341607950359 0.00206366380754605 0 0 0.00145763195560894 0.00159229363563867 0.00157112179899676 0 0.00157795755967461 0 0.00135759360487114 0 0.00130772291678558 0.00117987341067274 0.00131973444076525 0.00112032374911293 0.00114156522801888 0 0.00112083959891385 0.00121496089788365 0.00118927731982052 0 0.00111706919188068 0.00114812007316828 0.00126800625760793 0.00137556297092936 0 0 0 0 0 0 0 0 0
"Hbegf" 0 0.00418890746463193 0.00177694186991293 0.00189441420720381 0 0 0.00132573586962643 0.00136802792326024 0 0 0.00139941167804101 0 0.00133157129618624 0 0.00120974304173577 0.00111639282333904 0.00111160319934282 0.00123157553889115 0.00111313392523414 0 0.00116144189648196 0.00124097357459499 0 0 0.00105452295872099 0.00113111695695788 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0.00248380239986209 0.00158421183865339 0.00171852712084425 0 0 0.00132550126110563 0.0015205920151777 0 0 0.00140725078539295 0 0.00133827636679014 0 0.00118100036603681 0 0.00114725578863451 0.00108957201095851 0.00112646108171369 0 0.00111529853584931 0.00115837570865434 0 0 0.00105497864369203 0.00110440920299505 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00173035830256951 0.00512539730752171 0.00254898592522533 0.00297002690844441 0 0.00133133735129286 0.00242489808804238 0.00232338205558798 0.00135162933996022 0 0.00562016913687305 0.00134937039522869 0.00225278350968699 0.00143158844947672 0.00224754285905749 0.00177637757815007 0.00208214105952824 0.00211550342687762 0.00178120930363061 0.00106582584138718 0.0019654610599727 0.00508734033406866 0.00174174737190009 0.00524403507165371 0.00208323950552122 0.00199640735340816 0.00157444452961575 0.00134955281538341 0.00164321951592603 0.00154132055748498 0 0.001265829021311 0.00143523454306634 0 0.00114805740601357 0.00139520890716089 0.00161534775738233
"Lgals3" 0 0.00107684042868941 0.00134862195131715 0.00152125277648955 0 0 0.0011609513420231 0.00235597249778768 0 0 0 0 0.00118340757477034 0 0 0 0 0.00108404011885786 0 0.00392451796822546 0 0.00106442831093767 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00240318969403861 0.00153306670251271 0.00264269157748718 0.00201992273566579 0.00234148531507331 0.00217643341410883 0.0030021255700173 0.00164521067322292 0.0023594748343614 0.00231859823238851 0.002338318134906 0.0024203298334835 0.00151237439748309 0.00380124637861206 0.00136483375622213 0.00122503156799166 0.00135138172487628 0.00134260268084396 0.00128030598250634 0 0.00122923846880237 0.00139603133657515 0.00109187683850735 0 0.00127974685021522 0.00128197535357335 0.00104914166599352 0 0 0 0 0 0 0 0 0 0.00115793639763791
