"Cald1" "Cntrl" "Crybg3" "Akap13" "Cdkn1a" "Col4a4" "Pigr" "Rin2" "Supt16" "Actb" "Ahnak" "Jmjd1c" "Mcl1" "Myh9" "Sptbn1" "Areg" "Msn" "Rock2" "Zbtb16" "Col4a1" "Itgb1" "Utrn" "Clu" "Txnrd1" "Krt7" "Tjp1" "Fmr1"
"Plxnb2" 0 0 0 0 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lrpap1" 0 0 0 0 0.00157956256806241 0 0 0 0 0.00119368533438377 0.00121734734781219 0 0 0.00115876483452608 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0 0 0 0.00172438615322352 0 0 0 0 0.00126282497199686 0.00128970280557901 0 0.00119553385183569 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0 0 0 0.00119846050664446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il18" 0.0016491515948942 0 0 0.00180007594235492 0.00261924139629381 0 0.00201351341838364 0.00177464660415766 0 0.00200876295210093 0.00218278867454435 0.00152299361768077 0.00221063594764083 0.00204391554618003 0.0018439925425234 0 0.00154015234289571 0 0 0 0.00127017936683893 0.00123175765086814 0 0.00132452395721661 0.00118416824782252 0.00113434399351861 0
"Efnb2" 0 0 0 0 0.00119974845135982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0 0 0 0.00136241977901401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0 0 0 0.0013082501693038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0.00115324549603267 0 0 0 0.00285191567093599 0 0 0 0 0.001433808953727 0.00155366749472203 0 0.00134580829674567 0.00132575798109207 0.00116252903624904 0 0 0 0 0 0 0 0 0 0 0 0.00209553433055282
"Hmgb1" 0.00176744537593925 0 0 0.00142669250564591 0.00297002690844441 0 0.00142100567478854 0.0015262282857454 0.00131611679821153 0.00224754285905749 0.00229718206526458 0.00156350326044255 0.0018819694242949 0.00199640735340816 0.00188412029706908 0 0.00125881169821278 0.00142070047818786 0.00166499007675698 0.0013546673719414 0.00166158195638594 0.00126092819481542 0.00133133735129286 0.00155260947267977 0.00145139442934736 0.00476117588263312 0
"Col1a1" 0 0 0 0 0.00205156612943967 0 0 0 0 0.00150260770807709 0.00162707381338442 0.00119162844092763 0.0013171274871054 0.00127585516052212 0.00127000628794675 0 0 0 0 0 0.00114204937378028 0 0 0.00114494536717995 0.00133047361597967 0 0
"Itgb2" 0 0 0 0 0.00167196176542722 0 0 0 0 0 0.00117271468946991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mapt" 0 0 0 0 0.0018573933398029 0 0 0 0 0.00123212111036657 0.00132562713576934 0 0.00113336089867117 0 0 0 0 0 0 0 0 0 0 0.00421868748310091 0 0 0
"Pik3cb" 0 0 0 0 0.00239390556252766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Psap" 0 0 0 0 0.00206312454713585 0 0 0 0.00113653984983761 0.00160764635346211 0.00159016852764385 0.00143913162632103 0.00137659307451555 0.00122023295145894 0.00145690352828303 0 0 0.00135388678850622 0 0 0 0.00173684292517309 0 0.00115117781098786 0 0 0
"Calm2" 0 0 0 0 0.00166068597522809 0 0 0 0 0.00119767994161664 0.00116560353876158 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0 0 0 0 0.00188044658787928 0 0 0 0 0.00121796562353523 0.00136738750926704 0 0.00123272139760409 0.00122331004441365 0.0011801705536487 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0 0 0 0 0.00201992273566579 0 0 0 0 0.00136483375622213 0.00147252459272457 0 0.00249151263747815 0.00128197535357335 0.00120401629222402 0 0.00222737839392906 0 0 0 0 0 0.00217643341410883 0 0 0 0
"Calm1" 0 0 0 0 0.00160268744489109 0 0 0 0 0.0012041471253463 0.00117043152499261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00133912961273131 0 0 0 0.00296467644517818 0 0 0 0 0.00169455534887847 0.00164073810206497 0.00120287629735766 0.00166494980013655 0.0015607816818557 0.00129558864258319 0 0 0 0 0 0.0011635324479814 0 0 0 0 0 0
"Itgb7" 0 0 0 0 0.00149768513569796 0 0 0 0 0 0.00112857496804921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3b" 0 0 0 0 0.00135925806320822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema5a" 0 0 0 0 0.00138821599248424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ncam1" 0 0 0 0 0.00170022969043603 0 0 0 0 0.001215445024343 0.00133925191388264 0 0.00112577916169289 0.00116652291974866 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0 0 0 0 0.0023583641063619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0 0 0 0.00377401514156348 0 0 0 0 0.00129830543141427 0.00133274160603493 0 0 0.00119268319896436 0.00120508356130057 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0 0 0 0.00166340261824615 0 0 0 0 0.00115234982413562 0.00129404308203525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0 0 0 0.00177374486570155 0 0 0 0 0.00136532258067635 0.00131705432545645 0 0.0042324033320783 0.00114688291389529 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0 0 0 0 0.00199003703539692 0 0 0 0 0.00134835715116902 0.00139070664011293 0 0.00254599209435178 0.00121069804375481 0 0.00252707471115603 0 0 0 0.00466413216211115 0.00238400100279629 0 0 0 0 0 0
"Sfrp2" 0.00118137100509709 0 0 0.00117225144883832 0.00217726257553603 0 0 0 0 0.00145823140480373 0.0014396719491142 0.0016738464692221 0.00122906091173353 0.00136871529297371 0.00136106867131428 0.00131029808129968 0 0 0.00167170712658407 0 0 0.0011764134004956 0 0 0 0 0
"Bmp4" 0.00137669194123599 0 0 0.00112904084041294 0.00314605775773029 0 0 0.00122476944972365 0 0.00167989700560281 0.00173315920849301 0.00134720906265225 0.00151668336528451 0.00152267215616941 0.00156984386433555 0 0 0.00119200640689137 0.00132370403128115 0 0.00118552071791863 0.00119030757700064 0 0.00134348862375461 0.00115553173697959 0 0
"Tnc" 0 0 0 0 0.00164164008714949 0 0 0 0 0.00113302069762406 0.00124633192093488 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0 0 0 0 0.00175765021772766 0 0 0.0011399144583671 0 0.00138739237908813 0.00135335614719117 0 0.00124175228768125 0.00119533008351952 0.00117299726460922 0 0.00220931165320014 0.00237503331232855 0 0 0 0 0 0 0 0 0
"Spp1" 0 0 0 0 0.00187530116358333 0 0 0 0 0.0014557991705183 0.00142865745316068 0 0.00124234795235528 0.00117497150695883 0.00126446676827515 0.00478283586807755 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0 0 0 0 0.00186433102548193 0 0 0 0 0.00122785065043676 0.00131457596162555 0 0.0013020756742901 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0.00130886393347766 0 0 0.00128826285425193 0.00225560517487711 0 0 0.0011484785176979 0 0.00171215492557961 0.00153851464613024 0.00142527288101793 0.00150092371961264 0.00145915110208982 0.00154750064120954 0 0 0 0 0 0 0.00115804568721952 0 0 0 0 0
