"Actb" "Dusp6" "Epha2" "Fam129b" "Ier2" "Ier3" "Junb" "Lmna" "Pfn1" "Serpine1" "Socs3" "Synpo" "Tubb5" "Vwf" "Cd34" "Cd38" "Ier5" "Pdgfb" "Snn" "Anxa2" "Flot1" "Gadd45g" "Gnas" "Ntn1" "Tgfbr2" "Vim" "Klf10" "Sox17" "Tagln2" "Aldoa" "Ranbp1" "Tnfrsf1a" "Prdx2" "Sema7a" "Pim3" "Ldha" "Gabarap" "Sparc" "Ntrk2" "Actn1" "Emp1" "Flnb" "Ddah1" "Col4a2" "Ace" "Ackr3" "Adamts1" "Clu" "Adamts9" "Cxcl12" "Sbno2" "Pkm" "Rps2" "Pcbp1"
"Tgfb3" 0.00171215492557961 0.00134644518803962 0.00162576060822309 0.0012831778123221 0.00147015141191261 0.00164521209644254 0.00172515349341698 0.00151856378606806 0.0013860823839256 0.00474246844207253 0.00123735984768195 0.00143629456769098 0.00136146995552084 0 0 0 0.00135347340220635 0.0012137534004669 0 0.00134456078833214 0.00150539070326475 0.00128361394578131 0.00117878296305067 0.00130028098988062 0.00163194190017641 0.00132242544024724 0.00137712066707598 0 0.00128860596609987 0.00103039977455121 0.00113954184911647 0.00122059698008197 0.00117297029634696 0.00105717180303085 0 0.00109136303037504 0 0 0 0 0.0010643401103417 0.00118804840816527 0.00114368113926388 0 0 0 0 0 0 0 0 0.00117160013313915 0 0.00110408036214975
"Ccl2" 0.00146164934114864 0.00111609831230055 0.00160590853641893 0.00141505718844113 0.00135479119471811 0.0014876095392738 0.00167765794304829 0.00167866867858145 0.00145506288990613 0.00186064503874853 0.00153366509518096 0.00139659578642868 0.00145233032526761 0 0 0 0.00128350050471931 0.0011339016711684 0 0.00114677000928175 0.00125978594666232 0.00121392499436488 0.00102254089155914 0 0.00139312227297527 0.00133085116171155 0.00106593310336531 0 0.00124096682339507 0.00131116650785293 0.00135109893162001 0.00142463170268674 0.00121460072813191 0 0 0.0011007877021459 0.00106618671951953 0 0 0 0.00111351807437417 0 0.00124957497270052 0.00107131281564794 0 0 0 0 0 0 0.00105748822737217 0.00113831257155694 0 0.00110416829086172
"Manf" 0 0 0.00129178461399483 0.00116964760390352 0.00110621471276461 0.00108260972569971 0.00126600857464039 0.00138374486081799 0.00122199253411193 0.00121877003942938 0 0 0.0011251219272539 0 0 0 0.00102555795182964 0.00101702299255508 0 0 0 0 0.00108073157101956 0 0 0 0.00103394828274971 0 0.00104258195196587 0 0.00122309127939807 0 0.00102225329030687 0 0 0.00110041747062286 0.00107480913353422 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00107664980865046 0
"Efna1" 0.00102265707669694 0 0.00114909314810378 0 0 0.00108892135936537 0.00111630750156315 0.00116501560782698 0 0.00105710259027395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0.00126970680747263 0 0.0013148531907902 0.00112010282211907 0.00120224437976645 0.00140569912016991 0.00138844036406894 0.00125201437082661 0.00111253696041319 0.00122533242559474 0.00106147883327957 0.0011283799829617 0.00111232546847081 0 0 0 0 0.00107694256988255 0 0 0.00119500309381047 0 0 0 0.00108470610483264 0.00102466550237222 0 0 0 0 0.00120537374826746 0 0.00104981855232648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Osm" 0.00184088558226187 0.00146994936858356 0.00211507010461218 0.00154010059055947 0.00181084843651532 0.00201189048988944 0.00210570755294114 0.00205116771657208 0.00134769918760264 0.00188403613626777 0.0024828024604493 0.00188455021034445 0.00173566486730005 0.00105139428005252 0 0.00115707962576736 0.00150935377422343 0.00145581623600077 0 0.00154682205918703 0.00174368396642659 0.00166412188727665 0.00130816140738821 0.00103963589133669 0.00169914095772447 0.00275861619400152 0.0012710135789951 0.00113172817634584 0.0014918933348859 0.00137435577545459 0.00163763035302099 0.00165616205731821 0.00135068082846901 0.0011278786301756 0.00124473775822451 0.00125518200606826 0.00138335368739336 0 0 0.00128800336702379 0.00133310862764348 0.00144165065519177 0.00126799186480437 0 0.00102162234090824 0 0 0.00132769702013783 0.0028912166649987 0.00260714131790059 0.00188687406724925 0.0013855936559485 0.00117426023563326 0.00150479094683275
"Vegfa" 0.00136483375622213 0.00112697675508823 0.0030021255700173 0.00124535983460718 0.00133621700097534 0.00160320559239241 0.00263407615762913 0.00151237439748309 0.00129501658638254 0.00276794155300118 0.00135991631917548 0.00143050603226441 0.0012936202448339 0.00251029795733475 0.00258382754283819 0 0.00113306838607829 0.00262849740063192 0 0.00240318969403861 0.00135138172487628 0.0010924350923482 0.00101704287560674 0 0.00122117606220801 0.0011883629896787 0.00108588422075647 0 0.00113302506874327 0.00122503156799166 0.00120097359757553 0.0012150415176645 0.00112882939796378 0 0.00107551613493304 0.0024203298334835 0.0010352527625622 0.00237301976242974 0 0 0.00102260764670138 0 0 0 0.00606606792206547 0.00223136204419753 0.00212347510472588 0.00217643341410883 0 0 0.00104512825662965 0.00104196716203799 0 0.00104097823216364
"Tnfsf13b" 0.00118100036603681 0 0.00132550126110563 0.00109948046523274 0.0011698946452227 0.00151866047246203 0.00138329551568614 0.00133827636679014 0.00117966156174943 0.00136500910715811 0.00117949642551493 0.00128232290913111 0.00116128244547727 0 0 0 0.00109793122244044 0.00101692739437738 0 0 0.00114725578863451 0 0 0 0.00104031419974152 0.00102640481206579 0 0 0 0 0.00116330358440472 0.00105621639748307 0.0010250198445643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nid1" 0.00123564708620085 0 0.00131322087309647 0.00111484280553914 0.00125999400513705 0.00114554780772238 0.00151059097449284 0.00124402007250679 0.00112635505900483 0.00132753110917465 0.00104340070676619 0.00105623430048273 0.00128907977510797 0 0 0 0.0011228327673881 0.00106615058268961 0 0 0 0.00107729017775421 0.00108652677756101 0 0 0.00103202861531701 0.00101263637579519 0 0.00109404350783464 0 0.00121687407163679 0 0.00109324296409946 0 0 0 0.00109505768479997 0 0 0 0 0 0 0.00124289887545935 0 0 0 0 0 0 0 0 0.00106571463257479 0
"Calm1" 0.0012041471253463 0 0.00142079997050143 0.00103010268337135 0.00112412191389419 0.0013051154779708 0.00137225747900384 0.00121258716920942 0.00104838710845031 0.0011979820152568 0.00102751974966269 0.00106515692920826 0.00103779527525118 0 0 0 0.00102705329917812 0 0 0 0.00104770026514911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
