"Ddit4" "Epha2" "Fam129b" "Fkbp5" "Ier2" "Ier3" "Ldha" "Lmna" "Rps2" "Serpine1" "Tubb5" "Aldoa" "Gnl3" "Klf10" "Bcl2l1" "Ablim1" "Ctnnb1" "Fas" "Fli1" "Flot1" "Nos3" "Ntn1" "Socs3" "Synpo" "Tagln2" "Ier5" "Vasp" "Cd34" "Cd38" "Pdgfb" "Snn" "Timp3" "Vegfc" "Tgfbr2" "Eef1a1" "Pkm" "Gadd45g" "Dusp6" "Tnfrsf1a" "Jag2" "Mafk" "Sema7a" "Pcbp1" "Anxa2" "Cxcl12" "Hif1a" "Mal" "Ntrk2" "Plaur" "Sox17" "Upp1" "Vwf" "Sparc" "Sparcl1" "Adam15" "Adamts1" "Emp1" "Col4a1"
"Plxnb2" 0.000975973995692092 0.00097441464812252 0 0 0 0.000954585277935469 0 0.000934227750594175 0 0.000949485734982681 0 0 0 0 0.000960027488408449 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hsp90b1" 0.00136208751589568 0.00135711676585622 0.00115954662698992 0.00103880123903485 0.00113692050648569 0.00130242720611765 0.000955890197114811 0.0014027538453947 0 0.00130911013160399 0.00114342587055323 0.000962421586175072 0 0 0.00123738290080051 0.000938211783357162 0.00101264340868138 0.000939606783456098 0.00107760581110682 0.00103226346806956 0.0010943903618692 0 0.00103035574991068 0.00102335367275501 0.00100263571152322 0.00115432461865545 0.00101228129644453 0 0 0.000934823508606269 0 0 0 0.00105006816746014 0.000973947235240797 0 0.000942347136439981 0.000952553891440077 0.000992660571054408 0 0.000930143890677051 0 0.00094350925510326 0.00101860887092496 0 0.000934134359826411 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0.0012890493648742 0.00127118773598424 0.00112493920512581 0.00101583288835441 0.0010813791215981 0.00128710215959032 0 0.00125403050002514 0 0.00129361657925824 0.00104286075015005 0.000956810510215479 0 0.000925805704443288 0.00137713515200171 0.000906543016606501 0.00108992945949677 0.000989583014928849 0.0010536168172409 0.00103800763564107 0.00118937329703565 0 0.00112798956222543 0.00121011541602748 0.000970900777017894 0.00105046403627376 0.00103944425349614 0 0 0.00102706009864805 0 0 0 0.00104359627468903 0 0 0.00100430731014693 0.000982909355110675 0.00101876574012982 0 0 0 0 0.000927434730309721 0 0.000907530818519893 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.0015963198371996 0.00154025643471059 0.0011761597474745 0.00120418944173977 0.00133386784184945 0.00152173838182139 0.0010717228319416 0.00156171840435493 0.000978394466227712 0.0015821303266869 0.00135900416273018 0.0012275773965861 0 0.00105680889019465 0.00159802953429607 0.00107197907052121 0.00237662629194184 0.00235802665943484 0.00115635981963199 0.00130354576450227 0.00276596438538609 0.000954951776027629 0.00250252372810684 0.00130070209824309 0.00110408446567662 0.00112380750822326 0.00121137899972975 0 0 0.0012239308557573 0 0.000970883803671219 0 0.0011849020272467 0.0011012674913601 0.000957726421270054 0.00115056805644858 0.00116275496431329 0.00112516707921352 0 0.000978446913014629 0 0.00105381272702055 0.00104419906993295 0 0.00117093206118782 0 0.002114527158599 0.00227918033860962 0 0 0 0 0 0.000922032181400619 0 0.000975109451865516 0.00466413216211115
"Vegfd" 0.00138481859500287 0.0013133845591336 0.00102986078105812 0.00107361322638668 0.001194075135584 0.00158322425384147 0.000995386771002785 0.0013085977446279 0 0.00150030888017588 0.00103689483084106 0.00110039059966099 0 0 0.00139800473406082 0.000951890555706213 0.00107668184623521 0.000918357115306453 0.00091326050190531 0.00114761218649177 0.0011504533170673 0 0.0012461150561939 0.00111905846123063 0.00101548255936024 0 0.000978434388510791 0 0 0.00133314020793532 0 0 0 0.00107735135971933 0 0 0.000908591191129813 0.00102418823131028 0.000990308032944089 0 0.000976745444657291 0 0.000972062413742657 0.00102925656855587 0 0.00111276762829078 0 0 0 0 0 0 0 0 0 0 0.000930501293492915 0
"Efnb2" 0.000942353228787594 0.000975894122188843 0 0 0 0.000957075983192659 0 0.000937242147365439 0 0.00090453479081384 0 0 0 0 0.000941742996016853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clstn1" 0.00124395743887458 0.00141183161827323 0.00136616058952811 0.00107081734820287 0.00130050040834918 0.00117507818316726 0.0010049509503756 0.0014228062489851 0.000921226583459839 0.00122724039681923 0.00122918313304998 0.00135801330460303 0 0.000960412118522062 0.00126158582676841 0.00103530781628914 0.00105113074850829 0 0.000921719017049367 0.00092316342564241 0.00145188744285425 0 0.000986183620043355 0.0010900874965976 0.00103090400099223 0.000987523123264554 0.00104114906020053 0 0 0.00112179189431427 0 0 0 0.000986390319506933 0.000970845845243507 0 0 0.000984321884850401 0.00103163126678737 0 0.0010772320981801 0 0.00103917281656775 0.000934875692806271 0 0.000924816942942694 0 0 0 0 0 0 0 0 0 0 0 0.000903995315625489
"C3" 0.0011054895450197 0.00102640505689363 0 0 0 0.00110182053095711 0 0.00105378824076884 0 0.00111300782215802 0 0 0 0 0.00108854353432171 0 0 0 0 0 0.000932600111695145 0 0 0.000914584924465373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0.00135234171579583 0.0012674145821684 0.000996888030073611 0.00100818756366548 0.00119811565814098 0.00133311729502355 0 0.0011782374016629 0 0.00117619661952761 0.00110893909376765 0.000953121037499374 0 0 0.00114399727592605 0 0.00100817184762769 0 0.000942493761402226 0.00122282933119129 0.00126651058233633 0 0.00105229548019358 0.000937452959544619 0.000903916508357487 0.000990516144396443 0.000999986162413329 0 0 0.000915611080004505 0 0 0 0.000903197658058106 0 0.000939222398681405 0.000981979872837374 0.00100778688716927 0.000908310401375501 0.000915375622218545 0 0 0 0.000906475047891872 0 0 0 0 0 0 0 0 0 0 0 0 0.000938787457833429 0
"Fat1" 0.00115003709082034 0.00124298231956044 0.000996545609970272 0.00103583825618783 0.00105661133268095 0.00115866376838423 0 0.00123195237070109 0 0.00108621179795433 0.000982379947621666 0 0 0.000936392260682243 0.00105999178576918 0 0.00100882302419451 0 0.00111163579508593 0.000910849698678955 0.00103257190839016 0.000923084310046565 0.000940483791439137 0 0 0.00106691451607504 0.000994689334727791 0 0 0.000909671469474426 0 0 0 0.00107167405577136 0 0 0.00102443751991232 0 0 0 0 0 0 0.000911250746852906 0 0 0 0 0 0.00112981208879579 0 0 0 0 0 0 0 0
