"Anxa2" "Cxcl12" "Ddit4" "Hif1a" "Ier3" "Mal" "Nos3" "Ntrk2" "Serpine1" "Upp1" "Vwf" "Ahnak" "Xbp1" "Abcg2" "Adam15" "Adamts1" "Gbp2" "Ifngr1" "Fkbp5" "Ldha" "Rps2" "Jcad" "Sema7a" "Tmem252" "Pmaip1" "Synpo" "Col4a1" "Fas" "Cavin3" "Dusp6" "Susd6" "Ackr3" "Cd34" "Sparc" "Sparcl1" "Actn1" "Myrip" "Aldoa" "Lrrfip1" "Pim3" "Emp1" "Flnb" "Gadd45g" "Fam107a" "Eef1a1" "Pkm" "Lpl" "Picalm"
"Adam17" 0.00114168079867922 0 0.00176024111956494 0.00119943326858578 0.00172829346361237 0 0.00143508973467786 0 0.00158197397882198 0 0 0.0014417568634063 0 0 0 0 0 0 0.0012549805402332 0 0 0 0 0 0.00126389593040383 0.00139699201939423 0 0.00255338428853935 0 0.00138575848216572 0 0 0.0025782194792716 0 0 0 0 0.00114981150815589 0.00113089532733383 0 0 0 0.00109938512602467 0 0.0011028960080495 0.00109809810017397 0.00231280472344531 0
"Wnt4" 0.0013155093364863 0 0.00188546961557161 0.00113164822840234 0.00174788098222967 0 0.0011621824486376 0 0.0016414663877789 0 0 0.00157708310694703 0 0 0 0 0 0 0.00125179426759569 0 0 0 0 0 0.00116601740652392 0.00123238668692183 0 0 0 0.00123728276887381 0 0 0 0 0 0 0 0 0 0.00144257471481377 0 0 0.00113623881393065 0 0.00115701731960116 0.00114967055433244 0 0
"Clec11a" 0 0 0.00123722695327729 0 0.00147781930784152 0 0.0013190600622457 0 0.00125820312686682 0 0 0.00131225206737284 0 0 0 0 0 0 0.00126815608354181 0 0 0 0 0 0.00109135763916104 0.00122429386716024 0 0 0 0 0 0 0 0 0 0 0 0.00108830736977285 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0.00127674229655615 0 0.00164015595602889 0.00134673366897332 0.00187209972299205 0 0.00178374839478185 0 0.00177539607543044 0 0 0.00173147829178654 0 0 0 0 0 0 0.00134375682076803 0 0 0 0 0 0.00142784640837567 0.00140160619952122 0 0.0014132706387981 0 0.00129842357671016 0 0 0 0 0 0 0 0.00149119568498676 0.0012286680174492 0.00118142662131563 0.0013860572863501 0.00124684621538776 0.00139196810123479 0 0.0011065434397116 0 0.00142767211281848 0.00150510112994123
"Vegfd" 0 0 0.00138481859500287 0.00111276762829078 0.00158322425384147 0 0.0011504533170673 0 0.00150030888017588 0 0 0.00127203413370182 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111905846123063 0 0 0 0 0 0 0 0 0 0 0 0.00110039059966099 0 0 0 0 0 0 0 0 0 0
"Angpt1" 0.001220701611358 0 0.00174620793419413 0.00141162496314313 0.00169999862291788 0 0.00291462025550825 0 0.0017006183932497 0 0 0.00149871930620182 0 0 0 0 0 0 0.00143291313638432 0 0 0 0 0 0.00140996260439747 0.00138240424500308 0 0.00538668178970026 0 0.00140525959327346 0 0 0 0 0 0 0 0.00119929135756375 0.00127429220128956 0.00107925688093754 0.00118573005620903 0.00114013633586935 0.00135163416517829 0 0.00117625141379885 0 0.00122154414233325 0.00130574196232707
"Icam1" 0 0 0.001325194891996 0 0.00141859594051234 0 0 0 0.00122320973286733 0 0 0.00122120465653586 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119212559369386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0 0.00138164471193754 0 0.00151866047246203 0 0.00119086461978766 0 0.00136500910715811 0 0 0.00131670772846163 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128232290913111 0 0.00227973621320945 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Npnt" 0 0.00110286952386012 0.0012023621690513 0 0.00185399342469904 0 0 0 0 0 0 0.00110593480893551 0 0 0 0 0 0 0 0.00145827001953106 0 0 0.00111046965798049 0 0 0 0.00114040049809701 0 0 0 0 0 0.00120493828922997 0 0 0 0 0 0 0 0 0 0 0.00171040734233032 0 0 0 0
"Robo2" 0 0 0.00131021950864432 0.00109471286560268 0.00121521004502873 0 0.00109842924000615 0 0.00134977739784957 0 0 0.00130495215643151 0 0 0 0 0 0 0.0011646594658469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114840655871845 0 0 0 0 0 0 0 0 0 0
