"Aldoa" "Bcl2l1" "Flot1" "Slc3a2" "Ntrk2" "Ace" "Anxa2" "Ldha" "Vwf" "Dusp6" "Ier5" "Klf10" "Emp1" "Ifitm3" "Col4a2"
"F11r" 0 0.00117482093295017 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0 0.00114399727592605 0.00122282933119129 0 0 0 0 0 0 0 0 0 0 0 0
"Esam" 0 0.00128925227557753 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nid1" 0 0.001081040135021 0 0.00119439889096125 0 0 0 0 0 0 0.0011228327673881 0 0 0 0.00124289887545935
"Dll4" 0.00139071133775004 0.00187411569373826 0.00151874966681638 0.00162131069386104 0 0.00105751692877931 0.00137800726843753 0.00125021253953696 0 0.00130931478724863 0.00165200837089409 0.00160678197827474 0.00112845541413895 0.00151977460008216 0
"Col4a1" 0 0.00107054874534698 0.00103213978218691 0 0 0 0.00108578841577469 0 0 0 0 0 0 0 0
"Icam1" 0 0.00138297686639224 0.00114480765485801 0 0 0 0 0 0 0 0.00109600325737871 0 0 0 0
"Clstn1" 0.00135801330460303 0.00126158582676841 0 0.00116212231884447 0 0 0 0 0 0 0 0 0 0.00110198681566124 0
"Dusp18" 0.00117987341067274 0.0017100271428841 0.00131973444076525 0.00118927731982052 0 0 0.00103512003800386 0 0 0.00108686251198182 0.00126666702298614 0 0 0 0
"Pgf" 0.00134512398909773 0.00178065892880976 0.00140476456738035 0.00120836607605814 0 0 0.0011951632580276 0.00126471674064846 0 0.00130474945614967 0.00126269796731184 0.00119589848368426 0 0 0
"Wnt4" 0 0.00160052887087485 0.00142311560227045 0.00138282923217419 0 0 0.0013155093364863 0 0 0.00123728276887381 0.0014130623664571 0.00103530770667484 0 0 0
"Rspo1" 0 0.00104508595543215 0.00112506213479519 0 0 0 0 0 0 0.00107376588157565 0 0 0 0 0
"Celsr1" 0.00107587971331663 0.0010781410133619 0.00123074854504376 0 0 0 0 0 0 0 0 0 0 0 0
"Robo2" 0.00114840655871845 0.00120584841918164 0 0.00110131892868018 0 0 0 0.00106867581964187 0 0 0.00106801211317599 0 0 0 0
"Apoe" 0 0.00119964428691536 0.00104499134183857 0 0 0 0 0 0.00505118516854308 0 0 0 0 0 0
"Clec11a" 0.00108830736977285 0.00132875348082368 0.00110584644851813 0.00108680472862628 0 0 0 0.00107805476991397 0 0 0.00118147037383315 0.00106309782419397 0 0 0
"Ptprf" 0 0.00130804193786653 0.00119500309381047 0.00108250653704043 0 0 0 0 0 0 0 0 0 0 0
"Agrn" 0 0.00109670215087906 0.00108997251800811 0 0 0 0 0 0 0 0 0 0.00119442124099559 0.00109976302704622 0
"Hspg2" 0 0.0011446858217269 0.00109577682059016 0 0 0 0 0 0 0.0011053770338204 0 0 0 0 0
"Manf" 0 0.00102970521359546 0 0.00103141064457297 0 0 0 0.00110041747062286 0 0 0 0.00103394828274971 0 0 0
"Ptdss1" 0.00179587281462346 0.00143830120105134 0.00117695111341336 0.00175226107190022 0 0.00103767873202754 0.00129373467618256 0.0015100819329221 0 0.00130251651370435 0.00160610008789903 0.00174397337902247 0.00111789230232733 0.00136851770509298 0.00145552588575379
"Tnfsf13b" 0 0.00248380239986209 0.00114725578863451 0 0 0 0 0 0 0 0.00109793122244044 0 0 0 0
"Ghrl" 0 0.00402707256068496 0.00117324254094021 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0.00400475789821093 0.00123968510073616 0 0 0 0.00103880819385333 0 0 0.00116527818703566 0.00114880748160296 0 0 0 0
"Fgf2" 0.00123526067489422 0.00268257746042941 0.00140039492187465 0.00118022834151838 0.00439570412645583 0 0.00238775461227508 0.00110235189829532 0.00254171414286582 0.00132063105351558 0.00134645097729705 0.00108051758178908 0.00105707560603152 0 0
"Vegfa" 0.00122503156799166 0.00153306670251271 0.00135138172487628 0.00109187683850735 0 0.00606606792206547 0.00240318969403861 0.0024203298334835 0.00251029795733475 0.00112697675508823 0.00113306838607829 0.00108588422075647 0 0 0
"Bdnf" 0.00115469653591547 0.00158194035862882 0.0014414076832837 0.00117301261167958 0.00598031173618679 0 0.00117531036815031 0 0 0.00118318051693701 0.00123473730448715 0.00108601043254777 0.00108305474756924 0 0
"Lgals3" 0 0.00107684042868941 0 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0
