"Cald1" "Crybg3" "Sparcl1" "Ablim1" "Akap13" "Nipbl" "Supt16" "Set" "Smc4" "Ahnak" "Ncl" "Dst" "Erc1" "Tpm4" "Tmem252" "Myrip" "Fmr1" "Myh9" "Ntrk2" "Jmjd1c" "Rflnb" "Col4a1" "Gadd45g" "Col4a2" "Utp3"
"Grem1" 0 0 0 0 0 0 0 0 0 0.00121330088862673 0.00102929492550664 0 0 0 0 0 0 0.00115414041247358 0 0 0 0 0.00108497083502441 0 0
"Jam2" 0.00107972823408533 0 0 0.00122424538681407 0.00104612394316853 0 0 0.00118209328971831 0 0.00145047309325571 0.00112124999493462 0.00110334461456779 0 0.0014700464561192 0 0 0 0.00141365980870676 0 0.00119015948015317 0 0.00103067561559442 0.00148869560320816 0.00107089726338348 0
"H2.T23" 0 0 0 0 0 0 0 0 0 0.0010312872552721 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aimp1" 0 0 0 0 0 0 0 0 0 0.00106132617919555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hdgf" 0 0 0 0 0 0 0 0 0 0.00119710678947273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll1" 0.001131471340349 0 0 0.00114322527615512 0 0 0 0.00113174384635915 0 0.00155051993693816 0.00119455472405579 0.00146555459080157 0 0.00108163964820313 0 0 0 0.00148122290325066 0 0.00127372628398034 0 0 0.0015643619109394 0.00103264354280748 0
"Nid1" 0 0 0 0 0 0 0 0 0 0.00117729944235634 0 0 0 0 0 0 0 0.00106012399382008 0 0 0 0 0.00107729017775421 0.00124289887545935 0
"Sema3b" 0 0 0 0 0 0 0 0 0 0.00112111148157405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hsp90b1" 0 0 0 0 0 0 0 0 0 0.00132738074208751 0 0 0 0 0 0 0 0.00111637484351452 0 0 0 0 0 0 0
"Rps19" 0 0 0 0 0 0 0 0 0 0.0010961330719689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ntn1" 0 0 0 0 0 0 0 0 0 0.00102995310966236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flrt2" 0 0 0 0 0 0 0 0 0 0.00105693939943453 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.00106976559704198 0 0 0.00107197907052121 0 0 0 0 0 0.00139070664011293 0 0.00102013761137649 0 0.00119258699237414 0 0 0 0.00121069804375481 0.002114527158599 0.0010874008251715 0 0.00466413216211115 0.00115056805644858 0 0
"Adam15" 0 0 0 0 0 0 0 0 0 0.00111633898910217 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3c" 0 0 0 0 0 0 0 0 0 0.00117972185841072 0 0 0 0 0 0 0 0.00110427451756184 0 0 0 0 0 0 0
"Bmp5" 0.0017167631254079 0 0 0.00132857093387992 0.00138271219296847 0.00104467742966943 0.00129712228281625 0 0 0.00180441129497414 0 0.00172688382539735 0 0.00153337825011172 0 0 0 0.00158714214340449 0 0.00176317688589287 0.0022264814096814 0.00136662232336151 0.00158710233152191 0 0
"Bdnf" 0.00115324549603267 0 0 0.00121968313745791 0.00106451591250876 0 0 0 0 0.00155366749472203 0 0.00105532813548084 0 0.00114250973154286 0 0 0.00209553433055282 0.00132575798109207 0.00598031173618679 0.00105752056192224 0 0 0.00114669727855052 0 0
"Spp1" 0.00105167293366704 0 0 0 0 0 0 0 0 0.00142865745316068 0 0 0 0.00109622640384678 0 0.00482048737084215 0 0.00117497150695883 0 0 0 0 0.00106143540334703 0 0
"Robo2" 0 0 0 0 0 0 0 0 0 0.00130495215643151 0.00104150858460279 0 0 0 0 0 0 0.00106896348910681 0 0 0 0 0 0 0
"Clstn1" 0.001202274021017 0 0 0.00103530781628914 0 0 0 0 0 0.00139604423568996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"App" 0 0 0 0 0.00431060369249178 0 0 0 0 0.00120946198192194 0 0 0 0 0.00742615135688653 0 0 0.00103589760874825 0 0 0 0 0 0 0
"Thbs2" 0 0 0 0 0 0 0 0 0 0.00143000647458322 0 0 0.00112831680922396 0.00134338625699324 0 0 0 0 0 0 0 0 0 0 0
"Dkk2" 0.00131163204602869 0 0.00122167057520107 0.00127568692054312 0 0 0 0.00128212734869261 0 0.00110992110172604 0.00105272843381074 0.00205695503632193 0.00102902994490606 0.00166708488655928 0 0 0 0.0017486866831022 0.00109897171057802 0.00131008840821477 0 0 0.0017198368938994 0 0
"Manf" 0 0 0 0 0 0 0 0 0 0.00119490125338881 0.00114228969622703 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb2" 0.00120796749631307 0 0 0.00112025646456452 0 0 0 0.00596028892101987 0.0057644051174742 0.00144198444638825 0.00106179207884848 0.00120324724768236 0 0.00103585874212728 0 0 0 0.00136150763331234 0 0.00120605688008867 0 0 0.00149122341061702 0 0
"Npnt" 0 0.00181797444487836 0 0.00158557256066802 0.00152868802376784 0.00174458249711509 0.00177612610518101 0 0 0.00110593480893551 0 0 0.00103751288968355 0.00148486188516819 0 0 0 0.00108140375863495 0 0 0 0.00114040049809701 0 0 0.00116723322058947
"Igf1" 0.00836395116618345 0.00783493150899521 0.00618964943592142 0.00115024799280441 0.00101579196405565 0 0.004306367821797 0 0 0.00151574007721881 0.00106934741255243 0.0011396252888565 0 0.00115364028199143 0 0 0 0.00133406752726843 0.00224134022859501 0.00113993750814083 0 0 0.00124112894160645 0 0
