"Ccnd1" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fbn1" "Fn1" "Igf1" "Lpl" "Mmp2" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Thbs1" "Thbs2" "Timp1" "Actb" "Id3" "Nrcam" "Pfn1" "Runx1" "Tnc" "Tubb5" "Sparc" "Spp1" "Lama5" "Fst" "Isyna1" "Inhba" "Mmp14" "Tm4sf1" "Arpc2" "Sfrp1" "Tnfrsf12a" "Crlf1" "Calm1"
"Sfrp2" 0.00208891783386218 0 0 0 0 0 0 0 0.00148353628489058 0.00137537577703719 0 0.00125033476385552 0 0 0.00163573133508852 0 0 0 0 0.00145823140480373 0.0018379397778738 0 0 0.00169176044608365 0.00120853363102754 0.0012675575860305 0 0 0 0.0015555363456321 0 0 0 0 0 0.00136840151192835 0.00117233013581305 0.00143223710162526 0.00122445183957783
"Calm1" 0.00143589454710299 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0011979820152568 0 0 0 0 0.0012041471253463 0.00139032272264926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0.00147857872071867 0 0 0 0 0 0 0 0 0.00398311039481062 0 0.00385945044556401 0 0 0.00141232557870475 0 0 0 0.00368591735096147 0 0.0011950272004836 0 0 0 0 0 0 0.00392423267835548 0 0 0 0 0 0 0 0 0 0.00523227827316777 0
"Itga4" 0.00117521952264516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gas6" 0.00150255314277585 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118647136625684 0 0 0 0 0.00118582420122749 0.00126816267266571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00203720956877876 0 0 0 0 0 0 0 0.00130616209103307 0 0 0 0 0 0.00166968055547085 0 0 0 0 0.00146436565661762 0.00149349716164946 0 0.00132626750936323 0.00140041659020334 0 0.00142819368202294 0 0 0.00122988117256969 0 0 0 0 0.00119971916877171 0 0 0.00117495971312081 0 0
"Fn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0.00128801837798495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp3" 0.0015702366332895 0 0 0 0 0 0 0 0.00138571670581829 0 0 0 0 0 0.00180490528040988 0 0 0 0 0.0016226901881798 0.00207769159279868 0 0.00124928119401023 0.0017061883439373 0.00144197901600236 0.00123158140982232 0 0 0.00137268650850175 0.0011761778466356 0 0 0 0.0012680830825718 0 0 0.00121276420753822 0 0
"C3" 0.00130640296869222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
