"Actb" "Ccnd1" "Cd44" "Clic1" "Col1a2" "Col3a1" "Eln" "Fn1" "Nrcam" "Pfn1" "Runx1" "Sept9" "Serpine1" "Thbs1" "Timp1" "Tnc" "Tubb5" "Vcan" "Adamts4" "Anxa2" "Bax" "Cdk6" "Col1a1" "Ecscr" "Fmod" "Gapdh" "Igf1" "Itgb5" "Mmp2" "P4hb" "Pdgfrb" "Sdc1" "Spp1" "Acta2" "Enc1" "Lama5" "Myh9" "Ncam1" "Pdgfa" "Postn" "Sparc" "Fst" "Grem1" "Adamts12" "Dkk2" "Fbn1" "Isyna1" "Mical2" "Vim" "Tpm1" "Hbegf" "Col8a1" "Inhba" "Itgb1" "Mmp14" "Ranbp1" "Tm4sf1" "Col4a1" "Lgals1" "Fkbp5" "Eno1" "Ldha" "Pcdh7" "Sfrp1" "Tnfrsf12a" "Slc20a1" "Arpc2"
"Dll4" 0.00185625641413516 0.00223973996547248 0.00146886984715631 0.00155279467161122 0.0011644873402714 0.00124343351068 0.00120201100803563 0.00269630698677478 0.00106091409777757 0.00137749901709754 0.00162236827633666 0.0019189909469028 0.00192998991652903 0.00159146843268634 0 0.00126860578117885 0.00218455968345461 0.00131254195034535 0.00109100719564123 0.00137800726843753 0.00169053838331448 0.00173968233718567 0.00151651609004675 0 0.00167450123923628 0.00163330306677098 0.00106604206781899 0 0.00104849368690748 0 0.00124020061613721 0.00158089306824404 0 0.00136356646032595 0.00176882487402128 0.00165436143900435 0.00158627144142742 0.00107292245876402 0 0 0 0.00124523442823916 0 0 0 0 0.00115177800613214 0.0012724262810734 0.0017665762779185 0.00155417871893061 0 0 0 0.00122949670665462 0 0.00159654995659629 0.00134108483075375 0.00105158767963183 0 0.00164172896359844 0.00125695769668558 0.00125021253953696 0.00125198924676116 0.0014105076412637 0.00185610981999254 0.0010997473223928 0
"Plxnb2" 0 0.00121401005760754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rtn4" 0 0.00110573455799774 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00175774760434116
"Efnb2" 0 0.00114419677583603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Inhba" 0.00186551860441827 0.00172001366342803 0.00141126483626065 0.00126409211580623 0 0.00118150903970432 0.0011940241331696 0.00162679185350827 0 0.00142253078270862 0.0020047963463321 0.00148875700115543 0.00495713341653815 0.00124686314048462 0 0.00175388027239287 0.00145709526708622 0.0013323634180348 0 0.00143973919723182 0.00118707838252487 0.00130239805107391 0.00123346019800764 0 0.00108187728244626 0.00114644075247886 0.00105924107042457 0 0 0 0 0.00112313816591449 0 0.0010543563045427 0.00158175593591024 0.00160318204927198 0.00161932758605975 0.00110285629060259 0 0 0 0.00136930441535858 0 0 0 0 0 0.00136667919426656 0.00141502016057162 0.0013624107183133 0 0 0 0.001238550270533 0 0.00116836982228463 0.00141452570572311 0.0011315820055384 0 0.00121563053984332 0.0011053643787009 0.00117514182051898 0 0.00138237706160458 0.00135021350313777 0.00142674178766901 0
"Nrtn" 0.00106374732109816 0.00165756209493339 0 0 0 0 0 0.00109913773097036 0 0 0.00105728617968314 0.00107351286996304 0.00121482606246881 0 0 0 0.00104972913385996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0.00110373204318215 0.00150891297300802 0 0 0 0 0 0.00107112524446552 0 0 0.00107309959012375 0.00107698936511907 0.00126081935922355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Icam1" 0.00118513435505379 0.00160205830034442 0 0.00114249551354306 0 0 0 0.00115808378879791 0 0.00121038777288525 0 0.0011009616739766 0.00122320973286733 0 0.00374090575434698 0 0.00110481861262787 0 0 0 0 0 0 0 0 0.00105518590961986 0 0 0 0 0 0 0 0 0 0 0.00106856649682366 0 0 0 0 0 0 0 0 0 0 0 0.00105634377404445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam12" 0.00107407810074245 0.00127689131218441 0 0 0 0 0 0 0 0 0 0 0.00118899289831799 0 0 0 0 0 0 0 0 0.00104527134232424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl16" 0 0.00112031842130571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
