"Basp1" "Ccnd1" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fbn1" "Fn1" "Grem1" "Igf1" "Lpl" "Mmp2" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Thbs2" "Timp1" "Sept9" "Tnc" "Enc1" "Ncam1" "Spp1" "Sparc" "Inhba" "Mmp14" "Fmod" "Sdc1" "Adamts12" "Dkk2" "Fst" "Sema3a" "Fkbp5" "Sfrp1" "Tpm1" "Akr1b8" "Crlf1" "Ctsk" "Chl1"
"Bmp5" 0 0.00181748975500293 0 0 0 0.00136662232336151 0 0 0 0.00173927493694213 0 0 0 0 0 0 0.0021444234285971 0 0 0 0.00153997590500088 0.00168013882351154 0.00169288991956378 0.00137752614938451 0 0 0 0 0 0 0 0 0.00154024760140283 0 0.00145815354990321 0.00155379841419703 0.00149960659734898 0 0 0 0
"Inhbb" 0 0.00176049527843118 0.00155068651156779 0 0.00134824152997957 0 0 0.00140518989170421 0 0.00174722593807877 0 0 0 0 0 0 0.00250688381187878 0 0 0 0.00159548491716882 0.00213124859038648 0.00177335691248797 0 0 0 0 0 0 0 0 0 0.00150966897787608 0 0 0.00150285622577395 0.00147698946909357 0 0 0 0
"Serping1" 0 0.00143077702624639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tfpi" 0 0.00156866116757603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0017577801539414 0 0 0 0.00132707590588713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0 0.00153756139085828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146443774054937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0 0.00193237668822109 0 0.00421155205897465 0 0.00466413216211115 0 0 0 0.00133088127579871 0 0 0 0 0 0 0.0015821303266869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0.00172945148466118 0 0 0 0 0 0 0 0 0 0 0 0.00204065829310307 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00218694057591152 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll1" 0 0.00194543834345954 0 0 0 0 0 0 0 0.00162161267721719 0 0 0 0 0 0 0.0016836767215375 0 0 0 0.00163797080061872 0 0.00140917773709175 0 0 0 0 0 0 0 0 0 0 0 0.0014611671673979 0 0.00136230237800432 0 0 0 0.00168354284324097
"Cxcl12" 0 0.00156572415511307 0 0 0 0 0 0 0 0 0 0 0 0.00200924803771616 0 0 0.00239768186755723 0 0 0 0 0 0 0 0 0 0 0.00206926318512956 0 0 0 0 0 0 0 0 0 0 0 0 0
