"Cdkn1a" "Col3a1" "Id3" "Timp1" "Vcan" "Mmp2" "Ifit3" "Serpine2" "Irf9" "Anxa2" "Bst2" "Fth1"
"Itgam" 0.00166340261824615 0 0 0 0 0 0 0 0 0 0 0
"Ocln" 0.00160814638760414 0 0.00143090796769968 0 0 0 0 0 0 0 0 0
"Pros1" 0.00296467644517818 0 0.0017063752987496 0 0 0 0 0 0 0 0 0
"Inhbb" 0.00286730477845298 0 0.00271814036286392 0 0.00142978536894204 0 0 0 0 0.00156388526269436 0 0
"Gas6" 0.00146331534233639 0 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0.00149768513569796 0 0 0 0 0 0 0 0 0 0 0
"Ptprc" 0.00171937967299817 0 0.00150984174518911 0 0 0 0 0 0 0 0 0
"Hspg2" 0.00162758304250463 0 0.0014333956263109 0 0 0 0 0 0 0 0 0
"Gpi1" 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0.00480643361495988 0 0.00182628611387754 0 0 0 0 0 0.00147426173279776 0 0 0
"Ceacam1" 0.00172468411490827 0 0 0 0 0 0 0 0 0 0 0
"Pdgfa" 0.00197623718506809 0 0.00162512081919706 0 0 0.00208565339586334 0 0 0 0 0 0
"Hbegf" 0.00189441420720381 0 0.0014497949498846 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00172438615322352 0 0.00144977728309828 0.00185060820883847 0 0 0 0 0 0 0 0
"Cmtm8" 0.00257342147364373 0 0.00170746269531372 0.00159580288400157 0 0 0.00246162282287809 0 0 0 0.00292620335001724 0
"Tnfsf13b" 0.00171852712084425 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0.0023583641063619 0 0 0 0 0 0 0 0 0 0 0
"Serping1" 0.00146632850772889 0 0 0 0 0 0 0 0 0 0 0
"Fn1" 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0
"Vegfa" 0.00201992273566579 0 0.00267276204037855 0 0 0.00528090813001964 0 0 0 0.00240318969403861 0 0
"Col4a1" 0.00152308824586791 0 0.00147693163390325 0 0 0 0 0 0 0 0 0
"Bmp4" 0.00314605775773029 0 0.0031134178316229 0 0 0.00220162980644983 0 0 0 0 0 0
"Vcam1" 0 0 0 0 0 0.00174132306296177 0 0 0 0 0 0
"Edn1" 0.00188972934016114 0.00507425261027675 0 0.00195713366293793 0 0 0 0 0 0 0 0
"Fgf2" 0.00301269652847111 0 0.00175528603823209 0.00209778431201249 0 0.00523830534998965 0 0 0 0.00238775461227508 0 0
"Osm" 0.00248001209218667 0 0.0021060381469725 0.00575092635394113 0 0 0 0 0.00189308147609707 0.00154682205918703 0 0.00163701637857118
"Pkd1" 0.00377401514156348 0 0 0 0 0.00204065829310307 0 0 0 0 0 0
"Cxcl12" 0.00367438744373611 0 0 0 0 0.00200924803771616 0 0 0 0 0 0
"Tgfb1" 0.00548303347996596 0.00527727585757168 0.00311605929807148 0.00514659632818426 0 0.00539083089228823 0.00466566099947073 0.00452512600179892 0 0 0 0
"Icam1" 0.00161961166893847 0 0 0.00374090575434698 0 0 0 0 0 0 0 0
"Mmp9" 0.00177374486570155 0 0 0.00379242755032811 0 0.00418784664305765 0 0 0 0 0 0
"Plat" 0.00199289280426787 0 0.00148462046055328 0.00376305192776554 0 0.00402226159441221 0 0 0 0 0 0
"Il1b" 0.00457889077460727 0.00516287095521492 0.00481314634896284 0.00519880978995069 0.00484051678696276 0.00533183165843309 0 0 0.00145874428623768 0.00261117992049089 0 0.00142926429055526
"Spp1" 0.00187530116358333 0.00495879526473618 0.0014267373474043 0.00377514477134519 0.00456373398953197 0 0 0 0 0 0 0
