"Ahnak" "Ccnd1" "Col1a2" "Col3a1" "Eln" "Fn1" "Nrcam" "Sept9" "Timp1" "Tnc" "Vcan" "Col8a1" "Grem1" "Inhba" "Itgb1" "Mmp14" "Fbn2" "Myh9" "Ncam1" "Spp1" "Pdgfa" "Postn" "Sparc" "Col1a1" "Fst" "Col4a1" "Tpm1" "Pcdh7" "Sema3a" "Fkbp5" "Smc4" "Igf1" "Pdgfrb" "Ptn" "Sfrp1" "Calm1"
"Ptgs2" 0.00228145238165691 0.00472478582537004 0.00474312533630816 0.0011985702466324 0.00117106879593979 0.00209283396977105 0.00122812714104274 0.00200646909837189 0.00126814656444065 0.00137567630095155 0.00175998808229683 0.00116032257183323 0 0 0.00156429618591398 0 0.00116043164793311 0.00192005921644637 0.00140491084341933 0 0.00129165792561915 0.00111608722922843 0 0.00174098706678562 0.00164889547918143 0.00133500879373871 0.00163763077672212 0.00167015703183427 0.00144541108486052 0.00184968600386274 0 0.00142179459020742 0.00137658772436894 0 0.00137100442454642 0.00154372885099499
"Tnfsf13b" 0.00131670772846163 0.00158421183865339 0 0 0 0 0 0.00122801591880543 0 0 0.00111712501982923 0 0 0 0 0 0 0.00110440920299505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Timp1" 0.00125980824112202 0.0015123310283143 0 0 0.00234889399957674 0.00113296424283607 0 0.00121392884924285 0 0 0 0 0 0 0 0 0 0.00116541313176359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0.00117043152499261 0.00143589454710299 0 0 0 0.00110436595243795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110077236343652
"Plat" 0.00145074090193696 0.00187139313165828 0 0 0 0.00135938890027968 0 0.00132800761722797 0.00376305192776554 0 0 0 0 0 0 0 0 0.00124665355266552 0 0 0 0 0 0 0 0 0 0 0 0.00112908586763301 0 0 0 0 0 0
"Plxnb2" 0 0.00121401005760754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0.00114419677583603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0.00130640296869222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp6" 0.00183777687869896 0.00223543725845385 0 0 0 0.00165092421744323 0 0.00173201633880818 0 0.00120846480174034 0.00141599405035561 0 0.00512921375259048 0 0.00131514609919488 0 0 0.00161913864077672 0.00130741530174677 0 0 0 0 0.0012784093886358 0.00137420854137856 0 0.00135804220300583 0.00122191217411002 0.00114780523947449 0.00154467877450833 0 0.00111100271736066 0 0 0.00120402568188465 0.00129306280118424
"Serping1" 0 0.00143077702624639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl16" 0 0.00112031842130571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3a" 0.00147428690923631 0.00170722220684351 0 0 0 0.00116723223747363 0 0.00132954149592478 0 0 0 0 0 0 0 0 0 0.0012148091945638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
