"Lcn2" "Pfn1" "Fosb" "Fth1" "Eef1a1" "Rplp2" "Mmp8" "Gadd45g" "Plaur" "Lasp1"
"Psen1" 0 0.00110849370177109 0.00108671513128368 0.00100055381571847 0.000911435401468445 0.000924651370972448 0 0.00100395377844789 0 0.00103703905861516
"Il1b" 0.00573536451148093 0.00161909072056996 0.00159290642780599 0.00142926429055526 0.00130349768813734 0.0012045340185769 0.00299608707203411 0.00152348202806054 0.00102004735818039 0.00147034661872498
"Cdh3" 0 0.00129348380371153 0 0.00116978135996007 0.00107382812020325 0 0 0.00111885635005045 0 0.00115722214201084
"Vegfa" 0 0.00129501658638254 0.00245307655924777 0.00115793639763791 0.0010744111563219 0.000925782507172795 0 0.0010924350923482 0.00220753419416772 0.00115722874407488
"Ltb" 0 0.00121837481859104 0.00132609054960204 0.00160390167276287 0.00102630972812929 0.00144991015248966 0 0.00104207308900704 0 0.0010178508000404
"Plau" 0.000959228433331766 0.00161368535321471 0.00217494182488875 0.00129121082692901 0.00139663811796756 0.00183151280054338 0 0.00124343743388295 0.00122652372528466 0.00141182695465156
"Alox5ap" 0 0.00205710457879559 0.00183527092948543 0.00136886462143028 0.00137731289229207 0.00114741203211641 0 0.00146702948697083 0.00102976238877193 0.00141437346200524
"Dll4" 0.0009991543291014 0.00137749901709754 0.00190938738978317 0.00127119522049088 0.00125897370426649 0.00169020450764127 0 0.00158356148281033 0 0.0014637049252085
"Serpine1" 0 0.00157293618333444 0.0015116215258546 0.00133483401289362 0.0011879558080272 0.00111057773333738 0 0.00113977333745464 0.000913134061371769 0.00127613810947228
"Nid1" 0 0.00112635505900483 0.0010991878490991 0.000926078858007401 0.000929745257763096 0.00097881353976112 0 0.00107729017775421 0 0.0010852232031895
"Edn1" 0 0.00120159539202971 0.00109333473922567 0.00103703053897448 0.00096749909566687 0 0.00276766750861154 0.00107174032233149 0 0.000992988484675738
"Apoe" 0.00403771682999996 0.00106334981541206 0.000951029225937007 0.000928951200767282 0 0 0 0.000930658922309895 0 0.000900951863468785
"Icam2" 0 0.00106570600868928 0.000917825425386813 0 0 0.00104085914231538 0 0 0 0
"Aimp1" 0 0.000917460084591108 0.000944522911339771 0 0.000893757511102644 0 0 0 0 0
"Ntn1" 0 0.000908404423609328 0 0 0 0 0 0 0 0
"Ptprf" 0 0.00111253696041319 0.00101894251781304 0.00107370080597722 0.000976782418328564 0 0 0.000961794514337891 0 0.000934191232996839
"Dusp18" 0 0.0012732249765504 0.00110644246719928 0.000985018731672671 0.000969334981621454 0.00100852782441691 0 0.00106997580095416 0 0.00118345150373021
"Clstn1" 0 0.00121950907195295 0.000984884519460732 0.000928087146847387 0.000970845845243507 0.00107226418163455 0 0 0 0.000951406439661807
"Robo2" 0 0.00117290057848173 0.00109516864518272 0.00104250832557775 0.00101887847132817 0.000942624626593869 0 0.000975041497454977 0 0.000944975999294247
"Lgals3" 0.00392451796822546 0.00098535802368398 0 0.000901027057437326 0 0 0 0 0 0
