"Pfn1" "Il1r2" "Klf13" "Pabpc1" "Fth1"
"Dll1" 0.00130590349484466 0.00104691272562952 0.00154644059627533 0 0.00117497911529051
"Pros1" 0.00145359468187998 0 0.00113260002073676 0 0.0012793841595511
"Ceacam1" 0.00106549481897497 0 0 0 0
"Calm1" 0.00104838710845031 0 0 0 0
"Nid1" 0.00112635505900483 0 0.00107755119359085 0 0
"Cxcl14" 0.0020893522789398 0 0.00109914692375159 0 0
"Serpine1" 0.00157293618333444 0 0.00124828577283654 0.00107512200896414 0.00133483401289362
"Ptprf" 0.00111253696041319 0 0 0 0.00107370080597722
"Rspo1" 0 0 0 0 0.0010415985774618
"Col1a1" 0.0014147910999898 0 0.00125238868848836 0.0011154809835862 0.00123930822960594
"Col18a1" 0.00105641920965281 0 0 0 0
"Cfh" 0.00137747719988558 0 0.00124675368908281 0.00107691073587594 0.00113527987170788
"Il1b" 0.00161909072056996 0.00566054274896508 0.00132260701504684 0.00114540596006823 0.00142926429055526
"Cd34" 0.00162288456585845 0 0.00169648449423259 0.00159653338681336 0.0014737371914481
"Robo2" 0.00117290057848173 0 0 0 0.00104250832557775
"Plau" 0.00161368535321471 0 0.00198844450150064 0.00172472487185394 0.00129121082692901
"Has2" 0.00231412333671355 0.00231729685917312 0.00111512586999407 0.00121255553790545 0.00184901633943201
"Il1rn" 0.00164624463949052 0 0.0011012235914886 0 0.00125520435880016
"Clstn1" 0.00121950907195295 0 0 0 0
