"Birc3" "Cd14" "Il1r2" "Lcn2" "Fas" "Vim" "Tsc22d3" "Fkbp5" "Plaur" "Gab2" "Klf13" "Tet2"
"Adam17" 0.00123611818115201 0 0 0 0.00255338428853935 0.00126344713866316 0 0.0012549805402332 0 0 0 0
"Dll1" 0.0012264415318885 0 0 0 0.00128950426542588 0.00146070062214552 0 0.0014611671673979 0 0 0.00154644059627533 0
"Dll4" 0.00139957761882281 0 0 0 0.00158330804946428 0.0017665762779185 0.0013500241197559 0.00164172896359844 0 0 0.00174747226115634 0
"Hmgb1" 0.00187276636105112 0.00143523454306634 0.00148238655183206 0 0.00162285519366661 0.00180066031488312 0.00477568538107306 0.00186807562542792 0 0.00158083741285783 0.00163973431031525 0.00139341347952611
"Thbs2" 0 0 0 0 0 0 0 0 0 0 0.00123205315517365 0.00128566301829106
"Kitl" 0 0 0 0 0.0012871885121483 0.0012397719401126 0 0.00132046785693025 0.00222239753657088 0 0 0
"Thbs1" 0 0 0 0 0.00427230015298579 0.00141690885774176 0 0.00133730517422962 0 0 0.0012887278861457 0
"Il18" 0.00225780210235119 0.00130884407747389 0.00165059718254871 0 0.00337936191039399 0.00190451707159895 0.00130579039882816 0.00175043637797267 0.00130734270263207 0 0.00127877962059128 0.00122050847598266
"Il1rn" 0.00169454559844042 0 0 0 0.00147065925181035 0.00132334998866946 0 0.00147121974325394 0 0 0 0
"Pf4" 0 0.00192963413564868 0 0 0 0 0 0 0 0 0 0
"Csf1" 0 0.0043400854220546 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0 0 0.00403771682999996 0 0 0.00372826406864838 0 0 0 0 0
"Hgf" 0.00229905609481831 0 0 0 0.00235802665943484 0 0 0 0.00227918033860962 0 0 0
"Fgf2" 0 0 0 0 0.00125429501678053 0.00121929254447143 0 0.00132397506182081 0.00236128514454744 0.00436414988843418 0 0
"Il1f9" 0 0 0 0 0 0 0 0 0.00192520498570351 0 0 0
"Lgals3" 0 0 0 0.00392451796822546 0 0 0 0 0 0 0 0
"Il33" 0.00226870883579946 0.00217707923593691 0 0 0 0 0 0 0 0 0 0
"Edn1" 0 0 0 0 0 0.00214614830596564 0.00392076301972738 0 0 0 0 0
"Hc" 0 0 0 0 0 0 0.00355269481186808 0 0 0 0 0
"Hdgf" 0 0 0 0 0.00263005821546405 0.0026440144224984 0 0 0 0 0 0
"Il1b" 0.00608853375803906 0.0047098268548576 0.00566054274896508 0.00573536451148093 0.00258825405817564 0.00140556229643095 0.00427415805467745 0.00147210059049608 0 0 0.00132260701504684 0
