"App" "Gapdh" "Tagln2" "Cd14" "Il1r2" "Ifitm3" "Vim"
"Serpine1" 0 0.00148973888891848 0.00136525099305346 0 0 0 0.00132142193719273
"Mapt" 0.00104527867383506 0.00112110745382593 0.0011050137167508 0 0 0 0.00102588018919457
"Nid1" 0 0.00113828781370819 0.00109404350783464 0 0 0 0.00103202861531701
"Kitl" 0 0.00137012586547094 0.00116749724990708 0.00103448601837834 0 0 0.0012397719401126
"Mmp9" 0 0.00117644706106746 0.00106017316969769 0 0 0 0.00110554661017568
"Fgf2" 0 0.00271055838891752 0.00124360771361438 0.0010505173201837 0 0 0.00121929254447143
"Edn1" 0 0.00126633164836397 0.00102988746174776 0 0 0 0.00214614830596564
"Adam17" 0.00218462538412238 0.00127317639260921 0.00121212877268694 0 0 0 0.00126344713866316
"Itgam" 0 0.00106662959338067 0 0 0 0 0.00107999660187595
"Hbegf" 0 0.00123157553889115 0 0 0 0 0
"Itgb2" 0 0.00101919442924193 0 0 0 0 0
"Clstn1" 0 0.00136035723912634 0.00103090400099223 0 0 0.00110198681566124 0
"Dll4" 0.00131242407313802 0.00163330306677098 0.00154348887308327 0.00107341029287902 0.001028540115545 0.00151977460008216 0.0017665762779185
"Rspo1" 0 0 0 0 0 0.00101579158702438 0.00109795613366262
"F11r" 0 0.00103878304315335 0 0 0 0 0
"Il1b" 0.00118235251160601 0.00162769845514528 0.00135759262380025 0.0047098268548576 0.00566054274896508 0 0.00140556229643095
"Il33" 0 0 0 0.00217707923593691 0 0 0
"Il1f9" 0.00189551019024634 0 0 0 0 0 0
"Csf1" 0.00222441385932617 0.00124944966834814 0.00111615358012523 0.0043400854220546 0 0 0.00103785354671309
"Psen1" 0.00385841785375394 0.00119071900061439 0.00110059944284237 0 0 0 0
