"Ets1" "Myh9" "Nfkbia" "Fkbp5" "Ccdc125" "Cntrl" "Satb1" "Cxcl2"
"Lgals3" 0.00101150609211724 0.000915258719985135 0.00105259547831337 0.0009295524560023 0 0 0 0
"Pecam1" 0.0011499140503225 0.00122331004441365 0.00120004986056805 0.00112952496875523 0 0 0.000994749914268664 0
"Kitl" 0.00148566885575323 0.00140742915204806 0.00157270850292264 0.00132046785693025 0 0 0.0011912947997954 0
"Aimp1" 0.000906179066742163 0 0.000943396170563986 0 0 0 0 0
"C3" 0.000911579505575741 0 0.00113395433727837 0 0 0 0 0
"Itgb2" 0.00113968675981683 0.00102078443225073 0.00124203820008323 0.00100371974762851 0 0 0 0
"Anxa1" 0 0 0.000920417046498656 0 0 0 0 0
"Hgf" 0.00282391891730213 0.00121069804375481 0.00138823850661653 0.00120418944173977 0 0 0.00107877440092238 0
"Clstn1" 0.00104047472822541 0.000999658041938003 0.00124376642733087 0.00107081734820287 0 0 0 0
"Robo2" 0.00102661679113726 0.00106896348910681 0.00127343279288204 0.0011646594658469 0 0 0 0
"Vcam1" 0 0 0.00091745850267076 0 0 0 0 0
"Itgb1" 0.00100893212490719 0.000959342627294909 0.001074698382221 0.000917148838493799 0 0 0 0
"Cd34" 0.0014577981793878 0.00159354521068309 0.00157497102838512 0.00167106352085511 0 0 0.00108668226544374 0
"Ptprf" 0.001091265747129 0.00109682106156111 0.00133525042997955 0.00113944885736706 0 0 0.000921491569414827 0
"Penk" 0 0 0.0009106848421863 0 0 0 0 0
"Calm1" 0.00107652515768057 0.0010309690297833 0.00126478706683762 0.000953336478607939 0 0 0.000914004678274118 0
"Icam1" 0.00110076916669919 0.00106856649682366 0.00143287648828248 0.0010358136467394 0 0 0 0.00214983299892907
"Itga4" 0 0 0.000904677660349112 0 0 0 0 0
"F11r" 0.00100393087325882 0.00106150265021024 0.00113768868668851 0.00101868622754185 0 0 0 0
"Pik3cb" 0.00107983321386512 0.000951957468322351 0.00108892959111439 0 0 0 0.000960949053670187 0
"Ceacam1" 0.00116464915484229 0.00114331113878181 0.0012828228278958 0.00104179945159016 0 0 0.00103317970937569 0
"Ptn" 0.00116601703107272 0.00113507809141425 0.00112552930536042 0.000987000418734068 0 0 0 0
"Cdh1" 0.00114754174614577 0.00114029494057807 0.00117808395826169 0.00106304670053103 0 0 0.000917060081927579 0
"Nampt" 0.00166749442195982 0.00162613480887036 0.00475107477495537 0.00156883478380891 0 0 0.00125429220097768 0
"Lamb2" 0.00119121901567081 0.00112257739291612 0.0011304673810848 0.00110396252916652 0 0 0.000941261625794463 0
"Rps19" 0.000947970202832921 0 0.000972663907440482 0 0 0 0 0
"Igf1" 0.00139602710184318 0.00133406752726843 0.00153749759322042 0.00131762217363399 0 0.00847884360270655 0.00482838652901105 0
"App" 0.0010601916538734 0.00103589760874825 0.00114853002998817 0.00103628446913207 0.0133216825260985 0 0 0
"Ptprm" 0.000964743377129208 0.00116932678171137 0.00103408993388562 0.00113227799701882 0 0 0.00105223978530736 0
"Fn1" 0.000923627159245058 0.000904866724727484 0.00384673959276376 0 0 0 0 0
