"Birc5" "Ccnb2" "Cenpa" "Cenpf" "Mki67" "Stmn1" "Tpx2" "Dusp2" "Nos2" "Pfn1" "Snai1" "Tubb5" "Pclaf" "Vim" "Adam12" "Angpt2" "Anxa1" "Gap43" "Hapln1" "Gria2" "Slc38a2" "Ets2" "Sparc" "Vasp" "Mtor" "Plvap" "Loxl2" "Cavin3" "Col18a1" "Ptx3" "Gnas" "Rpl13a" "Mmp14" "Crmp1" "Olfml2a" "Atxn1" "Emid1" "Fhl3" "Slc25a5"
"Flrt3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00123944037915313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106386822041491 0
"Ccl17" 0 0 0 0 0 0.0010822215461956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111746344359963 0.00117550805735545 0 0
"Ncam1" 0 0 0 0 0 0 0 0 0.00107136497266997 0.00114788993475872 0 0.0011133369303817 0 0.00107987771137543 0 0 0 0 0 0 0.0012196016441543 0 0 0 0 0 0 0 0 0 0.00108422804909905 0 0 0 0 0 0 0 0
"Icam1" 0 0 0 0 0 0 0 0 0.0011167750887279 0.00121038777288525 0 0.00110481861262787 0 0.00105634377404445 0 0 0 0 0 0 0 0.00106972131065016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0 0 0 0 0 0 0 0.0011699164998225 0 0 0.00108727824819068 0 0.00107985492370615 0 0 0 0 0 0 0.00114678422747146 0 0 0 0 0 0 0 0 0 0 0 0.00218694057591152 0 0 0 0 0 0
"Itgal" 0 0 0 0 0 0 0 0 0 0.00124126639619662 0 0 0 0 0 0 0 0 0 0 0.00109691226684573 0.00116060942079179 0 0.00434320847272442 0 0 0 0 0 0 0 0 0 0.00480937074729851 0.00482695686546339 0 0 0 0
"Robo1" 0 0 0 0 0 0 0 0 0 0 0 0.00111950407191286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0.0011681899966901 0 0 0 0 0 0 0 0 0.00111253696041319 0 0.00111232546847081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Jam2" 0.00116910550922669 0 0 0 0 0.00130611713027088 0 0.00118540809173123 0 0.00158318504728271 0 0.00118072764983444 0 0.00138702970008691 0 0 0 0 0 0 0.0013480088185365 0.00134018206685375 0 0.00148711759605764 0 0 0 0 0.00137715171747212 0 0.00130113362984204 0.00131652518132135 0 0 0 0.00111597433876343 0 0 0
"Cxcl12" 0 0 0 0 0 0 0 0 0.00110098551726148 0 0 0.00106062466917011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00206926318512956 0 0 0 0 0 0
"Spp1" 0 0 0 0 0 0 0 0 0.00406224123218284 0.00123120779421862 0 0.00133668505344441 0 0.00118931505083177 0 0 0 0 0 0 0.00118446197337596 0.001181409257048 0 0.00127119297061563 0 0 0 0 0.00106892208637945 0 0 0 0 0 0 0 0 0 0
"Dll4" 0.00128216891993074 0 0 0 0 0.00149911857695698 0 0.00170675995511725 0.00134576584540221 0.00137749901709754 0.00126657695499094 0.00218455968345461 0 0.0017665762779185 0.00118719862857477 0 0.00108816787918282 0 0 0 0.0015671544169028 0.00148247209671345 0 0.00169125364199352 0 0 0 0 0.0013602375603735 0 0.00191115248911308 0.00191617452977304 0 0 0 0.00135355259796899 0 0 0
"Wnt5a" 0 0 0 0 0 0 0 0 0.00106238763445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00316856258440963 0 0 0 0 0 0 0 0 0
"Angpt1" 0.00111615867229485 0 0 0 0 0.00111479242784178 0 0 0.00147695592520146 0.00133138887607477 0.00105619914274977 0.00142761467000154 0 0.001263065465476 0 0.00527625865152065 0 0 0 0 0.00130572026146255 0.00128232883793671 0 0.00129768134770069 0 0 0 0 0.0011961783834638 0 0.00127360500745516 0 0 0 0 0.001154253401974 0 0 0
"Bmp5" 0.00109513234644535 0 0 0 0 0.00110631592195846 0 0.00109206309877412 0.0013826506319368 0.00142784217792205 0.00480577020779689 0.00126177239442707 0 0.00148929278169747 0.00114393402661285 0.00127463250152158 0.00156389671826779 0 0 0 0.00142603724105665 0.0015191926161889 0 0.00125468011955065 0 0 0 0.00201806875611834 0.00177474943881919 0.00108051839977484 0.00139222012539679 0.00118867464669184 0 0 0.00106890235857569 0.00161058084561699 0 0 0
"Mapt" 0 0 0 0 0 0 0 0 0.00394615179853462 0.00115317136762415 0 0.00111676570869437 0 0 0 0 0 0 0 0 0.00109863482695999 0.00108022886399914 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0 0 0 0 0 0 0 0.00121250220634509 0 0 0 0 0.00107999660187595 0 0 0 0 0 0 0.00108243088282679 0.0010790143127578 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0 0 0 0 0 0 0.00385956184458201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anxa1" 0 0 0 0 0 0 0 0 0.00192461029030215 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
