"Akt1" "Crybb3" "Trp53i11" "Nts" "Bax" "Clic1" "Ddit4" "Eif4ebp1" "Fn1" "Hif1a" "Irf2bpl" "Plau" "Rps6" "Ssbp4" "Stat3" "Tubb5" "Vasp" "Fkbp5" "Git1" "Ldha" "Pfn1" "Adam12" "Anxa1" "Gap43" "Hapln1" "Reep1" "Klf10" "Tnc" "Eln" "Gria2" "Myl12a" "Sparc" "Cops9" "Txn1" "Vim" "Col4a2" "Adamts5" "Eef1a1" "Col18a1" "Emilin1" "Ndufs2" "Olfml2a" "Pdlim7" "Pygo2" "Rab5c" "C1qbp" "Cct5" "Ddb1" "Eef1g" "Eif1ax" "Pcbp1" "Fth1"
"Nenf" 0 0 0 0 0 0 0 0 0 0 0.00107089845659386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0 0 0 0 0 0.00104175730872633 0.00123224826936406 0 0.00117306738261956 0 0.00138785287170157 0 0 0 0.00114468171548667 0.00112218224299495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ccl5" 0 0 0 0 0 0.00103206355883363 0.00128109638040793 0 0.00114037203909655 0 0.00144339074313067 0 0 0 0.00399474385449417 0.00105222357617841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0 0 0 0 0 0.00116091215762288 0.00130075708066729 0 0.00134453857210543 0.00104683960479203 0.00133236191207259 0.00103262736868747 0 0 0.00126875853487382 0.00111232546847081 0 0.00113944885736706 0 0 0.00111253696041319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00107370080597722
"Fn1" 0 0 0 0 0 0 0.00108230775018498 0 0 0 0.00115007480819784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0 0 0 0 0 0 0 0 0 0 0.00115193568580238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0 0 0 0 0.0012137764609276 0 0 0 0.00133516475189562 0 0 0 0.00113017913840644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00215437525223212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flrt3" 0.00120449783460191 0 0 0 0 0 0 0 0 0 0.00112926275741658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109621301579042 0 0 0 0 0 0 0 0.00137828620285923 0 0.001035525731407 0.00106418374115396 0.00103121832356698 0 0
"Itgal" 0 0 0 0 0.00360875209846123 0.00123249763383793 0.00134607842325956 0 0.00107438173918434 0 0.00145607009845762 0.0010880574485942 0 0 0.00126800570629181 0.00104627265662771 0.00434320847272442 0 0.00105697762228058 0 0.00124126639619662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00535293244820792 0.00451806231071596 0.00482695686546339 0.00433054710630553 0.00439426068437721 0.00442531884953398 0 0 0 0 0 0 0.00104347344120002
"Col1a1" 0.00120044376049272 0 0 0 0.00103630118875142 0.00134421200209492 0.00174718468208684 0 0.00126103812414002 0.00114965533500126 0.0019938738487369 0.00130469069166154 0 0.00120938965230147 0.00143435569017924 0.00124647641827163 0.00142155986485445 0.00114071815932327 0.00121201201966855 0 0.0014147910999898 0 0 0 0 0 0.00128485312130734 0.00106672277741401 0.00106423227277598 0 0 0.00105031472359418 0 0 0.00118511499633115 0 0 0.00108232402947191 0.00131242326317063 0 0.00110377565637796 0 0 0 0 0 0 0.00103802923950358 0.00107763385569593 0 0.00105715783517807 0.00123930822960594
"Sema3f" 0 0 0 0 0 0 0 0 0 0 0.00115285786569308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0 0 0 0 0.00108973802830415 0.0012890493648742 0 0.001128916647372 0 0.00141500923122102 0.00118138930664548 0 0 0.00115110869620677 0.00104286075015005 0.00103944425349614 0 0 0 0.00105569737502626 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00107999660187595 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.00123874982214777 0 0 0 0.00378760245227831 0.00157609138082823 0.00171402362206595 0 0.0014337325430763 0.00495312976158389 0.00181989608832398 0.00571623653360843 0 0.00118923648776653 0.00155513619687575 0.00145246228974306 0.00131994407984827 0.00132397506182081 0.00109225391918384 0.00110235189829532 0.00128777347451712 0 0 0 0 0 0.00108051758178908 0.00245508572184439 0 0 0 0 0 0 0.00121929254447143 0 0.00236489126123782 0.00113297713197124 0.00117025777011331 0 0.00113681144613668 0 0 0 0 0 0 0 0 0 0.0010768416409514 0.00123130163907247
