"Cfh" "Ddit4" "Vim" "Gria2" "Hif1a" "Yy1" "Akt1" "Crybb3" "Tnc" "Col4a1" "Egln1" "Fabp4" "Itgb1" "Cblb" "Col18a1" "Gbp4" "Pmm2" "Gap43" "Hapln1" "Pfkfb3" "Fkbp5" "Txn1" "Cyp2j6" "Mid2" "Reep1" "Sept10" "Cdh5" "Emilin1" "Olfml2a" "Rab5c" "Taok1" "Rnase4" "Dusp2" "Adamts5" "Ep300" "Nupr1" "Mmp14"
"Nampt" 0 0.00202023735327022 0.00147060409463266 0 0.0014639722037824 0 0.00137973909293333 0 0 0 0 0.00492993552203335 0 0 0 0 0 0 0 0 0.00156883478380891 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151127768030333 0 0
"Pkd1" 0 0.0013731736139846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00218694057591152
"Hmgb1" 0 0.00244927097518979 0.00180066031488312 0 0.00168565905199732 0.0015091048876544 0.0016468484383268 0 0 0 0 0 0.00166158195638594 0 0.0016833063062463 0 0 0 0 0.00149249359233662 0.00186807562542792 0 0 0 0 0 0.00569040942754688 0 0 0 0 0.00188618252247893 0.00142539087781444 0 0.00182049877489608 0 0.00140953025422483
"Trf" 0 0.00144940946874807 0 0 0.00379232108141822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mdk" 0 0.00193842808380999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00479131225122721 0
"Lgals3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00215437525223212 0 0 0
"Dll1" 0 0.00180256525463579 0.00146070062214552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014611671673979 0 0 0 0 0 0 0 0 0 0 0 0.00140881308761008 0 0.00148536997769499 0 0
"Lamb2" 0 0.00138420109951235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0 0.00147567261882673 0 0 0 0 0 0 0.00447159030759513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0.00171402362206595 0 0 0.00495312976158389 0 0 0 0.00245508572184439 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00236489126123782 0 0 0
"Bmp6" 0 0.00208669317468215 0.00147563397538287 0 0.00149492086617053 0 0.00141413290017124 0 0 0 0 0 0 0 0.00143743731204835 0 0 0 0 0 0.00154467877450833 0 0 0 0 0 0 0 0 0 0 0 0.00472500417493031 0 0.00150167615428521 0 0
"Grem1" 0 0.00139949426329484 0 0 0 0 0 0 0.00436743662988051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Jam2" 0 0.0016991798408572 0.00138702970008691 0 0 0 0 0 0 0 0 0 0 0 0.00137715171747212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgal" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00535293244820792 0.00482695686546339 0.00442531884953398 0.00423281850146745 0 0 0 0 0 0
"Hc" 0 0 0 0.00227058466228953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt1" 0 0.00174620793419413 0 0 0.00141162496314313 0 0.0013846588362801 0 0 0 0.00230861598962335 0 0.00245168641070923 0 0 0 0 0 0 0 0.00143291313638432 0 0 0 0 0 0.00264700110214037 0 0 0 0 0 0 0 0 0 0
"Cadm1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00527525383786957 0.00527514241602112 0 0 0 0.00629582839856038 0.00551111078487789 0.00582987563964442 0.00509513431535997 0 0 0 0 0 0 0 0 0 0 0
"Mapt" 0 0.00148729344097453 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00431627938629702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0 0.0016172990088047 0 0 0.00382549008940774 0 0.00480979228383522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Npnt" 0 0 0 0.00208569764979064 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00191871190751712 0.00178908864707214 0.00160445070630054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"App" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00953123051589226 0.00881222650752722 0 0 0.00432291895102954 0 0 0.00562404815643345 0.00499381998364335 0 0 0 0 0 0 0 0 0.00429081189119143 0.00453990701750821 0.00348520475583097 0.00438794867299392 0
"Calm1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00427699306452439 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0042671758418737 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0 0.00198653105146687 0.00539500587814721 0 0.00512547950130937 0 0 0 0.00263948532009254 0.00485394028475774 0.00477364466341485 0.00465532966675315 0.00465805927993809 0 0.00138206816395869 0 0 0 0 0 0.00144117895663344 0 0 0 0 0 0.00265996731625495 0 0 0 0 0 0 0 0.00140043921716131 0 0
"Tgfb3" 0 0.00176072408712966 0 0 0 0 0 0 0.00642598074252033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Igf1" 0 0.0028395028151749 0 0 0.00503213568610677 0 0.00610800160040413 0.00691376564391384 0 0 0 0 0.00244612887125752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00440062635042898 0 0 0 0 0
"Bdnf" 0 0.00166264212186416 0 0.00567372685435935 0.00222604616587564 0.00233160124832827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf14" 0 0.00197498288473286 0.00147340469902874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0.00525467612016903 0.00474956060083624 0.00167075884910359 0 0 0 0.00489573758126538 0 0.00273951091521325 0 0 0.00478512853571754 0.00261203029811569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00412087392400262 0 0
