"Sned1" "Tek" "Ar" "Gsk3a" "Map2k3" "Synpo" "Virma" "Flot1" "Xiap" "Dusp2" "Efna1" "Tjp1" "Lefty1" "Itgb1" "Fli1" "Comt" "Znfx1" "Gfod1" "Pxn" "Card10"
"Sema3c" 0 0 0 0 0.00115438425306917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0 0 0.00135935192677089 0.00116422842645821 0.00120093840684892 0.00151052837664753 0 0.0014414076832837 0 0 0.0013619043304868 0 0 0 0.00121592672435616 0.0012416617569629 0 0 0 0
"Trf" 0 0 0.00117971391537916 0 0.00120061469844307 0.00124912553627246 0 0.00128357967373958 0 0 0.00132210883663601 0 0 0 0.0011496611342795 0.00130641154590382 0 0 0 0
"Ptprc" 0 0 0.00114757980398941 0.00124251104013508 0.00127531380875807 0.0012576133327863 0 0.00121669909867632 0 0 0 0 0 0 0.00124929977903881 0 0 0 0 0
"Lamc2" 0 0 0 0 0 0 0 0 0 0 0.00118384417541898 0 0 0 0 0.00113855411854587 0 0 0 0
"Bmp3" 0 0 0 0 0.00132741290449886 0.00143145215052015 0 0.00129654989885451 0 0 0.00129211165506004 0 0.00124188510213026 0 0.00124824931659414 0 0.00118903393966126 0 0 0
"Vegfc" 0 0 0 0.00123680207960241 0.00132893561384401 0.00127527313792027 0 0.00120351962340331 0 0 0.00118336786872154 0 0 0 0 0.00116862365628148 0 0 0 0
"Inhba" 0 0 0.00138941854557717 0.00114760001496024 0.00164185394123031 0.00173827155425427 0 0.00163048407760007 0 0 0.00148431147189808 0 0.00164189801314772 0.001238550270533 0.00137066007909767 0.00114560215532619 0.00145940139385936 0 0.00119738428009463 0
"Sema6d" 0 0 0 0.00118207791985674 0.00128205818857975 0.00137935346669979 0 0 0 0 0.00121080068625434 0 0 0 0 0.00122596158213524 0 0 0 0.00169624500349913
"Sema3a" 0 0 0 0 0 0.00115930793026828 0 0 0 0 0.00116389761426182 0 0 0 0.00127150263265479 0 0 0 0 0
"Cdh5" 0 0 0 0 0 0 0 0.0011751022413265 0 0 0 0 0 0 0 0 0 0 0 0
"Dll4" 0 0 0.00135834179609656 0.00157661554402335 0.00145052185671553 0.00163158379889414 0 0.00151874966681638 0 0.00170675995511725 0.00155775038678047 0 0 0.00122949670665462 0.00132529872120021 0.00143051988271786 0.00121138912376167 0.0017832268897797 0.00177655296336092 0
"Mmp9" 0 0 0 0 0 0.00120711844938187 0 0.00123968510073616 0 0 0.00117172499860754 0 0 0 0.00124177633970411 0 0 0 0 0
"Inhbb" 0 0 0.00146789433387753 0.00120905736508118 0.00177544855976759 0.00201558478467108 0 0.00180464225715485 0 0 0.00158553789457547 0.00119899073052517 0.00179807496971074 0.0013535361788463 0.0014732573014662 0 0.00158706759186717 0 0.00136058858644413 0
"Nectin1" 0 0 0 0 0 0 0 0.00118377479603172 0 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0 0 0.00114997617224643 0 0.00127258547476696 0.00138155603525327 0 0.00153440582588834 0 0 0.0014337924044915 0 0 0.00114204937378028 0.00139856263107501 0.00125327916954637 0.00125824475697803 0 0 0
"Clstn1" 0 0 0 0 0.00114056965123392 0 0 0 0 0 0.00116942994445598 0 0 0 0 0.00145164139902577 0.0013509067535745 0 0 0
"Ptprf" 0 0 0 0 0 0 0 0.00119500309381047 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0 0 0.00129129572637825 0 0.00122471738845622 0.00138157783068757 0 0.00136957856631868 0 0 0.00128913494666966 0 0 0 0.00121793935905629 0.00128266294247306 0 0 0 0
"Itgam" 0 0 0 0 0 0.00121011541602748 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0 0 0.00132643060624626 0.00124133177001602 0.00132445800104233 0.00139699201939423 0 0.00137746827114527 0 0 0.00135700596513695 0 0 0 0.00123350944635184 0.00260060717242709 0 0 0 0
"Bmp4" 0 0.00270180883875918 0.00162763000317882 0.00134908133235694 0.0014070316529471 0.00149827112195519 0.0011440063411732 0.00152609710098334 0 0 0.00157314042648289 0 0 0.00118552071791863 0.00151747174308078 0.00133536133806502 0.0011589982507376 0 0.0011557435649191 0
"Col4a1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119348344495762 0 0 0 0 0
"Angpt1" 0 0.00247110208538278 0.00132203706017763 0 0.0013903976567351 0.00138240424500308 0 0.00143103323506749 0 0 0.00129864555380962 0 0 0.00245168641070923 0.00134210913702907 0.00117911148945206 0 0 0 0
"Lefty1" 0 0 0.00150708436447002 0.00149447678610026 0.0019670661866983 0.00202571792903279 0 0.00223130747679462 0 0 0.00173641682597612 0.00134848858669783 0.00254360566822533 0.00157013386344831 0.00174798175687774 0.00140244983649745 0.00177175190071734 0.00113703180453917 0.00155050423918243 0
"Ptprm" 0 0 0 0 0 0 0 0.00135248505169117 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0 0 0.00192911537146722 0.00186545547343485 0.0018481128356518 0.00174852904090139 0 0.00208214105952824 0.00115413422477978 0.00142539087781444 0.00202854152207427 0.00476117588263312 0.00133970502138569 0.00166158195638594 0.00202844749551711 0.00192021982283539 0.00147939318997571 0.00138337660636426 0.00157546676660072 0.0013022468419178
