"Akap13" "Gria2" "Nipbl" "Filip1l" "Ahnak" "Erc1" "Hspa5" "Mpp6" "Yy1" "Mpp5" "Col18a1" "Jmjd1c" "Cdc73"
"Calm1" 0 0 0 0 0.00117043152499261 0 0 0 0 0 0 0 0
"Ptprm" 0 0 0 0 0.00129755977488344 0 0 0 0 0 0 0 0.00113061789384691
"Vwf" 0 0 0 0 0.00119117084597668 0 0 0 0 0 0 0 0
"Clstn1" 0 0 0 0 0.00139604423568996 0 0 0 0 0 0.00131958192689657 0 0
"Rps19" 0 0 0 0 0.0010961330719689 0 0 0 0 0 0 0 0
"Inhbb" 0.00179751571591164 0 0 0.00123653575551338 0.00179796296023968 0 0.00113263154782789 0 0.0013814430834186 0.00118420721946918 0.00172730078234654 0.00189725902721634 0
"Calm2" 0 0 0 0 0.00116560353876158 0 0 0 0 0 0 0 0
"Tnc" 0 0 0 0 0.00124633192093488 0 0 0 0 0 0 0 0
"Cdh1" 0 0 0 0 0.00134665491122934 0 0 0 0 0 0 0 0
"Itgb7" 0 0 0 0 0.00112857496804921 0 0 0 0 0 0 0 0
"Lamc2" 0 0 0 0 0.0012588637316747 0 0 0 0 0 0 0 0
"Inhba" 0.0015732101551267 0 0 0.00107884375168915 0.00161941823660818 0 0 0 0.00128074440996523 0.0011097156919422 0.0016276134561876 0.00165353194797622 0
"Ncam1" 0.00107141386983545 0 0 0 0.00133925191388264 0 0 0 0 0 0 0.00108969341802726 0
"Hsp90b1" 0 0 0 0 0.00132738074208751 0 0 0 0 0 0 0 0
"Bmp5" 0.00138271219296847 0 0 0.00139328129465871 0.00180441129497414 0 0 0 0.00117467009559392 0.00145318043557679 0.00177474943881919 0.00176317688589287 0
"Hc" 0 0.00227058466228953 0 0 0 0 0 0 0 0 0 0 0
"Sema3c" 0 0 0 0 0.00117972185841072 0 0 0 0 0.00113822914059253 0 0 0
"Lamb2" 0 0 0 0 0.00131457596162555 0 0 0 0 0 0 0 0
"Sema3b" 0 0 0 0 0.00112111148157405 0 0 0 0 0 0 0 0
"Bdnf" 0 0.00567372685435935 0 0 0.00155366749472203 0 0 0 0.00233160124832827 0 0.00110464611557105 0 0
"Thbs2" 0 0 0 0 0.00143000647458322 0.00112831680922396 0.00120496376174764 0.00115325033832036 0 0 0 0 0
"Igf1" 0 0 0 0.00574231999781769 0.00151574007721881 0 0.00222738184345882 0 0 0 0.00121313841863498 0.00113993750814083 0
"Npnt" 0.00152868802376784 0.00208569764979064 0.00174458249711509 0 0.00110593480893551 0 0 0 0 0 0 0 0
