"Actb" "Cd4" "Ddit4" "Icos" "Ier2" "Junb" "Mllt6" "Pfn1" "Sept9" "Traf1" "Vasp" "Nfkb1" "Thy1" "Cd3e" "Tgfbr2" "Gadd45g" "Mknk2" "Cd72" "Cap1"
"Icam1" 0 0 0.001325194891996 0 0 0.00141247481108491 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00224754285905749 0 0.00244927097518979 0 0.00217383668914139 0.00270361963509007 0.00202915943820222 0.00202998881384803 0.00204325486772582 0.00151832604371919 0.00197795419363264 0.00294750827416793 0 0 0.00171270417810028 0.00186234155894657 0.00175197051132618 0 0.00143744551141262
"Dusp18" 0.00130772291678558 0 0.0013415177122274 0 0.00152242137544252 0.00172192891008373 0 0.0012732249765504 0.00124106524663612 0 0.00122922874839264 0 0 0 0 0 0 0 0
"H2.M3" 0 0 0.00143689258533804 0 0.00130160380747413 0.0015034964496274 0.00125376951120108 0 0.00133162695667409 0 0 0 0 0 0 0 0 0 0
"Sell" 0 0 0.00129086311065181 0 0 0.00125339681634094 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il7" 0.00199903538308277 0.00294895676821638 0.0022987559164811 0 0.00215873867570856 0.00228953869096603 0.00186753312592638 0.00177800725119744 0.00232827597857351 0.00173245311428263 0.00170319001112777 0.00158551399007487 0 0 0.00189964227914433 0.00184821237554192 0.00138919210535398 0 0.0013854154370179
"Il16" 0.00130733292692541 0 0.00133817431456367 0 0.00129641726258662 0.00144998388124802 0.00124886109914451 0.00124738932064366 0.00126689338549405 0 0.0014107103013716 0 0 0 0 0 0 0 0.00122328085891747
"Ceacam1" 0.0012398742593733 0 0.00135256848814919 0 0 0.00138415355214555 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl16" 0 0 0 0 0 0 0 0 0 0 0 0.00173092689471705 0 0 0 0 0 0 0
"Cd274" 0 0 0 0 0 0.00124388026653706 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00296597953804268 0 0.00198653105146687 0 0.00177044309511845 0.00573523263611306 0.00165350987293362 0.00149627334430383 0.00168793008127137 0 0.00154803841155808 0.00144257641399274 0 0.00277138900927763 0.00629791933528927 0.0014453525000544 0 0 0
"Agrn" 0 0 0.00134259233527249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alcam" 0.00179207590416972 0 0.00158799314492955 0 0.00162023843104793 0.00205612109145241 0.00190437450180819 0.00202544540798014 0.00171994445579129 0.00160669839100608 0.00158424972272417 0.00148997962215843 0 0 0 0 0.00132759535548907 0 0
"Fbn1" 0 0 0.0014165719733101 0 0.00123391424728504 0.00142148212878477 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprc" 0.00133314863635044 0 0.0014780671240678 0 0.00130262914589013 0.00157472331208885 0.00124285814037683 0 0.00134994935758342 0 0 0 0 0 0 0 0 0 0
"Selp" 0.00127539613108492 0 0.00131550093330802 0 0 0.00125913838456323 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00136483375622213 0 0.00165546803371112 0 0.00133621700097534 0.00263407615762913 0.0013541623179291 0.00129501658638254 0.00137974855190829 0.00452191643726131 0.0012342844390146 0.00230700694695504 0 0 0 0 0 0.00206792822043719 0
"Col4a1" 0 0 0.00133940338705448 0 0 0.00124070784102932 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0.00137031756694388 0 0 0.00130467250691669 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.0014557991705183 0 0.00147567261882673 0 0.00138819096765263 0.00156926232615062 0.00123139137144543 0.00123120779421862 0.00133409872616051 0 0.00127119297061563 0.00231493292362175 0 0 0 0 0 0 0
"Mmp9" 0.00136532258067635 0 0.00141412881462259 0 0.00136582047171938 0.00153535523983338 0.00125366421442229 0.00123962414145568 0.00131775964713932 0 0.00127598962493952 0 0 0 0 0 0 0 0
"Cd86" 0 0 0 0.00281376441253013 0 0.0012430421928622 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cfh" 0.00152436971185463 0 0.00164912362807774 0 0.00139975074997997 0.00183229876319033 0.00151143752083184 0.00137747719988558 0.00158172329044063 0 0.00143637733123364 0.00126877833438764 0 0 0 0 0.00136794286845803 0 0
"Col18a1" 0 0 0.0013208549733134 0 0 0.00135058914702569 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00152012849124405 0 0.00176024111956494 0 0.00155018091843072 0.00178396294315882 0.00135070546336966 0.0013662293519631 0.00153480561215221 0.00252048439927342 0.00133463353805551 0.0014022933819906 0 0 0.0012657835373621 0 0.0012371116394395 0 0
"Cd2" 0.00127598624619293 0.0022670781903981 0.0014331073065263 0 0.00131382425020315 0.00142456048241149 0.00138813365098497 0.00123954301966073 0.0012376062240889 0 0.00128944292264018 0 0 0 0 0 0 0 0
"Jam2" 0.00145178719016429 0 0.0016991798408572 0 0.00152498912505404 0.00164589071172552 0.00138978066445093 0.00158318504728271 0.00151922016504733 0 0.00148711759605764 0 0 0 0.00147763808358708 0.00148869560320816 0 0 0
"Gmfb" 0.00146436565661762 0 0.00167501260302955 0 0.00149082766135391 0.00167296646533148 0.00139936834820005 0.00132626750936323 0.00145263552012441 0 0.00134438463674558 0.00129202277551238 0 0 0.00123054678591872 0.00127023447492648 0 0 0
"Col1a1" 0.00150260770807709 0 0.00174718468208684 0 0.00148826295000115 0.00186762235238457 0.00157248879007692 0.0014147910999898 0.00161602272528746 0 0.00142155986485445 0 0 0 0.00124181064576978 0 0.00134198555672416 0 0
