"Ddit4" "Ptpn22" "Skil"
"Col1a1" 0.00174718468208684 0 0
"Hmgb1" 0.00244927097518979 0.00139057573019432 0.00171937434484682
"Icam1" 0.001325194891996 0 0
"Pros1" 0.00178736475212614 0 0
"Ptn" 0.00144210099062737 0 0
"Wnt5a" 0.00130864618364539 0 0
"Cfh" 0.00164912362807774 0 0.00137112597847459
"Pkd1" 0.0013731736139846 0 0
"Pcdh1" 0.00133297101310663 0 0
"Cdh1" 0.00134238306792985 0 0
"Col4a1" 0.00133940338705448 0 0
"Psen1" 0.00145232997905459 0 0
"Selp" 0.00131550093330802 0 0
"Calm1" 0.00133083826204739 0 0
"Jam2" 0.0016991798408572 0 0
"Gmfb" 0.00167501260302955 0 0
"Fbn1" 0.0014165719733101 0 0
"Tnc" 0.00134730181547385 0 0
"Lamb2" 0.00138420109951235 0 0
"Col18a1" 0.0013208549733134 0 0
"Lamb1" 0.00135234171579583 0 0
"Pecam1" 0.00137274723727055 0 0
"Tgfb3" 0.00176072408712966 0 0.00168499079927536
"Hspg2" 0.00137031756694388 0 0
"Jag2" 0.00133476381668081 0 0
"Rspo1" 0.00131061111971961 0 0
"Agrn" 0.00134259233527249 0 0
