"Gimap3" "Cxcr3" "Gapdh" "Itgb2" "Trp53" "Zfp36" "Zfp36l2" "Eno1"
"Ptprf" 0 0 0.00115929385767465 0 0.00145026562671833 0.00130873502266151 0.00119851083520193 0
"Lamb1" 0 0 0.00113213055211194 0 0.00136819148813462 0.00115958012869124 0.00119821518738219 0
"Selp" 0 0 0 0 0.00134829055000742 0.0011908764949522 0 0
"Hspg2" 0 0 0 0 0.00131716708156113 0.00113163532251663 0.00113680815032993 0
"Cd2" 0 0 0.00133459591864052 0 0.00164137070509697 0.00139997700545004 0.00131623815319863 0
"Col18a1" 0 0 0 0 0.00119969055720152 0.00118519490938789 0 0
"Calm1" 0 0 0 0 0.00130738799187864 0.00120071239713853 0.00110387731264199 0
"Trf" 0 0 0.00135532719371551 0 0.00157598953170424 0.00148699717636732 0.00131321350314934 0.00117256472701079
"Fbn1" 0 0 0.00111763774674035 0 0.00136715932861872 0.00121393209758576 0.00117722005047482 0
"Ptprc" 0 0 0.00111249365138008 0 0.00146728309475971 0.00149616594676516 0.00116842283240884 0
"Itgb1" 0 0 0 0 0.00118000612508593 0.00114142307723003 0 0
"Dusp18" 0 0 0.00112032374911293 0 0.00189978366090765 0.00152875950478796 0.00110570152909407 0.00127134045206172
"Cfh" 0 0 0.00120665236917667 0 0.00167983380656461 0.00131183980181836 0.00124162609230585 0
"H2.T23" 0 0 0 0 0.00117251086684949 0 0 0
"Gmfb" 0 0 0.0014149408589975 0 0.00189928092101351 0.0016132946858946 0.00129042751477077 0.00118274633882868
"Lgals3" 0 0 0 0 0.00126514560100809 0 0 0
"Icam1" 0 0 0 0 0.00148094836463054 0.00125426295753908 0.00111692515055563 0
"Sell" 0 0 0 0 0.00123338444777501 0.00114034772636194 0 0
"Adam17" 0 0 0.00127317639260921 0.00210455773536622 0.00163053738366716 0.0017076546348073 0.00133712749671039 0.00113707384166278
"Pros1" 0 0 0.00139754844491823 0 0.00185707861386412 0.00171714996497253 0.00136624994753126 0.00126829184256908
"Lrpap1" 0 0 0.00112459739996234 0 0.00133481859039443 0.00119513270602093 0.00109976718231561 0
"Col4a1" 0 0 0 0 0.00128434704480486 0 0 0
"Itgb2" 0 0 0 0 0.00138631421749864 0.0012638680131735 0 0
"C3" 0 0 0 0 0.00115711297759034 0 0 0
"Ceacam1" 0 0 0 0 0.0013875669734173 0.00130546177885758 0.00124330561999167 0
"Thbs1" 0 0 0.00166519298067158 0 0.00188235341848845 0.00171906027707621 0.00148753407182137 0.00141714039561498
"Ccl11" 0 0 0.00161432082867201 0 0.0018630403578009 0.00185928989413806 0.00128264670960621 0.00144862097844196
"Lamb2" 0 0 0 0 0.00130894147052726 0.00143569785532972 0 0
"Apoe" 0 0 0 0.00399093688250871 0.00139170518587074 0.00113918351497396 0 0
"Fgf2" 0 0 0.00271055838891752 0 0.00399917037884932 0.00169000109462131 0.00131322874440071 0.00128235102553557
"Cxcl12" 0 0.0020886483472105 0 0 0.00121019991220557 0.00132891265328697 0 0
"Mapt" 0 0 0.00112110745382593 0 0.00380230013466174 0.00122147380097435 0.00109008776859399 0
"Ccl5" 0 0.00206726773278522 0 0.00190415579012431 0.00134302864369805 0.00123126435013583 0 0
"Lama2" 0.00873243893829876 0.00471764735242419 0 0 0.00109363573869935 0 0 0
