"Filip1l" "Ell2" "Hspa5" "Prdm1" "Jmjd1c" "Skil"
"Il18" 0 0.00145939287507449 0.0010501667297486 0.00213976596595026 0.00152299361768077 0.00172267332974369
"Hsp90b1" 0 0 0 0.00105656342908934 0 0
"Col18a1" 0 0 0 0.00104795467043248 0 0
"Pkd1" 0 0 0 0.00111474930198689 0 0
"Kitl" 0 0 0 0.00155989123925692 0.00116829472729147 0.00118074887084432
"Cxcl12" 0 0 0 0.00109555433619008 0 0
"Hgf" 0 0 0 0.00123227782151447 0.0010874008251715 0.00230190992977005
"Lamb2" 0 0 0 0.00125714492137296 0 0
"Tgfb3" 0 0 0 0.00140689868365166 0.00142527288101793 0.00168499079927536
"Ceacam1" 0 0 0 0.00115021766874624 0 0
"Tnc" 0 0 0 0.00111292797194399 0 0
"Npnt" 0 0 0 0.00174371120192256 0 0
"Thbs2" 0 0.00114713476390727 0.00120496376174764 0.00147060917661435 0 0
"Igf1" 0.00574231999781769 0 0.00222738184345882 0.00135895738028386 0.00113993750814083 0.00121224606122054
